time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
0.100500,100.0000,100.4642,85.2153,106.0327,119.963251,-3702.770331,0.641728,-0.000000,0.000000
0.201000,100.0000,102.9496,85.7001,104.4693,120.645806,-3713.035098,1.743158,-0.000000,0.000000
0.300000,100.0000,99.6210,92.0877,106.3679,129.637982,-3700.578452,0.815812,0.000000,0.000000
0.400500,100.0000,102.3851,78.9706,105.7214,111.172238,-3704.809191,1.742496,0.000000,0.000000
0.501000,100.0000,102.7220,91.7219,104.1332,129.123042,-3715.250247,0.911572,0.000000,0.000000
0.600000,100.0000,104.5797,84.9273,102.8112,119.557823,-3723.995647,1.473663,-0.000000,0.000000
0.700500,100.0000,101.7802,85.0346,102.4533,119.708846,-3726.371704,1.481609,0.000000,0.000000
0.801000,100.0000,95.8811,84.7384,106.5559,119.291945,-3699.350520,1.909958,0.000000,0.000000
0.900000,100.0000,102.9473,79.1773,102.3585,111.463150,-3727.001628,1.518943,-0.000000,0.000000
1.000500,100.0000,98.9112,91.3079,105.5687,128.540323,-3705.809975,1.115860,-0.000000,0.000000
1.101000,100.0000,99.4004,80.8135,107.9639,113.766581,-3690.183440,1.194390,0.000000,0.000000
1.200000,100.0000,95.3355,82.9597,108.1847,116.787873,-3688.751156,0.897467,0.000000,0.000000
1.300500,100.0000,100.8618,85.2149,102.7271,119.962795,-3724.553493,1.633593,-0.000000,0.000000
1.401000,100.0000,101.5779,79.6476,102.2039,112.125336,-3728.030099,0.934288,0.000000,0.000000
1.500000,100.0000,93.9524,86.9523,107.2473,122.408588,-3694.842327,1.864934,0.000000,0.000000
1.600500,100.0000,98.4946,79.4784,101.9599,111.887111,-3729.653546,1.012845,-0.000000,0.000000
1.701000,100.0000,94.2129,86.5929,104.7719,121.902571,-3711.043001,1.660010,-0.000000,0.000000
1.800000,100.0000,97.1466,82.6363,100.9519,116.332636,-3736.380359,0.968805,0.000000,0.000000
1.900500,100.0000,99.4967,78.8171,101.7142,110.956092,-3731.290776,1.498093,0.000000,0.000000
2.001000,100.0000,95.2402,88.5362,103.4096,124.638309,-3720.031354,0.668200,-0.000000,0.000000
2.100000,100.0000,98.1496,80.3407,103.4224,113.101027,-3719.946371,0.656064,0.000000,0.000000
2.200500,100.0000,98.5060,85.8695,102.7241,120.884253,-3724.573550,1.078066,0.000000,0.000000
2.301000,100.0000,95.0978,78.6492,105.7941,110.719814,-3704.332502,0.443371,-0.000000,0.000000
2.400000,100.0000,98.3761,79.5305,104.8073,111.960447,-3710.810364,1.048282,-0.000000,0.000000
