time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_kinetic_kjmol,E_potential_kjmol,E_mech_kjmol,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
1.000000,100.0000,96.7202,81.8937,110.7150,599.356323,-3554.489449,-2955.133126,115.287227,-3672.424311,2.647333,0.000000,0.000000
2.000000,100.0000,94.0692,81.8343,106.7772,586.512390,-3582.194115,-2995.681725,115.203611,-3697.906497,0.509265,-0.000000,0.000000
3.000000,100.0000,93.0500,85.1210,106.6714,580.474854,-3578.487811,-2998.012957,119.830554,-3698.596834,0.279123,-0.000000,0.000000
4.000000,100.0000,98.3076,85.4014,105.7577,607.885376,-3583.672710,-2975.787334,120.225250,-3704.571329,0.672404,-0.000000,0.000000
5.000000,100.0000,96.4499,74.2068,105.9095,599.052246,-3598.478111,-2999.425865,104.465916,-3703.577264,0.631648,-0.000000,0.000000
6.000000,100.0000,91.5919,82.9058,106.0229,573.876831,-3585.768397,-3011.891566,116.712120,-3702.834773,0.354685,0.000000,0.000000
7.000000,100.0000,94.4499,92.1490,105.0984,584.949951,-3578.955147,-2994.005195,129.724311,-3708.896461,0.216384,0.000000,0.000000
8.000000,100.0000,104.3561,82.5724,106.0404,645.632263,-3586.286813,-2940.654550,116.242756,-3702.719955,0.190871,0.000000,0.000000
9.000000,100.0000,96.4124,81.8522,112.2939,602.812988,-3545.688747,-2942.875758,115.228835,-3662.320369,1.403785,0.000000,0.000000
10.000000,100.0000,101.8107,98.2365,106.2630,632.905029,-3562.377314,-2929.472285,138.294131,-3701.264102,0.591536,0.000000,0.000000
11.000000,100.0000,99.4001,85.8675,105.1266,612.597412,-3586.385238,-2973.787826,120.881493,-3708.711460,1.444878,0.000000,0.000000
12.000000,100.0000,103.0263,71.3689,103.8029,642.796509,-3615.920302,-2973.123793,100.470829,-3717.430776,1.039808,0.000000,0.000000
13.000000,100.0000,96.6780,97.9237,111.9978,610.042480,-3525.981652,-2915.939171,137.853789,-3664.210640,0.375424,0.000000,0.000000
14.000000,100.0000,100.0753,96.7055,108.8799,621.152649,-3547.811676,-2926.659027,136.138755,-3684.248293,0.298951,0.000000,0.000000
15.000000,100.0000,108.3551,76.1288,102.9310,672.241699,-3612.335685,-2940.093986,107.171606,-3723.201206,3.692901,0.000000,0.000000
16.000000,100.0000,103.7182,83.1216,107.2068,649.451660,-3576.375566,-2926.923906,117.015822,-3695.106095,1.714376,0.000000,0.000000
17.000000,100.0000,92.2974,96.6106,112.6835,573.896362,-3519.457342,-2945.560979,136.005250,-3659.837296,4.375081,0.000000,0.000000
18.000000,100.0000,98.6716,92.0214,113.4581,609.743591,-3522.215908,-2912.472317,129.544680,-3654.911150,3.151425,0.000000,0.000000
19.000000,100.0000,104.5105,77.9838,106.1897,650.337952,-3590.735669,-2940.397717,109.783060,-3701.743446,1.224930,0.000000,0.000000
20.000000,100.0000,101.3741,85.3318,106.0678,635.192566,-3581.263559,-2946.070993,120.127293,-3702.541184,1.150542,0.000000,0.000000
21.000000,100.0000,99.5383,92.8177,103.3531,619.220093,-3589.045232,-2969.825139,130.665729,-3720.405226,0.693847,0.000000,0.000000
22.000000,100.0000,96.0003,84.7309,107.1392,594.739136,-3576.116034,-2981.376898,119.281434,-3695.546413,0.149885,0.000000,0.000000
23.000000,100.0000,98.9654,83.6913,109.7848,615.356323,-3560.266488,-2944.910165,117.817890,-3678.406641,0.321688,0.000000,0.000000
24.000000,100.0000,97.7220,88.2313,111.0718,608.007324,-3544.431429,-2936.424104,124.209169,-3670.135214,1.495965,0.000000,0.000000
25.000000,100.0000,97.9496,90.2278,110.2024,607.202148,-3547.455168,-2940.253019,127.019732,-3675.718196,1.243765,0.000000,0.000000
26.000000,100.0000,100.8614,83.5044,107.4314,628.874023,-3575.606448,-2946.732424,117.554718,-3693.644061,0.484646,0.000000,0.000000
27.000000,100.0000,101.4780,83.4740,104.2552,633.022522,-3595.669955,-2962.647433,117.511988,-3714.446152,1.264131,-0.000000,0.000000
