time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_kinetic_kjmol,E_potential_kjmol,E_mech_kjmol,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
1.000000,100.0000,106.8300,78.5495,100.9420,663.524353,-3624.132166,-2960.607813,110.579443,-3736.446497,1.734566,0.000000,0.000000
2.000000,100.0000,101.7506,73.9453,103.7300,632.509277,-3611.661831,-2979.152554,104.097771,-3717.912456,2.152399,0.000000,0.000000
3.000000,100.0000,100.8669,84.2159,107.1468,628.701172,-3574.821312,-2946.120141,118.556443,-3695.496840,2.119749,0.000000,0.000000
4.000000,100.0000,98.9512,77.8509,108.7841,612.633301,-3573.767020,-2961.133719,109.595981,-3684.867772,1.503754,0.000000,0.000000
5.000000,100.0000,103.2752,78.9150,109.0809,642.082642,-3570.868156,-2928.785514,111.093982,-3682.948791,0.987777,0.000000,0.000000
6.000000,100.0000,99.9138,88.8587,108.8404,619.816284,-3558.671743,-2938.855458,125.092367,-3684.504052,0.740064,0.000000,0.000000
7.000000,100.0000,97.3221,79.6027,113.7615,603.483032,-3540.604902,-2937.121869,112.062089,-3652.985682,0.318963,-0.000000,0.000000
8.000000,100.0000,104.3053,80.0665,109.6563,650.190613,-3566.348284,-2916.157671,112.714971,-3679.235050,0.171399,0.000000,0.000000
9.000000,100.0000,98.1842,87.2088,110.2541,611.166443,-3550.702173,-2939.535731,122.769736,-3675.385641,1.913130,0.000000,0.000000
10.000000,100.0000,99.3972,78.9469,108.3134,616.450134,-3575.227880,-2958.777746,111.138788,-3687.916422,1.548952,0.000000,0.000000
11.000000,100.0000,103.9300,84.5591,108.5056,644.542297,-3566.428796,-2921.886499,119.039523,-3686.671097,1.202885,0.000000,0.000000
12.000000,100.0000,102.3120,82.8167,117.8388,634.703247,-3510.218361,-2875.515114,116.586566,-3627.328381,0.523106,0.000000,0.000000
13.000000,100.0000,106.8074,81.5135,110.3097,665.490723,-3559.005095,-2893.514373,114.752007,-3675.028186,1.271807,-0.000000,0.000000
14.000000,100.0000,103.2034,87.5694,107.8392,641.967896,-3566.204875,-2924.236979,123.277333,-3690.993343,1.510021,-0.000000,0.000000
15.000000,100.0000,102.3729,86.4723,115.6322,631.669678,-3517.247309,-2885.577632,121.732876,-3641.163574,2.182230,-0.000000,0.000000
16.000000,100.0000,105.9122,74.3494,111.6075,658.097900,-3560.455111,-2902.357211,104.666586,-3666.705032,1.584661,-0.000000,0.000000
17.000000,100.0000,98.3019,87.2225,108.2781,614.326233,-3563.318903,-2948.992670,122.788974,-3688.144994,2.036296,-0.000000,0.000000
18.000000,100.0000,98.0880,82.2522,110.0494,604.763916,-3558.974238,-2954.210322,115.791983,-3676.702699,1.936470,0.000000,0.000000
19.000000,100.0000,98.7327,70.4111,107.1411,613.004517,-3595.506072,-2982.501555,99.122431,-3695.534163,0.905886,0.000000,0.000000
20.000000,100.0000,100.7083,79.9534,101.2314,628.701294,-3620.687363,-2991.986069,112.555783,-3734.512323,1.270836,0.000000,0.000000
21.000000,100.0000,91.5874,82.0566,107.2889,566.466431,-3577.497196,-3011.030765,115.516560,-3694.571424,1.557984,0.000000,0.000000
22.000000,100.0000,100.0492,74.7776,110.9678,619.473145,-3564.578308,-2945.105163,105.269478,-3670.802019,0.954318,0.000000,0.000000
23.000000,100.0000,101.7001,82.1295,108.3181,636.908386,-3570.516793,-2933.608406,115.619262,-3687.885974,1.749892,-0.000000,0.000000
24.000000,100.0000,99.7927,88.5255,104.1657,617.354675,-3589.241172,-2971.886497,124.623321,-3715.036399,1.171749,-0.000000,0.000000
25.000000,100.0000,98.4211,68.7854,106.2789,609.140930,-3603.208666,-2994.067735,96.833817,-3701.159974,1.117752,-0.000000,0.000000
26.000000,100.0000,96.4618,74.3645,104.4799,603.703796,-3606.503763,-3002.799967,104.687906,-3712.965154,1.773293,-0.000000,0.000000
27.000000,100.0000,97.8557,93.4550,106.6279,608.030212,-3565.411090,-2957.380878,131.562832,-3698.880364,1.906556,-0.000000,0.000000
28.000000,100.0000,97.5514,73.7963,106.4175,601.946960,-3593.934867,-2991.987906,103.887953,-3700.254781,2.432871,-0.000000,0.000000
29.000000,100.0000,98.4323,71.7827,106.9444,615.902344,-3594.209496,-2978.307152,101.053387,-3696.815700,1.553648,-0.000000,0.000000
30.000000,100.0000,98.6019,87.9661,104.3034,616.717102,-3590.234641,-2973.517539,123.835798,-3714.128463,0.057561,0.000000,0.000000
31.000000,100.0000,94.6643,85.0494,108.5027,582.989441,-3566.651533,-2983.662092,119.729776,-3686.689909,0.308460,-0.000000,0.000000
32.000000,100.0000,100.1098,66.2570,101.8069,620.244263,-3637.028525,-3016.784262,93.274365,-3730.672601,0.368656,0.000000,0.000000
33.000000,100.0000,103.2645,74.5817,98.7437,644.725220,-3645.115309,-3000.390090,104.993690,-3751.220029,1.110758,-0.000000,0.000000
34.000000,100.0000,102.8671,88.2481,102.9292,639.877441,-3598.332188,-2958.454746,124.232718,-3723.213072,0.647358,0.000000,0.000000
35.000000,100.0000,103.2739,80.2499,105.7048,640.030151,-3591.016763,-2950.986612,112.973223,-3704.918006,0.927688,0.000000,0.000000
36.000000,100.0000,108.4458,77.8681,108.3867,675.886780,-3577.517137,-2901.630357,109.620175,-3687.441349,0.303758,0.000000,0.000000
37.000000,100.0000,107.7636,86.8609,107.0898,671.326782,-3573.161994,-2901.835211,122.279888,-3695.868484,0.427660,0.000000,0.000000
38.000000,100.0000,99.5362,79.7145,110.0155,618.413025,-3563.496422,-2945.083397,112.219510,-3676.920794,1.204981,0.000000,0.000000
39.000000,100.0000,98.9074,79.6489,105.8045,614.685364,-3589.768850,-2975.083486,112.127068,-3704.264407,2.368968,0.000000,0.000000
40.000000,100.0000,97.5622,81.3363,108.6221,606.414429,-3570.731659,-2964.317230,114.502574,-3685.916269,0.681013,-0.000000,0.000000
