# F(k,t) correlation function
# Reference time: 1205.001 ps
# lag_time_ps	F(k,t)
0.000000	296.67261909
2.000000	17.05807021
4.000000	-18.52362572
6.000000	-3.96750270
8.000000	13.12383159
10.000000	-48.76267067
12.000000	-18.32001006
14.000000	14.14327534
16.000000	-15.93155416
18.000000	16.32388151
20.000000	-11.14523330
22.000000	-25.20347372
24.000000	0.86789476
26.000000	35.45500785
28.000000	-71.62260407
30.000000	28.30479048
32.000000	-39.17944513
34.000000	5.03617607
36.000000	4.33269389
38.000000	20.95107341
40.000000	-34.96347007
42.000000	71.80184313
44.000000	44.63782121
46.000000	7.51275300
48.000000	-1.51596142
50.000000	29.45530832
52.000000	19.81536444
54.000000	-19.91748588
56.000000	-22.08238259
58.000000	3.97601469
60.000000	21.64256379
62.000000	48.72699614
64.000000	0.62238152
66.000000	18.12692607
68.000000	-63.63509682
70.000000	-32.98690810
72.000000	-24.35536332
74.000000	21.51978475
76.000000	-6.82591861
78.000000	40.71539362
80.000000	25.64899375
82.000000	-4.15763440
84.000000	-0.95443573
86.000000	40.53726637
88.000000	-30.66722273
90.000000	-21.05246730
92.000000	-1.84891735
94.000000	7.58603355
96.000000	-20.41209871
98.000000	-32.05773400
100.000000	-24.24699239
102.000000	22.00291166
104.000000	-47.11091305
106.000000	-2.91498054
108.000000	-14.64940863
110.000000	13.71805731
112.000000	-19.07695882
114.000000	4.51542331
116.000000	-1.42840119
118.000000	34.42968608
120.000000	-23.36648005
122.000000	60.38862864
124.000000	-25.84091561
126.000000	-13.12726357
128.000000	-3.56977350
130.000000	6.46681218
132.000000	6.57071010
134.000000	5.72025860
136.000000	18.89280074
138.000000	-10.68682123
140.000000	-14.63088996
142.000000	-29.70110916
144.000000	7.47076011
146.000000	5.86086731
148.000000	13.71249363
150.000000	-16.16903436
152.000000	30.14301583
154.000000	13.59761176
156.000000	1.90125040
158.000000	-0.32454876
160.000000	21.40515325
162.000000	-7.11324752
164.000000	-17.57907698
166.000000	6.75199654
168.000000	27.92459093
170.000000	-3.07117028
172.000000	-4.67576769
174.000000	-17.67591610
176.000000	-63.47989722
178.000000	25.98483725
180.000000	44.21720245
182.000000	19.76359934
184.000000	21.97669358
186.000000	18.95029365
188.000000	-15.92736840
190.000000	2.10629373
192.000000	-8.87118299
194.000000	6.19510737
196.000000	-14.57361827
198.000000	52.14626329
200.000000	-14.10626062
202.000000	16.71543375
204.000000	7.17318179
206.000000	-13.90706650
208.000000	-48.18999862
210.000000	-40.43424074
212.000000	-19.77066271
214.000000	2.00897746
216.000000	35.08562212
218.000000	-14.84880528
220.000000	25.24141072
222.000000	15.75023776
224.000000	20.22652359
226.000000	-1.64244938
228.000000	27.00588045
230.000000	2.39336331
232.000000	-24.26987443
234.000000	-52.90387579
236.000000	-29.97279491
238.000000	22.82730311
240.000000	17.69424068
242.000000	-16.98237898
244.000000	10.64330111
246.000000	-12.96284886
248.000000	50.94726953
250.000000	22.30745429
252.000000	-21.88391563
254.000000	6.15830590
256.000000	27.85357158
258.000000	-10.73789895
260.000000	13.15547966
262.000000	-2.17302490
264.000000	-34.14897373
266.000000	-7.33298477
268.000000	-16.93196033
270.000000	2.90358740
272.000000	9.47102719
274.000000	-13.09424125
276.000000	31.72946558
278.000000	2.03603922
280.000000	-36.31321985
282.000000	-14.83423541
284.000000	26.80899471
286.000000	-32.46549448
288.000000	-7.91890520
290.000000	16.82172505
292.000000	-7.37136217
294.000000	20.15460871
296.000000	-13.76903256
298.000000	12.94503454
300.000000	-40.68270654
302.000000	-6.55969452
304.000000	25.68005140
306.000000	37.50074647
308.000000	16.60111707
310.000000	-7.29642815
312.000000	-31.00538580
314.000000	6.95857849
316.000000	-40.18558661
318.000000	10.09772270
320.000000	29.43872108
322.000000	17.92137223
324.000000	-3.94690229
326.000000	50.71316506
328.000000	13.44682904
330.000000	-32.42522413
332.000000	-30.72167857
334.000000	21.82670877
336.000000	43.00498935
338.000000	12.20036577
340.000000	1.92224500
342.000000	-2.97069426
344.000000	29.07133169
346.000000	-2.90114206
348.000000	34.81239724
350.000000	6.04553193
352.000000	-31.96443066
354.000000	-12.35857555
356.000000	8.97324357
358.000000	47.87417921
360.000000	16.84811067
362.000000	-30.90213201
364.000000	8.50708009
366.000000	75.75083662
368.000000	11.05727523
370.000000	-0.13313326
372.000000	52.78023724
374.000000	20.93181097
376.000000	-12.26807312
378.000000	-20.13657404
380.000000	5.10049813
382.000000	-14.70181166
384.000000	-26.66644669
386.000000	-52.58153075
388.000000	2.44913783
390.000000	21.95446755
392.000000	8.14580589
394.000000	33.12373536
396.000000	-23.82957889
398.000000	34.37824791
400.000000	34.78267160
402.000000	16.19979390
404.000000	16.43763655
406.000000	14.13686477
408.000000	-23.44456701
410.000000	-66.71486892
412.000000	-1.76689000
414.000000	22.35245380
416.000000	30.23062321
418.000000	-11.21797082
420.000000	18.64388498
422.000000	43.07949167
424.000000	6.10930754
426.000000	32.68892526
428.000000	10.24804818
430.000000	61.13238183
432.000000	-61.03660864
434.000000	-32.42186274
436.000000	-29.88778875
438.000000	-72.35013264
440.000000	11.12550750
442.000000	-28.05500392
