# F(k,t) correlation function
# Reference time: 803.001 ps
# lag_time_ps	F(k,t)
0.000000	783.11509543
2.000000	610.43863703
4.000000	549.53561887
6.000000	507.05362841
8.000000	484.67648767
10.000000	427.71994756
12.000000	410.88887414
14.000000	340.47832660
16.000000	317.97216753
18.000000	220.96312430
20.000000	62.41058477
22.000000	126.48010135
24.000000	27.18193822
26.000000	55.83883499
28.000000	-89.14768062
30.000000	-87.47410916
32.000000	-139.13724700
34.000000	-179.67530341
36.000000	-148.79939340
38.000000	-159.37410189
40.000000	-146.52140953
42.000000	-193.17497174
44.000000	-192.12049790
46.000000	-74.91524501
48.000000	-74.89370004
50.000000	-22.36218534
52.000000	-53.47648963
54.000000	-33.67385258
56.000000	-105.15400376
58.000000	-116.81828921
60.000000	12.83052539
62.000000	-12.60791294
64.000000	-6.77687839
66.000000	-68.26083455
68.000000	55.49720312
70.000000	36.59008784
72.000000	217.60335155
74.000000	37.43478001
76.000000	98.86520641
78.000000	165.36977239
80.000000	262.89847296
82.000000	149.41874047
84.000000	138.90025156
86.000000	163.89837817
88.000000	131.15956725
90.000000	118.45623239
92.000000	101.50287542
94.000000	30.76187434
96.000000	225.11492124
98.000000	126.47683904
100.000000	102.58733240
102.000000	15.11029278
104.000000	184.49223801
106.000000	58.69348011
108.000000	40.15532266
110.000000	-56.41465757
112.000000	-122.70303674
114.000000	-10.34396671
116.000000	-54.27468657
118.000000	-128.42784668
120.000000	-90.48763486
122.000000	-106.87087256
124.000000	-63.05618204
126.000000	-96.78733672
128.000000	0.98407399
130.000000	-76.09878093
132.000000	-50.04773300
134.000000	32.91740031
136.000000	-19.50209349
138.000000	-5.48031755
140.000000	32.98530043
142.000000	41.58267970
144.000000	-20.69166612
146.000000	22.99797192
148.000000	-0.89231674
150.000000	67.03646855
152.000000	-24.64751811
154.000000	101.92929280
156.000000	28.42126445
158.000000	-49.77533319
160.000000	-36.49191886
162.000000	-39.28691549
164.000000	-102.76628750
166.000000	-43.55911182
168.000000	-57.16528458
170.000000	62.67841974
172.000000	-44.37941235
174.000000	-51.88856282
176.000000	-67.57538633
178.000000	-40.19281614
180.000000	-15.41915593
182.000000	-61.99286752
184.000000	24.04979590
186.000000	-67.78088322
188.000000	-97.01771587
190.000000	-54.64616262
192.000000	1.22941728
194.000000	-81.95879200
196.000000	-16.03904519
198.000000	-27.52095593
200.000000	-24.32839381
202.000000	-61.14563952
204.000000	-7.82836045
206.000000	34.03050966
208.000000	-29.60926698
210.000000	16.92116498
212.000000	-2.74692354
214.000000	23.79535001
216.000000	-25.27676049
218.000000	-27.02013166
220.000000	2.97305211
222.000000	-2.32877351
224.000000	-145.84614126
226.000000	-94.19713810
228.000000	-133.98355016
230.000000	-92.32562224
232.000000	-88.23676859
234.000000	-37.71218269
236.000000	-117.28676031
238.000000	-127.16290326
240.000000	-46.11092290
242.000000	-60.54325326
244.000000	-47.71562301
246.000000	85.33473334
248.000000	-76.13273584
250.000000	-46.49974012
252.000000	-4.50334788
254.000000	2.57981271
256.000000	43.03063794
258.000000	116.60936757
260.000000	50.56013888
262.000000	-21.34891097
264.000000	-55.41550313
266.000000	19.88420595
268.000000	80.79710973
270.000000	94.78145042
272.000000	62.13697838
274.000000	56.25002891
276.000000	111.59543553
278.000000	51.50034786
280.000000	77.11938608
282.000000	138.73704764
284.000000	0.43138954
286.000000	0.45317081
288.000000	124.89378968
290.000000	50.57475494
292.000000	63.42508958
294.000000	-21.36449749
296.000000	25.60814749
298.000000	-34.32236465
300.000000	-32.34811234
302.000000	-105.85244875
304.000000	-99.16018250
306.000000	-91.80559642
308.000000	21.07341207
310.000000	-84.69262487
312.000000	-23.57179482
314.000000	26.48985974
316.000000	-120.06723240
318.000000	-57.54584736
320.000000	33.16033492
322.000000	-94.62125038
324.000000	-106.96686252
326.000000	-101.80910659
328.000000	-148.91071231
330.000000	-148.67742550
332.000000	-46.65430908
334.000000	-54.67967094
336.000000	-44.02146145
338.000000	-145.67215521
340.000000	-108.66857922
342.000000	-93.37698816
344.000000	-30.98487639
346.000000	-52.11579451
348.000000	-29.14292700
350.000000	48.69547121
352.000000	113.98065554
354.000000	2.94869653
356.000000	0.90404941
358.000000	88.96674086
360.000000	2.09528284
362.000000	-83.31782796
364.000000	-114.81709752
366.000000	-111.16593016
368.000000	-78.75798699
370.000000	-62.86227010
372.000000	13.33821016
374.000000	98.49745250
376.000000	70.80507276
378.000000	211.05167060
380.000000	117.83148700
382.000000	105.20044605
384.000000	47.25356599
386.000000	130.22642559
388.000000	66.90105678
390.000000	44.37764095
392.000000	-77.33275680
394.000000	2.90527638
396.000000	4.67774389
398.000000	14.12151603
400.000000	22.33463653
402.000000	7.78483064
404.000000	-20.74829453
406.000000	2.79270703
408.000000	-35.69554019
410.000000	-13.50673902
412.000000	-88.42513597
414.000000	-93.22089333
416.000000	-18.44186973
418.000000	39.02400137
420.000000	46.91826415
422.000000	-13.24882460
424.000000	-130.81990639
426.000000	-134.11577450
428.000000	-92.11423833
430.000000	-25.89161861
432.000000	-137.89025656
434.000000	-105.62126183
436.000000	-107.77964589
438.000000	92.99135583
440.000000	143.99394641
442.000000	12.23755073
444.000000	13.55579331
446.000000	23.50830573
448.000000	37.79874011
450.000000	-18.02239972
452.000000	2.40874044
454.000000	42.71777911
456.000000	50.55724801
458.000000	30.21926265
460.000000	59.91781047
462.000000	-17.33277952
464.000000	96.45124126
466.000000	106.20499871
468.000000	136.75615882
470.000000	13.42900306
472.000000	28.80986232
474.000000	-4.71204553
476.000000	2.46847301
478.000000	87.67152289
480.000000	51.58468155
482.000000	10.19951470
484.000000	-25.90984367
486.000000	-98.30274803
488.000000	13.25160206
490.000000	52.88513357
492.000000	-22.34018853
494.000000	-34.07167503
