time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_kinetic_kjmol,E_potential_kjmol,E_mech_kjmol,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
1.000000,100.0000,104.1104,92.4868,107.2108,642.147827,-3563.493411,-2921.345584,130.199921,-3695.079803,1.386809,0.000000,0.000000
2.000000,100.0000,104.2642,79.8330,115.7609,645.690308,-3527.805869,-2882.115562,112.386273,-3640.353749,0.160924,0.000000,0.000000
3.000000,100.0000,104.0887,80.6217,106.7071,650.849976,-3584.673989,-2933.824013,113.496566,-3698.363491,0.193808,0.000000,0.000000
4.000000,100.0000,101.0423,90.9255,105.7862,629.544739,-3576.091370,-2946.546631,128.001913,-3704.384742,0.290806,-0.000000,0.000000
5.000000,100.0000,104.9383,87.6131,108.6237,649.957275,-3562.502802,-2912.545527,123.338806,-3685.906448,0.064679,0.000000,0.000000
6.000000,100.0000,97.9517,80.4416,113.1901,607.865845,-3542.302785,-2934.436940,113.243005,-3656.613677,1.068246,0.000000,0.000000
7.000000,100.0000,105.1244,87.2298,108.6891,654.967896,-3560.475891,-2905.507995,122.799193,-3685.483045,2.208030,-0.000000,0.000000
8.000000,100.0000,101.3777,91.6659,111.0898,628.002258,-3538.667702,-2910.665443,129.044234,-3670.020112,2.308230,-0.000000,0.000000
9.000000,100.0000,96.4270,79.3623,110.6334,597.737549,-3559.238632,-2961.501083,111.723656,-3672.948003,1.986969,-0.000000,0.000000
10.000000,100.0000,103.4557,80.7163,111.2378,646.311279,-3555.094774,-2908.783495,113.629743,-3669.071764,0.345509,0.000000,0.000000
11.000000,100.0000,103.1347,90.3621,107.6535,642.785583,-3564.583680,-2921.798096,127.208789,-3692.199756,0.406635,0.000000,0.000000
12.000000,100.0000,103.4582,88.9470,106.8709,640.830200,-3569.659068,-2928.828868,125.216680,-3697.294838,2.418175,0.000000,0.000000
13.000000,100.0000,103.3646,81.8985,103.3961,641.713501,-3602.135879,-2960.422378,115.294061,-3720.120481,2.692289,0.000000,0.000000
14.000000,100.0000,98.8940,85.5904,106.9849,616.728271,-3575.118864,-2958.390592,120.491294,-3696.551682,0.941607,0.000000,0.000000
15.000000,100.0000,99.7961,83.9015,106.8595,616.841492,-3579.107588,-2962.266097,118.113813,-3697.369612,0.148003,-0.000000,0.000000
16.000000,100.0000,102.7518,75.9096,102.7818,640.277100,-3616.807251,-2976.530151,106.862973,-3724.190866,0.520482,-0.000000,0.000000
17.000000,100.0000,99.5364,85.8860,109.7727,621.111633,-3557.235333,-2936.123700,120.907514,-3678.484768,0.341381,-0.000000,0.000000
18.000000,100.0000,106.0059,87.0542,107.5506,657.832520,-3569.941750,-2912.109230,122.552086,-3692.869231,0.374421,-0.000000,0.000000
19.000000,100.0000,101.8074,86.9769,112.5680,632.647278,-3537.498229,-2904.850952,122.443199,-3660.572521,0.630978,-0.000000,0.000000
20.000000,100.0000,100.4519,83.8384,104.0963,624.029541,-3595.647165,-2971.617624,118.024908,-3715.493576,1.821620,0.000000,0.000000
21.000000,100.0000,101.5107,82.5815,108.8744,631.261475,-3566.826652,-2935.565178,116.255466,-3684.284188,1.202917,0.000000,0.000000
22.000000,100.0000,104.4790,82.9788,105.9235,650.804016,-3584.829924,-2934.025908,116.814869,-3703.485100,1.841190,0.000000,0.000000
23.000000,100.0000,103.8202,82.6213,103.3802,646.447144,-3602.557342,-2956.110198,116.311511,-3720.225780,1.356698,0.000000,0.000000
24.000000,100.0000,100.3243,80.7592,102.4472,627.775879,-3611.187667,-2983.411788,113.690163,-3726.412744,1.535206,0.000000,0.000000
