# F(k,t) correlation function
# Reference time: 602.001 ps
# lag_time_ps	F(k,t)
1.000000	31.15869859
3.000000	-113.44196187
5.000000	39.21961114
7.000000	-30.72652715
9.000000	-5.94689654
11.000000	-65.09291358
13.000000	11.15669875
15.000000	-63.75066699
17.000000	35.94482133
19.000000	-61.59257200
21.000000	-11.59863618
23.000000	-46.52403677
25.000000	112.55357606
27.000000	-39.54417434
29.000000	-4.98471244
31.000000	34.01637819
33.000000	17.54092162
35.000000	-32.55247910
37.000000	65.14192619
39.000000	-29.04159036
41.000000	2.02029418
43.000000	37.59941734
45.000000	-2.93621483
47.000000	-22.10598575
49.000000	74.98309675
51.000000	-25.62792187
53.000000	67.36744590
55.000000	-84.12177723
57.000000	-33.07600976
59.000000	37.12734441
61.000000	-67.55966678
63.000000	31.42438409
65.000000	10.53523213
67.000000	45.71728943
69.000000	55.92721437
71.000000	-65.79723000
73.000000	71.44085991
75.000000	-1.49986453
77.000000	-69.89453581
79.000000	-31.63064395
81.000000	51.71797916
83.000000	5.93088287
85.000000	31.15836642
87.000000	-63.15896809
89.000000	-7.94630870
91.000000	38.36118804
93.000000	79.61434909
95.000000	-9.25761495
97.000000	-85.34775313
99.000000	51.54929545
101.000000	68.83295327
103.000000	-8.68402255
105.000000	-60.41371492
107.000000	87.43802639
109.000000	-30.65663427
111.000000	-24.35892332
113.000000	17.44644898
115.000000	113.34275947
117.000000	-73.33133764
119.000000	-44.49878678
121.000000	-33.99662073
123.000000	8.64585066
125.000000	-74.01598227
127.000000	41.15209369
129.000000	-26.87758536
131.000000	47.53642064
133.000000	30.15614830
135.000000	-72.29170365
137.000000	11.21152825
139.000000	68.49042258
141.000000	-11.33697359
143.000000	11.80651059
145.000000	13.09806265
147.000000	-41.61324599
149.000000	47.94700772
151.000000	30.79023940
153.000000	10.28372902
155.000000	26.04200119
157.000000	-3.21798016
159.000000	-9.59823598
161.000000	47.82846358
163.000000	41.17518414
165.000000	-66.66267186
167.000000	73.48117404
169.000000	-76.10048790
171.000000	-31.40079828
173.000000	42.65870170
175.000000	-32.72759269
177.000000	91.08043598
179.000000	28.29489337
181.000000	30.85790422
183.000000	-42.26297823
185.000000	-4.66047064
187.000000	46.97007585
189.000000	-35.07399219
191.000000	-81.44482311
193.000000	52.60060142
195.000000	-13.58472248
197.000000	74.23452967
199.000000	20.28861037
201.000000	-15.42951859
203.000000	10.59254861
205.000000	-16.35444613
207.000000	57.86382551
209.000000	-150.84426054
211.000000	-84.75791333
213.000000	3.96204134
215.000000	-0.87948694
217.000000	-71.46874630
219.000000	33.07046351
221.000000	51.55070384
223.000000	-0.18539513
225.000000	11.00622866
227.000000	10.88025432
229.000000	108.90205856
231.000000	-11.46204542
233.000000	-8.60373042
235.000000	47.64910349
237.000000	76.41563003
239.000000	22.47428991
241.000000	8.65724839
243.000000	-11.62332354
245.000000	-43.34166767
247.000000	17.98765579
249.000000	84.87915840
251.000000	-1.62454879
253.000000	13.68054450
255.000000	16.88501945
257.000000	-31.49354303
259.000000	-39.89683872
261.000000	-5.48579862
263.000000	-21.89551507
265.000000	38.30718171
267.000000	8.04377143
269.000000	-5.58281893
271.000000	-30.71873917
273.000000	-11.89807165
275.000000	-40.50908477
277.000000	88.28958790
279.000000	-8.79932661
