time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_kinetic_kjmol,E_potential_kjmol,E_mech_kjmol,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
1.000000,100.0000,99.9261,89.0288,106.5278,616.264954,-3573.523423,-2957.258470,125.331756,-3699.533941,0.678222,0.000000,0.000000
2.000000,100.0000,106.2960,71.5622,101.6101,661.704834,-3630.138832,-2968.433998,100.742866,-3731.984279,1.102586,0.000000,0.000000
3.000000,100.0000,105.1658,85.3033,105.4505,658.249634,-3585.844880,-2927.595246,120.087250,-3706.585314,0.653154,0.000000,0.000000
4.000000,100.0000,99.4557,90.8660,109.4986,615.883179,-3551.834449,-2935.951270,127.918232,-3680.252140,0.499526,-0.000000,0.000000
5.000000,100.0000,102.1888,75.2972,111.3614,632.368164,-3561.291073,-2928.922909,106.000877,-3668.280217,0.988175,0.000000,0.000000
6.000000,100.0000,101.0559,82.9612,108.9456,631.082825,-3565.485169,-2934.402344,116.789988,-3683.823557,1.547188,0.000000,0.000000
7.000000,100.0000,102.3566,94.6427,108.3337,634.480896,-3553.323663,-2918.842767,133.234831,-3687.784970,1.225579,0.000000,0.000000
8.000000,100.0000,99.0094,78.6312,113.6184,610.691040,-3542.721889,-2932.030849,110.694469,-3653.893361,0.477950,-0.000000,0.000000
9.000000,100.0000,102.3521,79.1652,105.7767,638.228088,-3592.507474,-2954.279386,111.446195,-3704.446998,0.495029,-0.000000,0.000000
10.000000,100.0000,97.4150,90.5604,106.6440,607.005493,-3570.336854,-2963.331361,127.488016,-3698.775162,0.949310,-0.000000,0.000000
11.000000,100.0000,99.4543,84.4607,104.5683,614.336304,-3592.577745,-2978.241441,118.901020,-3712.383217,0.904176,0.000000,0.000000
12.000000,100.0000,95.1062,72.4134,103.5018,592.450195,-3616.575851,-3024.125656,101.941151,-3719.421069,0.904655,0.000000,0.000000
13.000000,100.0000,98.5261,80.3556,102.8009,615.880676,-3610.654907,-2994.774231,113.122012,-3724.064239,0.288182,0.000000,0.000000
14.000000,100.0000,92.7140,84.8357,104.0112,573.982056,-3595.534934,-3021.552878,119.428929,-3716.055426,1.090641,0.000000,0.000000
15.000000,100.0000,99.2198,75.9552,103.6495,616.082214,-3610.512319,-2994.430104,106.927243,-3718.444204,1.006315,0.000000,0.000000
