time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_kinetic_kjmol,E_potential_kjmol,E_mech_kjmol,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
1.000000,100.0000,102.2757,78.1041,111.2748,635.861694,-3555.909483,-2920.047789,109.952428,-3668.834637,2.971937,0.000000,0.000000
2.000000,100.0000,96.5140,80.8304,108.4258,604.259705,-3572.562953,-2968.303249,113.790314,-3687.188052,0.834382,0.000000,0.000000
3.000000,100.0000,93.9817,86.1743,108.9710,586.753052,-3561.346728,-2974.593676,121.313288,-3683.659416,0.999928,0.000000,0.000000
4.000000,100.0000,102.3278,90.6544,108.7324,634.005127,-3556.740170,-2922.735043,127.620251,-3685.202633,0.840887,-0.000000,0.000000
5.000000,100.0000,103.9797,83.5596,111.8604,644.052063,-3546.158188,-2902.106125,117.632506,-3665.088142,1.296979,0.000000,0.000000
6.000000,100.0000,105.4579,83.4071,109.1172,656.511719,-3564.529144,-2908.017425,117.417719,-3682.714411,0.768264,0.000000,0.000000
7.000000,100.0000,97.3391,88.6453,108.2279,604.040405,-3563.365670,-2959.325264,124.791959,-3688.470864,0.314383,0.000000,0.000000
8.000000,100.0000,105.0056,83.7331,110.6053,649.344604,-3555.030450,-2905.685845,117.876746,-3673.128838,0.222320,0.000000,0.000000
9.000000,100.0000,96.9717,82.3256,106.9452,604.999512,-3579.519484,-2974.519972,115.895309,-3696.810419,1.395004,0.000000,0.000000
10.000000,100.0000,98.7668,90.6687,107.7347,613.326843,-3563.504100,-2950.177256,127.640401,-3691.672081,0.526783,0.000000,0.000000
11.000000,100.0000,104.3796,82.1967,108.1613,644.981995,-3571.881285,-2926.899290,115.713809,-3688.902914,1.307570,0.000000,0.000000
12.000000,100.0000,98.6893,71.6509,104.8578,616.423645,-3608.690935,-2992.267290,100.867729,-3710.477653,0.918812,0.000000,0.000000
13.000000,100.0000,98.0638,89.1770,106.2936,615.686279,-3575.212143,-2959.525864,125.540394,-3701.064185,0.312031,-0.000000,0.000000
14.000000,100.0000,100.0403,83.9527,107.2088,624.382751,-3576.596373,-2952.213622,118.185791,-3695.093239,0.312008,0.000000,0.000000
15.000000,100.0000,105.0181,84.3525,107.6716,655.142212,-3569.650658,-2914.508446,118.748631,-3692.082570,3.683208,-0.000000,0.000000
16.000000,100.0000,98.1875,84.0851,107.8091,611.826172,-3571.109495,-2959.283324,118.372181,-3691.189159,1.706953,-0.000000,0.000000
17.000000,100.0000,95.3928,84.5331,105.0884,592.797119,-3585.586320,-2992.789201,119.002896,-3708.962345,4.373333,-0.000000,0.000000
18.000000,100.0000,92.1608,81.1553,108.5155,572.911987,-3569.207952,-2996.295965,114.247819,-3686.606993,3.149983,0.000000,0.000000
19.000000,100.0000,98.6516,84.5185,104.9278,613.549316,-3589.818017,-2976.268701,118.982430,-3710.017987,1.217968,-0.000000,0.000000
20.000000,100.0000,101.2793,85.1892,109.3812,628.828552,-3559.940382,-2931.111830,119.926624,-3681.009883,1.143109,0.000000,0.000000
21.000000,100.0000,102.1948,77.4139,107.1872,637.173828,-3585.548985,-2948.375156,108.980732,-3695.233509,0.704403,-0.000000,0.000000
22.000000,100.0000,102.6576,89.2358,107.3860,639.062256,-3568.160863,-2929.098607,125.623238,-3693.939557,0.153427,-0.000000,0.000000
23.000000,100.0000,95.6304,83.5168,106.0029,591.871582,-3585.071546,-2993.199964,117.572255,-3702.965532,0.323112,-0.000000,0.000000
24.000000,100.0000,95.8607,75.9451,103.4682,595.029419,-3611.228119,-3016.198700,106.913021,-3719.643214,1.501610,-0.000000,0.000000
25.000000,100.0000,96.3178,84.5041,102.4586,600.346069,-3606.128131,-3005.782062,118.962111,-3726.336597,1.247138,0.000000,0.000000
26.000000,100.0000,94.3130,84.3094,104.0030,586.241516,-3596.936633,-3010.695116,118.688002,-3716.109654,0.485165,0.000000,0.000000
