# F(k,t) correlation function
# Reference time: 401.001 ps
# lag_time_ps	F(k,t)
0.000000	481.95835777
2.000000	-63.90003275
4.000000	-13.22567013
6.000000	23.77048924
8.000000	17.19278095
10.000000	40.31898459
12.000000	-81.84813953
14.000000	50.16555569
16.000000	77.48210810
18.000000	-0.16380356
20.000000	4.99474812
22.000000	-51.93782623
24.000000	-46.41700561
26.000000	-119.97295719
28.000000	55.25960057
30.000000	-44.76363380
32.000000	-83.60834962
34.000000	40.73096661
36.000000	98.13398488
38.000000	-59.09918208
40.000000	-0.94020318
42.000000	-85.11057519
44.000000	-29.43575440
46.000000	-13.87898097
48.000000	26.10879914
50.000000	-31.06341228
52.000000	23.60997689
54.000000	-2.66961002
56.000000	-5.51994132
58.000000	-39.54112950
60.000000	69.39372141
62.000000	-42.26911962
64.000000	-33.79928918
66.000000	-11.57984837
68.000000	-48.18470661
70.000000	8.69693027
72.000000	-21.97832699
74.000000	-10.48356378
76.000000	-42.90836491
78.000000	-33.76168041
80.000000	6.18729013
82.000000	-42.49565924
84.000000	-22.65929521
86.000000	8.91119886
88.000000	-104.13493159
90.000000	11.02068764
92.000000	-54.83710003
94.000000	35.88168420
96.000000	46.22104899
98.000000	48.22062780
100.000000	-47.43995484
102.000000	43.80722276
104.000000	-23.52528340
106.000000	35.89106794
108.000000	7.30731987
110.000000	13.75122571
112.000000	-2.29266884
114.000000	-53.57801889
116.000000	23.86072416
118.000000	39.54466874
120.000000	-27.27611724
122.000000	87.79428073
124.000000	28.35523915
126.000000	-56.80140475
128.000000	-32.38224700
130.000000	-39.23329893
132.000000	10.21091873
134.000000	-31.81968622
136.000000	-52.95256837
138.000000	-80.94141994
140.000000	46.83225764
142.000000	20.86735225
144.000000	66.78428161
146.000000	-40.50448543
148.000000	53.72456956
150.000000	51.90698596
152.000000	-13.56560100
154.000000	3.10181892
156.000000	13.67922492
158.000000	21.63059956
160.000000	48.33179639
162.000000	-30.33574395
164.000000	53.13484324
166.000000	92.05339841
168.000000	-31.71606188
170.000000	-14.53978468
172.000000	-21.57826251
174.000000	-3.69354857
176.000000	78.08509251
