time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_kinetic_kjmol,E_potential_kjmol,E_mech_kjmol,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
1.000000,100.0000,97.5342,81.8070,107.4445,602.718384,-3577.602401,-2974.884017,115.165164,-3693.559071,0.792370,0.000000,0.000000
2.000000,100.0000,101.0910,72.2261,103.2032,628.715210,-3618.548544,-2989.833334,101.677534,-3721.397326,1.172329,-0.000000,0.000000
3.000000,100.0000,98.0494,78.6223,103.0178,612.467529,-3609.794491,-2997.326962,110.681950,-3722.626007,2.150160,-0.000000,0.000000
4.000000,100.0000,102.1225,82.3738,105.5935,635.339844,-3588.853354,-2953.513510,115.963118,-3705.647493,0.831944,-0.000000,0.000000
5.000000,100.0000,95.3578,82.1771,109.0573,595.185120,-3566.319971,-2971.134852,115.686224,-3683.101377,1.096022,-0.000000,0.000000
6.000000,100.0000,95.8007,85.7669,108.7374,594.272705,-3563.713966,-2969.441261,120.739813,-3685.170479,0.716209,-0.000000,0.000000
7.000000,100.0000,99.8659,75.9857,108.2017,617.652466,-3581.568058,-2963.915593,106.970104,-3688.640835,0.101881,0.000000,0.000000
8.000000,100.0000,101.4086,73.0258,102.7472,631.722290,-3620.747316,-2989.025026,102.803281,-3724.420150,0.867775,-0.000000,0.000000
9.000000,100.0000,95.9531,83.8276,103.6018,599.321167,-3599.080151,-2999.758984,118.009680,-3718.760069,1.669482,-0.000000,0.000000
10.000000,100.0000,97.5179,84.6389,102.5208,605.110962,-3604.510671,-2999.399709,119.151914,-3725.923244,2.260507,-0.000000,0.000000
11.000000,100.0000,104.4021,77.6885,97.2942,646.064941,-3650.513509,-3004.448568,109.367333,-3761.041211,1.160127,-0.000000,0.000000
12.000000,100.0000,98.9834,73.1341,106.4775,618.290222,-3596.854477,-2978.564255,102.955731,-3699.862547,0.051814,0.000000,0.000000
13.000000,100.0000,97.2034,80.6384,111.2156,607.223389,-3554.546942,-2947.323553,113.520071,-3669.213916,1.146492,0.000000,0.000000
