# F(k,t) correlation function
# Reference time: 1808.001 ps
# lag_time_ps	F(k,t)
0.000000	446.73420857
1.000000	58.34836255
3.000000	5.32186229
5.000000	-46.66856324
7.000000	-16.32614981
9.000000	11.58806593
11.000000	40.40285829
13.000000	-39.34409536
15.000000	-157.93876364
17.000000	88.47239717
19.000000	1.73534515
21.000000	-9.86574569
23.000000	-66.33146950
25.000000	-19.90874332
27.000000	0.81528113
29.000000	2.94569568
31.000000	108.38717756
33.000000	-42.69143814
35.000000	91.31436078
37.000000	-87.80768206
39.000000	57.79037885
41.000000	26.41006125
42.000000	-4.32752814
43.000000	-105.93917313
44.000000	16.01767592
45.000000	-0.33939840
46.000000	-13.50719827
47.000000	99.44418506
48.000000	-68.32082863
49.000000	50.69422801
50.000000	47.49541968
51.000000	57.72332564
52.000000	53.26485463
53.000000	-23.59186027
54.000000	20.27618767
55.000000	-41.31914939
56.000000	-28.10230523
57.000000	-16.56967838
58.000000	9.04966851
59.000000	26.61045370
60.000000	-55.48197081
61.000000	-8.17671909
62.000000	68.66019746
63.000000	-29.00904786
64.000000	12.09201322
65.000000	50.17598704
66.000000	-54.42437306
67.000000	8.11317750
68.000000	26.99285255
69.000000	74.96137153
70.000000	5.73317362
71.000000	99.12945849
72.000000	3.63601753
73.000000	-37.02847358
74.000000	-68.14830767
75.000000	-55.77417714
76.000000	-73.91504642
77.000000	4.11098813
78.000000	-40.77844402
79.000000	-97.10198932
80.000000	33.08559787
81.000000	-3.43861854
82.000000	-71.04321614
83.000000	17.22671218
84.000000	27.43641779
85.000000	20.68801725
86.000000	78.15883805
87.000000	-27.89144986
88.000000	38.26959071
89.000000	-32.87401413
90.000000	-64.44392358
91.000000	5.69871836
92.000000	50.28960970
93.000000	-87.89203501
94.000000	6.57996092
95.000000	36.73006290
96.000000	-132.62382688
97.000000	48.21823263
98.000000	2.64861287
99.000000	45.46120310
100.000000	-49.83121778
101.000000	-1.58553217
102.000000	115.29898981
103.000000	42.16833719
104.000000	-72.37855938
105.000000	20.88218688
106.000000	73.54729033
107.000000	-79.17844988
108.000000	-1.41005613
109.000000	16.26330628
110.000000	47.86346319
111.000000	18.08326018
112.000000	88.48528976
113.000000	19.31366358
114.000000	21.39287711
115.000000	-76.52735778
116.000000	2.99284859
117.000000	19.66710536
118.000000	-63.56670659
119.000000	-44.72281099
120.000000	47.25591472
121.000000	121.78973594
122.000000	-14.73809861
123.000000	-14.10295218
124.000000	-4.29807088
125.000000	-32.95915471
126.000000	16.86054893
127.000000	109.14292817
128.000000	31.47904318
129.000000	-111.80469345
130.000000	39.01173506
131.000000	10.66595773
132.000000	-16.20172511
133.000000	72.99125196
134.000000	-69.09881553
135.000000	-4.77330610
136.000000	75.47085558
137.000000	7.21896476
138.000000	-25.86998497
139.000000	-35.31142117
140.000000	-38.00853136
141.000000	69.33449215
142.000000	70.16225520
143.000000	-29.85713749
144.000000	59.10241674
145.000000	27.66196746
146.000000	-22.83897843
147.000000	-54.27402216
148.000000	40.59734593
149.000000	-111.84812232
150.000000	-5.16883937
151.000000	-44.60866452
152.000000	118.72877610
153.000000	-71.34556376
154.000000	105.34300028
155.000000	-47.97626353
156.000000	-31.05410096
157.000000	21.62571941
158.000000	94.40662000
159.000000	-11.21658750
160.000000	-33.20859892
161.000000	2.88990174
162.000000	-94.78713236
163.000000	-67.33532577
164.000000	57.36285580
165.000000	-1.53216818
166.000000	-87.12457047
167.000000	-31.66761703
168.000000	20.81591070
169.000000	-37.51343465
170.000000	-48.86922134
171.000000	9.96698260
172.000000	-34.24314641
173.000000	51.86151101
174.000000	-31.49001943
175.000000	-45.69164835
176.000000	-18.80358952
177.000000	29.33593753
178.000000	-34.69194005
179.000000	15.29705872
180.000000	30.66184812
181.000000	-13.73408733
182.000000	20.80477236
183.000000	-86.05598061
184.000000	-5.95569459
185.000000	-106.38989524
186.000000	-14.74739093
187.000000	-57.31609101
188.000000	-40.67053747
189.000000	-59.98668120
190.000000	63.26463599
191.000000	18.99137113
192.000000	73.41140058
193.000000	31.89372900
194.000000	-44.52283701
195.000000	44.87466343
196.000000	1.98367495
197.000000	-12.38938464
198.000000	3.89877003
199.000000	-66.17740457
200.000000	14.87729030
201.000000	-99.47137910
202.000000	-48.10114987
203.000000	69.61476838
204.000000	64.69296295
205.000000	40.70559410
206.000000	63.90440241
207.000000	-2.86911936
208.000000	-26.24055027
209.000000	-40.39988578
210.000000	19.51513261
211.000000	-82.04779189
212.000000	28.91560289
213.000000	-25.32216080
214.000000	3.10575028
215.000000	38.70528851
216.000000	-39.45222971
217.000000	61.23094008
218.000000	-77.54617063
219.000000	-28.06798584
220.000000	78.51960431
221.000000	-1.51072971
222.000000	-18.49745385
223.000000	44.64856780
224.000000	-33.62023875
225.000000	66.65868615
226.000000	37.78660238
227.000000	-7.39420099
228.000000	-22.67029957
229.000000	24.22249257
230.000000	24.25332490
231.000000	-43.47911544
232.000000	-4.67566110
233.000000	-34.44651490
234.000000	35.09357908
235.000000	2.42505727
236.000000	25.26775656
237.000000	-16.17933648
238.000000	-100.17001620
239.999000	29.33937602
240.999000	46.10655193
241.999000	22.71534367
242.999000	56.16149489
243.999000	7.04663437
244.999000	64.06789346
245.999000	-49.24667355
246.999000	-15.14667004
247.999000	-8.53213660
248.999000	91.51980190
249.999000	39.88755641
250.999000	13.88932709
251.999000	-9.53035023
252.999000	23.71334138
253.999000	88.18502045
254.999000	-2.00920064
255.999000	-31.84932719
256.999000	9.23103319
257.999000	-11.13504530
258.999000	-19.14673587
259.999000	-18.63935108
260.999000	21.89513095
261.999000	-0.25031582
262.999000	-69.49963092
263.999000	-38.55542961
264.999000	-30.71667681
265.999000	10.50277412
266.999000	9.94319629
267.999000	-36.30220274
268.999000	-36.17403730
269.999000	10.30217954
270.999000	26.06621039
271.999000	-6.85022762
272.999000	-54.55639397
273.999000	-37.09835015
274.999000	-16.41475068
275.999000	-35.83752385
276.999000	-2.82851055
277.999000	-58.86532035
278.999000	-29.34798014
279.999000	-25.28040752
280.999000	-9.78677900
281.999000	-9.59563144
282.999000	-67.70788967
283.999000	114.13137598
284.999000	111.29031074
285.999000	7.41891623
286.999000	39.38130290
287.999000	48.01246489
288.999000	-27.14528063
289.999000	44.49456570
290.999000	-50.90457513
291.999000	23.06391513
292.999000	21.36606343
293.999000	14.24852129
294.999000	-49.03261469
295.999000	22.65238973
296.999000	46.77327019
297.999000	68.16187489
298.999000	30.65828050
