time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_kinetic_kjmol,E_potential_kjmol,E_mech_kjmol,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
1.000000,100.0000,106.7734,77.4959,107.5651,663.457520,-3582.088376,-2918.630856,109.096203,-3692.774801,1.589182,0.000000,0.000000
2.000000,100.0000,100.4989,80.1921,111.5296,628.028870,-3553.195709,-2925.166839,112.891811,-3667.203612,1.116208,0.000000,0.000000
3.000000,100.0000,100.8384,89.0206,108.7730,624.634399,-3558.284903,-2933.650503,125.320280,-3684.940103,1.334715,0.000000,0.000000
4.000000,100.0000,106.5610,76.1161,108.6451,660.010864,-3578.178856,-2918.167992,107.153735,-3685.767734,0.434601,-0.000000,0.000000
5.000000,100.0000,97.9162,75.1049,104.1515,611.978882,-3609.168570,-2997.189689,105.730157,-3715.129471,0.230445,-0.000000,0.000000
6.000000,100.0000,94.1078,85.9664,108.1436,581.229492,-3567.062187,-2985.832695,121.020668,-3689.017791,0.934504,-0.000000,0.000000
7.000000,100.0000,103.4917,70.6587,104.5024,640.701233,-3611.676619,-2970.975386,99.470944,-3712.816790,1.670204,-0.000000,0.000000
8.000000,100.0000,102.4133,78.5734,106.0879,640.641113,-3591.047966,-2950.406853,110.613026,-3702.409250,0.749301,-0.000000,0.000000
9.000000,100.0000,95.8518,84.9834,108.5169,593.586975,-3565.293614,-2971.706639,119.636861,-3686.597562,1.667717,-0.000000,0.000000
10.000000,100.0000,100.5511,75.8750,110.7977,622.148560,-3564.342930,-2942.194370,106.814348,-3671.893313,0.735529,-0.000000,0.000000
11.000000,100.0000,100.5418,78.8665,110.5141,627.271545,-3561.519839,-2934.248293,111.025618,-3673.714369,1.168924,-0.000000,0.000000
12.000000,100.0000,106.3349,85.3179,108.2599,659.203979,-3567.972786,-2908.768807,120.107773,-3688.262965,0.182345,-0.000000,0.000000
13.000000,100.0000,99.2490,78.0616,107.9430,615.850830,-3579.466107,-2963.615277,109.892485,-3690.319014,0.961617,0.000000,0.000000
14.000000,100.0000,103.2816,76.7193,102.8842,642.400879,-3614.587816,-2972.186937,108.002960,-3723.511790,0.921716,-0.000000,0.000000
15.000000,100.0000,102.1526,76.5699,105.0449,635.209778,-3599.488349,-2964.278571,107.792562,-3709.247966,1.967430,0.000000,0.000000
16.000000,100.0000,98.4262,79.0966,106.8586,611.835815,-3583.707319,-2971.871503,111.349623,-3697.375535,2.318034,-0.000000,0.000000
17.000000,100.0000,97.1990,74.7845,105.7100,604.926270,-3599.164967,-2994.238698,105.279149,-3704.883659,0.438463,-0.000000,0.000000
18.000000,100.0000,104.6201,84.7485,106.0557,652.457153,-3581.894923,-2929.437769,119.306106,-3702.620251,1.419792,-0.000000,0.000000
19.000000,100.0000,104.1008,79.3564,106.4703,646.223999,-3586.849818,-2940.625819,111.715353,-3699.909474,1.344055,-0.000000,0.000000
20.000000,100.0000,95.7013,74.5405,112.3349,594.400391,-3555.122228,-2960.721837,104.935719,-3662.059059,2.001451,-0.000000,0.000000
21.000000,100.0000,101.6914,82.3667,110.9950,634.404236,-3552.773727,-2918.369491,115.953184,-3670.627463,1.900566,-0.000000,0.000000
22.000000,100.0000,100.5950,86.3010,116.5457,623.694763,-3513.141131,-2889.446368,121.491723,-3635.422270,0.788547,-0.000000,0.000000
23.000000,100.0000,99.1260,79.8956,112.1540,613.622375,-3549.777811,-2936.155436,112.474345,-3663.212820,0.960547,-0.000000,0.000000
24.000000,100.0000,100.1649,77.3666,107.4742,622.529114,-3582.719325,-2960.190212,108.914159,-3693.365737,1.732984,-0.000000,0.000000
25.000000,100.0000,97.3505,78.9819,111.4906,604.294922,-3554.309429,-2950.014507,111.188066,-3667.453192,1.955201,-0.000000,0.000000
26.000000,100.0000,98.0168,78.3231,106.9624,610.168884,-3585.627970,-2975.459086,110.260755,-3696.698288,0.809656,-0.000000,0.000000
27.000000,100.0000,96.4953,85.8163,109.1784,600.204712,-3561.301406,-2961.096694,120.809350,-3682.318851,0.208069,-0.000000,0.000000
28.000000,100.0000,93.8291,74.9577,105.8436,581.373413,-3598.024706,-3016.651293,105.522960,-3704.008814,0.461892,-0.000000,0.000000
29.000000,100.0000,101.0375,76.3710,102.9582,628.405334,-3615.486985,-2987.081651,107.512560,-3723.021069,0.022573,0.000000,0.000000
30.000000,100.0000,96.6696,80.6953,105.4825,603.150208,-3591.187277,-2988.037069,113.600162,-3706.375036,1.588240,0.000000,0.000000
31.000000,100.0000,96.1845,77.1023,109.3900,596.661743,-3568.815663,-2972.153920,108.542023,-3680.952907,3.594162,0.000000,0.000000
32.000000,100.0000,102.2814,74.5803,105.3960,636.434082,-3599.536245,-2963.102163,104.991748,-3706.942802,2.415290,0.000000,0.000000
33.000000,100.0000,98.2625,83.1444,108.2222,612.702759,-3569.784001,-2957.081242,117.047941,-3688.507687,1.676241,0.000000,0.000000
34.000000,100.0000,99.3657,80.3730,105.0420,617.476746,-3595.333141,-2977.856395,113.146410,-3709.266815,0.788230,0.000000,0.000000
35.000000,100.0000,97.7830,72.3864,107.2904,608.858643,-3592.547505,-2983.688863,101.903162,-3694.561786,0.111908,0.000000,0.000000
36.000000,100.0000,94.0603,74.7672,110.6724,588.022949,-3567.379545,-2979.356596,105.254869,-3672.697699,0.062623,-0.000000,0.000000
37.000000,100.0000,97.6039,85.3010,110.0757,605.950806,-3555.776010,-2949.825205,120.083920,-3676.533280,0.673199,-0.000000,0.000000
38.000000,100.0000,97.5496,82.3061,112.8106,602.552002,-3542.561142,-2940.009140,115.867849,-3659.027499,0.597929,0.000000,0.000000
39.000000,100.0000,104.0281,69.9070,104.5871,646.296570,-3613.273820,-2966.977250,98.412722,-3712.258941,0.572570,-0.000000,0.000000
40.000000,100.0000,99.7729,82.5821,107.7323,623.603699,-3575.237721,-2951.634022,116.256393,-3691.687605,0.193682,0.000000,0.000000
41.000000,100.0000,99.4689,85.7031,105.8018,617.460327,-3583.354401,-2965.894074,120.649988,-3704.282166,0.277001,0.000000,0.000000
42.000000,100.0000,100.9083,77.4743,113.5824,624.639832,-3544.679146,-2920.039314,109.065733,-3654.121521,0.376482,0.000000,0.000000
43.000000,100.0000,100.9915,78.1071,110.9218,629.507935,-3559.803255,-2930.295320,109.956648,-3671.097123,1.337169,0.000000,0.000000
44.000000,100.0000,95.8531,86.6704,107.6083,596.726746,-3567.158242,-2970.431496,122.011745,-3692.493449,3.324520,-0.000000,0.000000
45.000000,100.0000,99.4475,78.6155,105.9171,614.241699,-3591.663435,-2977.421736,110.672347,-3703.527319,1.191269,-0.000000,0.000000
46.000000,100.0000,110.2511,74.3314,103.6983,686.641724,-3613.004994,-2926.363270,104.641325,-3718.121870,0.476271,-0.000000,0.000000
47.000000,100.0000,102.1314,86.0369,111.3221,636.155273,-3546.079318,-2909.924044,121.119933,-3668.531880,1.331037,0.000000,0.000000
48.000000,100.0000,105.9570,86.0234,113.0017,655.317871,-3535.999614,-2880.681743,121.100871,-3657.811485,0.709917,0.000000,0.000000
49.000000,100.0000,106.8725,81.4945,107.5984,663.475708,-3577.115875,-2913.640167,114.725244,-3692.558402,0.715115,0.000000,0.000000
50.000000,100.0000,99.2800,84.9773,111.6012,620.129456,-3546.386868,-2926.257413,119.628197,-3666.745585,0.730808,-0.000000,0.000000
51.000000,100.0000,97.1915,86.0050,108.6119,601.039062,-3563.727624,-2962.688562,121.074975,-3685.982811,1.180055,0.000000,0.000000
52.000000,100.0000,95.7684,71.5561,105.7080,592.312866,-3603.804914,-3011.492048,100.734362,-3704.896884,0.358156,0.000000,0.000000
53.000000,100.0000,93.5198,75.6388,113.0401,585.474365,-3550.911535,-2965.437170,106.481877,-3657.567508,0.174554,-0.000000,0.000000
54.000000,100.0000,103.2765,83.5937,107.4282,640.505127,-3575.609375,-2935.104248,117.680450,-3693.664845,0.375338,-0.000000,0.000000
