# F(k,t) correlation function
# Reference time: 401.001 ps
# lag_time_ps	F(k,t)
0.000000	556.37509508
2.000000	49.64358183
4.000000	58.37073792
6.000000	-14.55038840
8.000000	-2.90388671
10.000000	-73.89781908
12.000000	54.53828410
14.000000	-21.69530942
16.000000	91.40833776
18.000000	3.27192387
20.000000	-47.73679790
22.000000	-84.67277218
24.000000	-13.61881172
26.000000	-35.31639416
28.000000	13.89964516
30.000000	56.26023491
32.000000	21.34739973
34.000000	-61.61109819
36.000000	-42.08640940
38.000000	-8.88115932
40.000000	12.20747927
42.000000	59.28751092
44.000000	37.02439266
46.000000	3.09030177
48.000000	22.67377953
50.000000	26.24937205
52.000000	28.58597354
54.000000	13.26950399
56.000000	41.47624174
58.000000	-64.99160823
60.000000	39.24365911
62.000000	-31.24903205
64.000000	-38.88621341
66.000000	-27.09066383
68.000000	-26.60540271
70.000000	-40.27297670
72.000000	79.18127893
74.000000	4.61629141
76.000000	-97.96756191
78.000000	78.64386129
80.000000	45.90130983
82.000000	-106.51409808
84.000000	138.24597315
86.000000	129.88230237
88.000000	76.06468183
90.000000	-25.82898440
92.000000	30.27563692
94.000000	31.49247339
96.000000	-31.36207745
98.000000	-34.61565619
100.000000	-26.85391013
102.000000	24.28905551
104.000000	-57.66469436
106.000000	10.22271093
108.000000	27.71928736
110.000000	-11.12210151
112.000000	52.21909373
114.000000	-18.47790107
116.000000	67.91228190
118.000000	-51.86892064
120.000000	-90.94263942
122.000000	-37.58064599
124.000000	-41.95101325
126.000000	-14.73729203
128.000000	-27.28367109
130.000000	52.29754177
132.000000	-1.20737472
134.000000	-61.35400811
136.000000	-2.06352354
138.000000	53.21602041
140.000000	-82.85365930
142.000000	21.46473668
144.000000	59.20568285
146.000000	65.71103664
148.000000	73.31503871
150.000000	13.83948276
152.000000	5.91706561
154.000000	55.03704759
156.000000	-95.28535759
158.000000	16.34196936
160.000000	25.59435487
162.000000	-13.09033534
164.000000	99.67198351
166.000000	43.44048046
168.000000	19.83788542
170.000000	7.77222486
172.000000	-93.91230952
174.000000	-57.52079156
176.000000	24.37230358
178.000000	-76.15206123
180.000000	-108.20534695
182.000000	56.44014483
184.000000	-58.27129499
186.000000	9.99496309
188.000000	-111.34941241
190.000000	38.82197020
192.000000	20.90547431
194.000000	-1.42638540
196.000000	87.98445597
198.000000	-116.25325940
200.000000	79.93932758
202.000000	-42.59229833
204.000000	7.19911520
206.000000	-109.17477786
208.000000	11.89809961
210.000000	-18.40061647
212.000000	-93.69402972
214.000000	-108.19277656
216.000000	56.69972349
218.000000	-59.17802304
220.000000	-30.22266391
222.000000	-3.00373742
224.000000	-45.48303803
226.000000	28.43563078
228.000000	-42.67397667
230.000000	-54.17935766
232.000000	-58.10016302
234.000000	88.21656274
236.000000	72.54341307
238.000000	-63.63369994
240.000000	-56.07418564
242.000000	-11.14450338
244.000000	-58.04343073
246.000000	-42.73737433
248.000000	29.69613635
250.000000	48.11683300
252.000000	-19.22101883
254.000000	-7.76274586
256.000000	29.75020384
258.000000	-33.50507575
260.000000	35.15828782
262.000000	-68.84372908
264.000000	-35.86440124
266.000000	-53.19117050
268.000000	-64.04200808
270.000000	31.02327781
272.000000	8.15807851
274.000000	-20.71693420
276.000000	21.66313421
278.000000	10.95989061
280.000000	-29.20413136
282.000000	51.87092426
284.000000	20.97331775
286.000000	34.11720075
288.000000	70.83024256
290.000000	90.70970524
292.000000	-6.49667466
294.000000	-43.78335142
296.000000	67.79897009
298.000000	4.35747051
300.000000	-10.20326802
302.000000	26.06861395
304.000000	-4.69409648
306.000000	-23.53447533
308.000000	12.79755276
310.000000	8.18848368
312.000000	-24.26192416
314.000000	-60.72730332
316.000000	-7.53680846
318.000000	91.88149517
320.000000	26.65470671
322.000000	-79.45432882
324.000000	28.77415207
326.000000	89.31308218
328.000000	58.39646645
330.000000	50.59964294
332.000000	34.37005050
334.000000	-28.36012461
336.000000	35.42583573
338.000000	-13.13971103
340.000000	-31.32034445
342.000000	18.32817644
344.000000	15.97231091
346.000000	0.75795462
348.000000	38.64167211
350.000000	66.94666654
352.000000	75.34178175
354.000000	-63.53066410
356.000000	110.78583824
358.000000	-51.80093203
360.000000	-91.90865567
362.000000	-66.49604840
364.000000	-21.77588634
366.000000	15.60213708
368.000000	47.00198923
370.000000	13.47359420
372.000000	-32.50761768
374.000000	76.50714688
376.000000	-24.10752802
378.000000	81.44600702
380.000000	-31.63445691
382.000000	-54.67437260
384.000000	-23.62519256
386.000000	21.84934820
388.000000	-7.25785350
390.000000	93.59857028
392.000000	-6.10868990
394.000000	19.50408289
396.000000	75.43483800
398.000000	-15.17737681
400.000000	8.33126035
402.000000	-70.73796918
404.000000	-108.00138421
406.000000	-5.38848412
408.000000	-12.26127187
410.000000	-0.85594889
412.000000	-20.85835318
414.000000	-28.20744711
416.000000	48.25240872
418.000000	6.17323392
420.000000	15.76835915
422.000000	-33.40880693
424.000000	12.19990216
426.000000	61.63643027
428.000000	140.98593213
430.000000	34.75989849
432.000000	22.95464710
434.000000	-6.03738839
436.000000	-23.48083465
438.000000	6.34291749
440.000000	-53.16352684
442.000000	-7.20639185
444.000000	-41.91861453
446.000000	80.29264261
448.000000	-49.41995318
450.000000	-52.39909752
452.000000	48.06615401
454.000000	-30.47196919
456.000000	34.52649526
458.000000	1.54628448
460.000000	-85.14094824
462.000000	31.99204056
464.000000	26.88544992
466.000000	48.89771460
468.000000	-6.02804525
470.000000	-31.38647427
472.000000	-30.22687079
474.000000	64.92285103
476.000000	71.63386085
478.000000	-14.00811552
480.000000	-49.40298353
482.000000	-67.99617619
484.000000	-15.36061327
486.000000	10.57527205
488.000000	14.14119666
490.000000	-3.68669421
492.000000	-47.76209874
494.000000	53.14556741
496.000000	-64.21191767
498.000000	20.74605401
500.000000	-26.81968091
502.000000	-33.40162472
