time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_kinetic_kjmol,E_potential_kjmol,E_mech_kjmol,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
1.000000,100.0000,103.7129,69.4140,110.6565,641.216064,-3574.754526,-2933.538461,97.718679,-3672.799909,0.327044,-0.000000,0.000000
2.000000,100.0000,99.7013,71.5801,109.0285,625.625000,-3581.442019,-2955.817019,100.768178,-3683.287796,1.077413,-0.000000,0.000000
3.000000,100.0000,96.3787,85.8431,112.9084,601.282227,-3537.166523,-2935.884296,120.847095,-3658.405176,0.392501,0.000000,0.000000
4.000000,100.0000,96.4062,70.5512,106.0456,595.352661,-3602.008810,-3006.656149,99.319620,-3702.686305,1.356652,0.000000,0.000000
5.000000,100.0000,106.4556,65.6727,104.9683,662.272949,-3614.891597,-2952.618647,92.451853,-3709.751653,2.407558,-0.000000,0.000000
6.000000,100.0000,98.2583,80.0326,113.0462,613.050537,-3543.226483,-2930.175946,112.667306,-3657.528478,1.635283,0.000000,0.000000
7.000000,100.0000,100.9467,76.3271,111.6971,624.731201,-3558.053182,-2933.321981,107.450798,-3666.132012,0.628210,-0.000000,0.000000
8.000000,100.0000,105.6379,71.6636,110.2822,655.827332,-3573.166830,-2917.339498,100.885589,-3675.204917,1.153096,-0.000000,0.000000
9.000000,100.0000,110.5595,77.2359,105.0064,688.660339,-3599.793800,-2911.133460,108.730220,-3709.500880,0.977205,-0.000000,0.000000
10.000000,100.0000,96.6617,77.9656,112.6792,598.947571,-3547.662473,-2948.714902,109.757445,-3659.864515,2.444646,-0.000000,0.000000
11.000000,100.0000,104.6419,71.3962,111.6952,649.291504,-3564.970868,-2915.679364,100.509164,-3666.144400,0.664585,-0.000000,0.000000
12.000000,100.0000,106.6567,79.1910,114.0643,666.391724,-3538.561434,-2872.169710,111.482435,-3651.066069,1.022692,0.000000,0.000000
13.000000,100.0000,100.3807,81.1778,117.5459,625.595642,-3512.261450,-2886.665808,114.279490,-3629.158315,2.616553,0.000000,0.000000
14.000000,100.0000,101.2763,70.6678,108.4859,628.594177,-3585.352494,-2956.758317,99.483861,-3686.798605,1.962677,-0.000000,0.000000
15.000000,100.0000,100.3812,68.1750,112.2551,626.006042,-3565.229649,-2939.223607,95.974577,-3662.567771,1.363644,0.000000,0.000000
16.000000,100.0000,96.9130,81.1451,109.1590,605.567017,-3567.064627,-2961.497611,114.233351,-3682.444253,1.146448,-0.000000,0.000000
17.000000,100.0000,100.3333,76.2096,107.3420,618.582520,-3585.649820,-2967.067301,107.285413,-3694.225799,1.290113,0.000000,0.000000
18.000000,100.0000,98.0346,62.5335,109.8755,610.171448,-3588.809299,-2978.637851,88.032644,-3677.822568,0.981392,-0.000000,0.000000
19.000000,100.0000,100.6556,78.0851,107.6945,630.632568,-3581.668640,-2951.036072,109.925692,-3691.933245,0.338920,-0.000000,0.000000
20.000000,100.0000,98.1570,84.3060,115.0068,608.048523,-3524.339133,-2916.290610,118.683251,-3645.106515,2.084584,0.000000,0.000000
21.000000,100.0000,102.2937,69.3826,108.7885,632.229614,-3585.991393,-2953.761779,97.674571,-3684.839468,1.173759,0.000000,0.000000
22.000000,100.0000,104.4698,69.4436,111.1516,651.720337,-3570.837159,-2919.116823,97.760381,-3669.623803,1.025581,-0.000000,0.000000
23.000000,100.0000,98.4876,81.1550,110.8404,613.372925,-3556.805604,-2943.432679,114.247274,-3671.619451,0.566416,0.000000,0.000000
24.000000,100.0000,95.8264,73.9367,107.0598,593.375366,-3590.810917,-2997.435551,104.085672,-3696.063635,1.166789,-0.000000,0.000000
25.000000,100.0000,100.9831,71.0705,111.5879,627.947937,-3566.402789,-2938.454852,100.050654,-3666.830481,0.377947,0.000000,0.000000
26.000000,100.0000,105.6091,78.4336,108.9319,660.275757,-3573.265758,-2912.990001,110.416297,-3683.911828,0.230260,0.000000,0.000000
27.000000,100.0000,98.4248,75.7635,116.8961,612.030396,-3525.212603,-2913.182208,106.657316,-3633.225007,1.355343,0.000000,0.000000
28.000000,100.0000,93.9282,72.9921,119.3610,582.758301,-3512.435261,-2929.676960,102.755896,-3617.851969,2.661280,0.000000,0.000000
29.000000,100.0000,99.1533,77.2636,114.6073,617.152832,-3536.094741,-2918.941909,108.769188,-3647.629771,2.766357,0.000000,0.000000
30.000000,100.0000,102.3553,74.4259,107.9898,633.739624,-3583.778648,-2950.039024,104.774315,-3690.015478,1.462467,0.000000,0.000000
31.000000,100.0000,103.5636,70.8284,111.4993,643.260254,-3567.035687,-2923.775433,99.709880,-3667.397311,0.652786,-0.000000,0.000000
32.000000,100.0000,97.2404,72.8467,108.2965,605.796509,-3585.161005,-2979.364496,102.551242,-3688.025781,0.313291,-0.000000,0.000000
33.000000,100.0000,96.6447,76.7464,109.6885,601.162842,-3570.678711,-2969.515870,108.041047,-3679.027383,0.307048,-0.000000,0.000000
34.000000,100.0000,98.6834,69.9014,108.1692,611.071533,-3589.923358,-2978.851825,98.404834,-3688.851280,0.524389,0.000000,0.000000
35.000000,100.0000,104.1741,70.9071,106.6576,651.583191,-3598.472780,-2946.889589,99.820631,-3698.686730,0.393977,0.000000,0.000000
36.000000,100.0000,92.8519,78.0577,111.2669,578.881653,-3558.481570,-2979.599918,109.887036,-3668.885343,0.517019,0.000000,0.000000
37.000000,100.0000,98.6072,75.3711,108.6920,613.248657,-3578.608574,-2965.359917,106.105026,-3685.464121,0.750103,0.000000,0.000000
