# F(k,t) correlation function
# Reference time: 0.001 ps
# lag_time_ps	F(k,t)
0.000000	774.46282618
1.999000	541.03394269
3.999000	507.93198026
4.999000	572.17756656
5.999000	399.50441580
6.999000	360.24895383
7.999000	290.55668661
9.999000	302.24014545
11.999000	376.01411650
13.999000	290.75231041
15.999000	328.04690632
16.999000	345.03342577
17.999000	330.84503149
18.999000	398.83544545
19.999000	385.97372101
20.999000	372.40455589
21.999000	445.02732689
22.999000	334.99993882
23.999000	312.97042437
24.999000	359.80506200
25.999000	329.19549307
26.999000	294.35760583
27.999000	232.46029455
28.999000	114.79535432
29.999000	191.81449637
30.999000	235.41632167
31.999000	315.57913505
33.999000	273.35536870
35.999000	337.79784519
37.999000	325.45369760
39.999000	243.97750144
41.999000	205.26071324
43.999000	244.82274449
45.999000	191.45423452
47.999000	206.41130116
49.999000	189.40855850
51.999000	128.40327677
53.999000	173.58525383
55.999000	203.65386394
57.999000	184.57234881
59.999000	244.54383978
61.999000	178.39987785
63.999000	149.56299541
64.999000	196.46616205
65.999000	213.66376888
66.999000	242.89106945
67.999000	241.14180171
68.999000	84.54219307
69.999000	133.24831111
70.999000	175.17466230
71.999000	176.99503648
72.999000	194.05072566
73.999000	217.15475056
74.999000	110.28270541
75.999000	209.57859192
76.999000	235.30110189
77.999000	263.43199954
78.999000	292.76439516
79.999000	243.02442241
80.999000	214.87354012
81.999000	135.32645526
82.999000	131.68597538
83.999000	203.30596030
84.999000	102.52568808
85.999000	249.67445702
86.999000	177.33477363
87.999000	107.98632607
88.999000	131.66159268
89.999000	168.31561656
90.999000	134.44171139
91.999000	2.49909111
92.999000	73.79607704
93.999000	186.43222618
94.999000	106.83327785
95.999000	94.45299994
96.999000	172.27584345
97.999000	145.88584239
98.999000	148.95201781
99.999000	114.99353672
100.999000	173.78689305
101.999000	97.46413805
102.999000	9.54135043
103.999000	16.18207243
104.999000	142.14034097
105.999000	66.57182801
106.999000	144.92907907
107.999000	46.06916588
108.999000	99.29795336
109.999000	132.27771144
110.999000	121.93423474
111.999000	81.16066090
112.999000	241.16045795
113.999000	188.41358745
114.999000	105.42654036
115.999000	73.34957689
116.999000	134.93221792
117.999000	184.48356158
118.999000	233.82467042
119.999000	170.20147826
120.999000	127.54948672
121.999000	236.29748064
122.999000	298.80261851
123.999000	150.35958165
124.999000	207.21290637
125.999000	156.83736850
126.999000	267.85914351
127.999000	231.79326769
128.999000	165.84716952
129.999000	136.20933682
130.999000	246.29325904
131.999000	172.08053227
132.999000	147.02356611
133.999000	184.67849154
134.999000	175.66914986
135.999000	136.40648010
136.999000	245.95106233
137.999000	162.50875605
138.999000	190.52989140
139.999000	182.43529414
140.999000	289.42289701
141.999000	286.37578034
142.999000	246.28322016
143.999000	274.83381857
144.999000	143.04969240
145.999000	243.79157625
146.999000	212.24849444
147.999000	147.92394401
148.999000	132.83260600
149.999000	160.03162394
