sample_index,time_ps,harmonic_hartree,total_PE_hartree,intramolecular_hartree,lj_hartree,coulombic_hartree,T_kinetic_K
0,10100.000000,0.2418043601,-0.4400386910,0.2418043601,-0.6818430512,0.0000000000,404.860864
1,10200.000000,0.2010449197,-0.4456364293,0.2010449197,-0.6466813490,0.0000000000,414.426745
2,10300.000000,0.2262850458,-0.4457703303,0.2262850458,-0.6720553761,0.0000000000,423.732779
3,10400.000000,0.2207044048,-0.4778786853,0.2207044048,-0.6985830901,0.0000000000,396.698200
4,10500.000000,0.2241416387,-0.4603407536,0.2241416387,-0.6844823923,0.0000000000,423.098100
5,10600.000000,0.2350951639,-0.4854009895,0.2350951639,-0.7204961535,0.0000000000,353.970154
6,10700.000000,0.2367879642,-0.4023432869,0.2367879642,-0.6391312511,0.0000000000,410.222693
7,10800.000000,0.2187754246,-0.4525235751,0.2187754246,-0.6712989997,0.0000000000,422.003903
8,10900.000000,0.2267467684,-0.4528714613,0.2267467684,-0.6796182297,0.0000000000,408.529054
9,11000.000000,0.2199530630,-0.4396874146,0.2199530630,-0.6596404776,0.0000000000,391.385036
10,11100.000000,0.2270041644,-0.4394837002,0.2270041644,-0.6664878646,0.0000000000,394.856491
11,11200.000000,0.2257711993,-0.4061394337,0.2257711993,-0.6319106330,0.0000000000,402.769723
12,11300.000000,0.2438144057,-0.4247913086,0.2438144057,-0.6686057142,0.0000000000,387.609611
13,11400.000000,0.2256330917,-0.4465187286,0.2256330917,-0.6721518204,0.0000000000,378.605002
14,11500.000000,0.2269924468,-0.4395775051,0.2269924468,-0.6665699518,0.0000000000,374.179042
15,11600.000000,0.2467177660,-0.4237382476,0.2467177660,-0.6704560136,0.0000000000,400.789379
16,11700.000000,0.2357991203,-0.4311585982,0.2357991203,-0.6669577185,0.0000000000,374.026117
17,11800.000000,0.2281204614,-0.4541204266,0.2281204614,-0.6822408880,0.0000000000,415.673787
18,11900.000000,0.2636695910,-0.4390876343,0.2636695910,-0.7027572254,0.0000000000,385.436801
19,12000.000000,0.2449040727,-0.4326903075,0.2449040727,-0.6775943802,0.0000000000,408.038529
20,12100.000000,0.2247539492,-0.4330144799,0.2247539492,-0.6577684291,0.0000000000,400.147770
21,12200.000000,0.2404193101,-0.4536755704,0.2404193101,-0.6940948805,0.0000000000,375.390222
22,12300.000000,0.2542248837,-0.4426975960,0.2542248837,-0.6969224797,0.0000000000,388.989377
23,12400.000000,0.2283967002,-0.4448545111,0.2283967002,-0.6732512113,0.0000000000,402.853036
24,12500.000000,0.2394650609,-0.4391101794,0.2394650609,-0.6785752403,0.0000000000,382.702562
25,12600.000000,0.2292705373,-0.4412620777,0.2292705373,-0.6705326149,0.0000000000,391.529151
26,12700.000000,0.2276477295,-0.4481926343,0.2276477295,-0.6758403638,0.0000000000,382.216031
27,12800.000000,0.2206459025,-0.4457156772,0.2206459025,-0.6663615797,0.0000000000,394.016816
28,12900.000000,0.2274394373,-0.4663685189,0.2274394373,-0.6938079562,0.0000000000,357.136935
29,13000.000000,0.2141690349,-0.4583231008,0.2141690349,-0.6724921357,0.0000000000,397.094058
30,13100.000000,0.2143745771,-0.4985154176,0.2143745771,-0.7128899947,0.0000000000,418.712779
31,13200.000000,0.2204387218,-0.4471707621,0.2204387218,-0.6676094839,0.0000000000,415.976582
32,13300.000000,0.2492977960,-0.4152025335,0.2492977960,-0.6645003295,0.0000000000,388.200207
33,13400.000000,0.2207358465,-0.4311485679,0.2207358465,-0.6518844145,0.0000000000,396.001936
34,13500.000000,0.1976296039,-0.4978564466,0.1976296039,-0.6954860505,0.0000000000,407.203709
35,13600.000000,0.2211645579,-0.4408557675,0.2211645579,-0.6620203254,0.0000000000,409.453373
