time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
1.000000,100.0000,20656.7658,78501.2832,538.1200,110511.524900,21377.373009,446677.531250,-878083.500000,0.000000
2.000000,100.0000,11299.3263,83244.5978,30307.4757,117189.007280,12560.497850,480720.906250,-948706.437500,0.000000
3.000000,100.0000,6229.1096,83712.8374,9022.4591,117848.179568,6711.279229,497807.000000,-982029.812500,0.000000
4.000000,100.0000,3519.3046,77041.7828,3683.5656,108456.888328,3044.350387,489778.687500,-973295.250000,0.000000
5.000000,100.0000,2167.9342,81914.2445,1702.9732,115316.179631,589.308784,493591.562500,-989632.000000,0.000000
6.000000,100.0000,1248.2237,78069.7673,897.2855,109904.051116,-954.044306,486001.343750,-978878.437500,0.000000
7.000000,100.0000,744.0731,79287.3349,543.6065,111618.102734,-1885.824104,496489.968750,-992610.687500,0.000000
8.000000,100.0000,516.6949,80994.2841,308.2557,114021.089700,-2698.113348,500136.750000,-999674.875000,0.000000
9.000000,100.0000,361.3902,78636.2727,193.1795,110701.558718,-3209.541470,493696.437500,-990364.937500,0.000000
10.000000,100.0000,252.9335,79987.7157,137.6715,112604.075717,-3507.823097,499243.125000,-998156.500000,0.000000
11.000000,100.0000,193.0268,79855.1977,98.9387,112417.521269,-3749.903754,500425.593750,-999330.937500,0.000000
12.000000,100.0000,157.4901,79045.1643,79.4126,111277.182901,-3887.999802,496560.562500,-994469.250000,0.000000
13.000000,100.0000,135.8808,79913.9448,68.8747,112500.223443,-3968.737878,498576.093750,-997764.625000,0.000000
14.000000,100.0000,114.0386,80389.8922,67.2427,113170.246612,-3981.709367,500111.437500,-1000007.500000,0.000000
15.000000,100.0000,115.9830,79243.6417,65.2221,111556.592869,-3997.959771,498027.875000,-996330.687500,0.000000
16.000000,100.0000,107.8046,80413.2309,63.1246,113203.102120,-4015.061228,501675.968750,-1001647.437500,0.000000
17.000000,100.0000,106.2994,79433.2129,60.6817,111823.464888,-4035.291974,498732.625000,-997349.812500,0.000000
18.000000,100.0000,107.5495,79309.5497,58.4052,111649.375912,-4054.462602,497472.187500,-995914.250000,0.000000
19.000000,100.0000,110.8735,80655.1186,57.9794,113543.623644,-4058.084295,501701.250000,-1002027.312500,0.000000
20.000000,100.0000,104.8230,79434.0391,60.4357,111824.628008,-4037.348366,496528.406250,-995133.000000,0.000000
21.000000,100.0000,99.1461,79969.4828,57.4612,112578.408011,-4062.507113,499636.343750,-999015.562500,0.000000
22.000000,100.0000,98.2469,80046.6109,56.5214,112686.986520,-4070.571601,500958.218750,-1000428.875000,0.000000
