time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
1.000000,100.0000,3123.9669,2676.3528,4641.4716,3767.681520,3911.081891,1323.442749,-2691.778564,1385.792603
2.000000,100.0000,1662.7868,1566.6088,1804.5719,2205.420359,750.357015,1428.939819,-3054.064209,1638.096313
3.000000,100.0000,929.9507,885.8483,958.6779,1247.068125,-813.894702,62.250202,-68.303665,23.879871
4.000000,100.0000,559.2689,590.7418,557.5022,831.626860,-1844.049521,1856.897339,-3427.124756,1582.028076
5.000000,100.0000,360.5438,398.7570,353.3949,561.356995,-2523.297248,3029.479004,-5814.664551,2792.259277
6.000000,100.0000,249.4997,301.1409,252.9144,423.936301,-2930.186832,2250.604004,-4413.397461,2164.883301
7.000000,100.0000,190.1454,245.9581,199.4964,346.251676,-3178.257024,1021.716309,-2104.702393,1085.099365
8.000000,100.0000,151.2512,199.6066,173.8810,280.999583,-3308.160760,1897.822266,-3889.439697,1992.868652
9.000000,100.0000,135.4025,155.7414,143.3355,219.247656,-3475.142201,1346.633057,-2827.429199,1484.630981
10.000000,100.0000,117.6671,147.0720,127.9036,207.043075,-3565.640928,2907.083984,-5678.058594,2773.355469
11.000000,100.0000,110.1207,129.4292,117.6652,182.206109,-3628.412748,3926.156006,-7743.924316,3818.625977
12.000000,100.0000,108.2469,120.7752,108.3892,170.023336,-3687.425315,3960.681885,-7993.834961,4033.756348
13.000000,100.0000,101.2368,116.7533,110.6952,164.361460,-3672.551493,3627.832520,-7321.712891,3694.660400
14.000000,100.0000,97.5175,116.1430,110.5197,163.502236,-3673.678214,3356.107910,-6562.033203,3208.698242
15.000000,100.0000,101.1972,122.6060,111.4321,172.600628,-3667.827587,1079.462280,-2122.112549,1046.982788
16.000000,100.0000,106.4519,115.3698,108.8159,162.413873,-3684.662337,461.251862,-858.575256,400.474762
17.000000,100.0000,100.8363,121.0366,106.9702,170.391356,-3696.647909,38.963684,-86.786545,49.725330
18.000000,100.0000,99.4861,115.4172,107.9662,162.480594,-3690.168783,717.041138,-1418.015381,702.182983
19.000000,100.0000,97.4531,106.5291,109.6610,149.968207,-3679.204493,79.790985,-138.414871,61.310741
20.000000,100.0000,98.8978,116.2406,105.1224,163.639652,-3708.738866,674.613464,-1353.949707,680.043884
21.000000,100.0000,98.5626,113.9461,104.6647,160.409627,-3711.748285,1908.239746,-3874.555420,1967.591553
22.000000,100.0000,98.8227,104.7879,106.9544,147.516946,-3696.750764,563.233154,-1095.144165,532.586182
23.000000,100.0000,98.5981,118.7074,107.7393,167.112411,-3691.642300,205.104156,-442.428436,238.591568
24.000000,100.0000,95.4982,120.4977,106.4306,169.632650,-3700.169011,284.842499,-541.767151,257.742126
25.000000,100.0000,97.2205,112.5796,105.8181,158.485927,-3704.175412,390.589386,-764.820984,374.551758
26.000000,100.0000,102.6517,106.3651,104.3592,149.737322,-3713.760613,595.680664,-1225.535156,632.014038
27.000000,100.0000,96.3920,113.2065,108.0645,159.368457,-3689.530824,566.230774,-1113.494019,547.848450
28.000000,100.0000,101.9498,120.3467,104.1068,169.420127,-3715.424756,1122.891846,-2173.509277,1051.812988
29.000000,100.0000,95.2803,110.8614,111.2045,156.067076,-3669.284886,993.981995,-1946.164307,953.435364
30.000000,100.0000,101.0265,106.3427,102.9869,149.705735,-3722.830329,703.416687,-1341.648193,639.814148
31.000000,100.0000,94.3113,111.0132,103.9184,156.280724,-3716.667922,1130.735107,-2195.829590,1066.385010
32.000000,100.0000,96.6944,115.5816,108.3090,162.711980,-3687.944927,35.623608,-58.433426,24.504116
33.000000,100.0000,102.8558,106.3151,98.9890,149.666854,-3749.564753,3191.373047,-6258.815430,3068.983643
34.000000,100.0000,94.6231,108.9524,99.2244,153.379598,-3747.977601,979.697876,-1967.347412,988.967346
35.000000,100.0000,97.0507,105.2374,96.8749,148.149814,-3763.894253,421.102661,-787.585388,368.839386
36.000000,100.0000,95.4097,108.2058,102.4669,152.328605,-3726.281431,2748.123291,-5408.767090,2661.777100
37.000000,100.0000,98.2909,104.5757,97.7445,147.218280,-3757.983638,3104.828369,-6178.325684,3074.738525
38.000000,100.0000,94.7556,106.8889,102.0569,150.474652,-3729.008223,1713.354370,-3458.967773,1746.199951
39.000000,100.0000,95.5505,118.5497,107.4959,166.890389,-3693.224424,2450.318848,-5004.393555,2555.254395
40.000000,100.0000,103.2029,100.6578,100.9557,141.702729,-3736.355006,3251.107178,-6551.652344,3300.855225
41.000000,100.0000,99.8409,103.7263,102.7499,146.022487,-3724.402815,2582.992920,-5258.927246,2677.666016
42.000000,100.0000,99.2132,118.1914,100.9794,166.386023,-3736.196375,4318.145996,-8778.748047,4462.165527
43.000000,100.0000,105.6964,109.5020,99.0066,154.153273,-3749.446165,2889.129639,-5868.831055,2983.828125
44.000000,100.0000,98.7030,107.0005,103.9345,150.631801,-3716.561758,1710.259521,-3497.808594,1789.455566
45.000000,100.0000,101.8610,115.7210,99.5864,162.908187,-3745.539746,553.041138,-1125.566406,574.703796
46.000000,100.0000,99.9168,109.0625,101.9517,153.534556,-3729.708302,812.273010,-1601.793579,790.135376
47.000000,100.0000,98.3694,104.8601,100.8052,147.618612,-3737.361886,1503.639893,-3061.479736,1559.431763
48.000000,100.0000,97.0373,119.4045,103.1540,168.093793,-3721.723342,3687.791016,-7426.827637,3740.166748
49.000000,100.0000,102.5871,110.1747,101.4184,155.100293,-3733.263479,3882.562988,-7758.040039,3876.677734
50.000000,100.0000,100.3626,100.3070,103.3872,141.208955,-3720.179542,3378.752197,-6744.159180,3365.907227
51.000000,100.0000,101.0002,123.1943,105.1186,173.428898,-3708.763981,129.872269,-272.476654,143.959991
52.000000,100.0000,101.4761,128.0250,102.4627,180.229375,-3726.309435,2698.241211,-5304.579590,2607.864746
53.000000,100.0000,105.7470,111.1196,104.2029,156.430571,-3714.790541,594.493652,-1222.636841,629.174011
54.000000,100.0000,106.0926,108.5566,100.3948,152.822460,-3740.110238,698.173218,-1386.031738,689.038574
55.000000,100.0000,98.0157,113.4268,103.2679,159.678512,-3720.968954,2497.060791,-4960.342285,2464.706543
56.000000,100.0000,98.2509,117.2067,103.6297,164.999778,-3718.575286,1408.721558,-2801.590820,1393.315430
57.000000,100.0000,107.8579,116.5629,98.5162,164.093435,-3752.757644,592.175415,-1146.085815,554.945251
58.000000,100.0000,98.3027,101.3622,97.6504,142.694362,-3758.621892,974.439148,-1936.084473,962.700012
59.000000,100.0000,95.9497,101.9084,98.9836,143.463291,-3749.601215,907.347229,-1791.903931,886.885254
60.000000,100.0000,96.6383,118.3926,101.9064,166.669203,-3730.009748,2200.917480,-4455.179199,2255.664551
61.000000,100.0000,100.1518,116.0767,98.8486,163.408934,-3750.512256,1443.117188,-2971.972900,1533.524414
62.000000,100.0000,104.0180,101.9162,98.6168,143.474315,-3752.077745,884.859070,-1762.138794,882.734802
63.000000,100.0000,100.9043,106.0400,102.1488,149.279653,-3728.396295,1182.695679,-2418.081543,1239.004028
64.000000,100.0000,93.4558,112.5443,108.0437,158.436222,-3689.665845,1207.030151,-2438.679688,1232.874390
65.000000,100.0000,100.0723,108.7164,100.5514,153.047421,-3739.060737,889.576172,-1786.892578,899.539429
66.000000,100.0000,100.4395,107.4966,99.1255,151.330118,-3748.643767,64.778610,-153.202499,90.768982
67.000000,100.0000,94.4601,104.1818,95.3117,146.663780,-3774.579232,233.571106,-458.037964,225.819611
68.000000,100.0000,93.8147,101.9460,98.9446,143.516225,-3749.863895,959.378601,-1931.249634,971.985718
69.000000,100.0000,92.2611,96.9734,99.3788,136.516005,-3746.937577,2529.087402,-5076.501953,2548.087402
70.000000,100.0000,88.7410,115.0832,104.9927,162.010324,-3709.590814,2215.133545,-4442.573730,2227.725830
