time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
1.000000,100.0000,286.1008,58.2158,301.0648,81.954266,-2727.074726,3254.303955,-6418.263184,0.000000
2.000000,100.0000,227.4732,43.5988,215.3776,61.376936,-3101.574267,3390.180908,-6735.505371,0.000000
3.000000,100.0000,173.6783,32.8483,171.7280,46.242762,-3319.468007,3421.786865,-6809.460938,0.000000
4.000000,100.0000,144.1709,29.5328,144.7251,41.575264,-3467.214224,3529.685547,-6999.043457,0.000000
5.000000,100.0000,125.3473,30.5426,137.4031,42.996930,-3509.386531,3664.799561,-7195.051270,0.000000
6.000000,100.0000,113.1329,28.8533,122.7598,40.618782,-3596.884876,3575.838379,-7098.572754,0.000000
7.000000,100.0000,98.7297,25.0302,121.4253,35.236678,-3605.085702,3476.008545,-6995.642090,0.000000
8.000000,100.0000,103.3096,25.7182,111.5290,36.205273,-3667.207430,3486.064697,-7004.372070,0.000000
9.000000,100.0000,107.5635,25.0895,108.9098,35.320220,-3684.054949,3487.311035,-7033.250488,0.000000
10.000000,100.0000,99.1447,24.4513,109.9830,34.421799,-3677.129910,3441.570557,-6977.854492,0.000000
11.000000,100.0000,99.2441,28.5560,110.2312,40.200198,-3675.532902,3485.542480,-7030.712402,0.000000
12.000000,100.0000,106.2301,30.3308,112.5805,42.698762,-3660.492996,3636.675049,-7176.908203,0.000000
13.000000,100.0000,114.7527,26.9255,106.6768,37.904799,-3698.561030,3480.042725,-7013.319824,0.000000
14.000000,100.0000,102.8183,27.1951,111.1584,38.284342,-3669.580287,3360.550049,-6899.353027,0.000000
15.000000,100.0000,103.0110,26.8191,109.3496,37.755030,-3681.213723,3509.153076,-7053.633789,0.000000
16.000000,100.0000,95.6717,29.5848,109.8911,41.648463,-3677.722099,3561.544922,-7105.341797,0.000000
17.000000,100.0000,102.6563,28.5445,106.3272,40.183964,-3700.844865,3531.819580,-7078.636230,0.000000
18.000000,100.0000,105.4384,25.0010,104.8646,35.195648,-3710.433183,3465.431152,-7026.004395,0.000000
19.000000,100.0000,97.9313,25.5969,108.5410,36.034464,-3686.441945,3462.435059,-7005.487305,0.000000
20.000000,100.0000,95.6124,32.2427,108.2671,45.390272,-3688.216481,3599.941895,-7164.846191,0.000000
21.000000,100.0000,98.2318,25.6183,104.6725,36.064619,-3711.696849,3463.360840,-7030.329590,0.000000
22.000000,100.0000,98.4191,26.5902,107.5241,37.432756,-3693.041167,3404.372314,-6948.274414,0.000000
23.000000,100.0000,100.4039,27.9634,103.4822,39.365951,-3719.550644,3564.662598,-7129.043457,0.000000
24.000000,100.0000,98.4984,27.1325,105.3500,38.196292,-3707.244225,3551.738281,-7102.504395,0.000000
25.000000,100.0000,95.9144,28.0154,109.5138,39.439136,-3680.154324,3523.532959,-7084.050293,0.000000
26.000000,100.0000,97.2975,24.4427,107.3933,34.409605,-3693.892029,3491.260742,-7022.380859,0.000000
27.000000,100.0000,102.6882,22.6381,103.8647,31.869210,-3717.022423,3558.412354,-7101.970215,0.000000
28.000000,100.0000,101.6275,25.4189,102.3459,35.783825,-3727.086014,3584.919922,-7150.575195,0.000000
29.000000,100.0000,98.7483,24.8557,100.6498,34.991071,-3738.402036,3587.057129,-7143.275391,0.000000
30.000000,100.0000,106.8555,26.6386,100.1564,37.500919,-3741.709865,3532.683105,-7090.754883,0.000000
31.000000,100.0000,100.9113,27.2531,107.9785,38.366021,-3690.088945,3564.004150,-7115.688477,0.000000
32.000000,100.0000,98.7244,24.3722,105.2841,34.310428,-3707.677142,3573.312988,-7139.515137,0.000000
33.000000,100.0000,95.4696,23.1839,106.9806,32.637570,-3696.579541,3480.643066,-7029.159180,0.000000
34.000000,100.0000,102.4163,22.4642,103.5790,31.624301,-3718.910302,3526.601074,-7088.603516,0.000000
35.000000,100.0000,106.2750,28.4411,98.9445,40.038392,-3749.865088,3615.274902,-7173.113770,0.000000
36.000000,100.0000,101.2020,34.2034,103.4363,48.150374,-3719.854766,3558.026123,-7099.855469,0.000000
37.000000,100.0000,107.4076,24.3915,105.6240,34.337504,-3705.447435,3498.081787,-7043.526367,0.000000
38.000000,100.0000,104.8030,23.1531,106.4884,32.594184,-3699.791488,3547.321533,-7094.121582,0.000000
39.000000,100.0000,100.4839,29.6213,111.6004,41.699949,-3666.750518,3697.079834,-7262.065918,0.000000
40.000000,100.0000,100.8314,30.3540,111.8518,42.731308,-3665.142908,3663.945068,-7216.982910,0.000000
41.000000,100.0000,100.3057,27.6275,111.0568,38.893125,-3670.231580,3519.469727,-7069.721680,0.000000
42.000000,100.0000,106.2660,29.6510,106.2489,41.741647,-3701.356613,3413.935547,-6961.766113,0.000000
43.000000,100.0000,99.6457,34.9493,105.6556,49.200432,-3705.240299,3504.452637,-7056.446777,0.000000
44.000000,100.0000,100.5417,34.5290,105.1598,48.608781,-3708.493055,3479.434570,-7027.421387,0.000000
45.000000,100.0000,102.0269,26.3676,103.8464,37.119401,-3717.143455,3315.689941,-6848.762695,0.000000
