time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
10.000000,100.0000,123.6390,112.3766,130.6359,158.200030,-3549.273592,16.599030,-36.920059,20.652719
20.000000,100.0000,101.9647,98.4339,104.1550,138.572077,-3715.106964,103.004478,-197.546692,96.121880
30.000000,100.0000,102.2801,98.6425,109.3225,138.865698,-3681.388798,31.401609,-55.399757,25.474592
40.000000,100.0000,96.1832,88.3859,105.1671,124.426808,-3708.445562,36.587677,-70.166786,34.278412
50.000000,100.0000,105.0698,94.2405,106.2011,132.668663,-3701.668964,41.545242,-76.268646,35.147888
60.000000,100.0000,101.6400,91.3045,108.7099,128.535537,-3685.348088,14.009298,-21.593004,11.654508
70.000000,100.0000,102.6337,98.2990,100.4556,138.382161,-3739.702881,116.279800,-249.615173,134.102325
80.000000,100.0000,96.0129,93.2888,100.9357,131.328915,-3736.488859,236.409042,-490.118774,255.593140
90.000000,100.0000,92.0963,103.4193,108.3486,145.590349,-3687.688258,215.578140,-421.611664,209.080261
100.000000,100.0000,97.6001,101.7349,106.3366,143.219110,-3700.783210,89.152519,-202.331223,115.313217
110.000000,100.0000,96.1988,94.8941,104.4754,133.588796,-3712.994831,108.212219,-233.283875,126.765305
120.000000,100.0000,104.3927,91.3656,106.5906,128.621442,-3699.123740,62.144432,-118.273743,56.822426
130.000000,100.0000,102.4061,99.1026,110.5147,139.513433,-3673.710884,86.376656,-143.301437,59.695427
140.000000,100.0000,102.7731,91.9835,105.9756,129.491381,-3703.144370,45.225636,-84.832672,40.640324
150.000000,100.0000,98.5668,102.2600,107.6356,143.958200,-3692.315979,69.959618,-124.146980,56.013832
160.000000,100.0000,96.6844,89.2856,103.6193,125.693282,-3718.644118,101.576736,-201.971252,102.042984
170.000000,100.0000,96.9251,106.7156,110.2192,150.230682,-3675.610183,19.339687,-43.789185,24.939972
180.000000,100.0000,102.1614,98.7940,111.9420,139.078943,-3664.567013,22.774624,-57.252029,36.879623
190.000000,100.0000,99.9397,87.3079,105.9431,122.909170,-3703.357226,9.425315,-21.708376,12.700589
200.000000,100.0000,102.6937,82.3632,100.7285,115.948221,-3737.874981,51.112568,-103.260101,54.638615
210.000000,100.0000,105.4139,87.2621,107.2382,122.844679,-3694.901468,47.508457,-84.316689,40.253181
220.000000,100.0000,103.1097,93.8754,111.3210,132.154675,-3668.539025,6.462831,-12.870111,6.544859
230.000000,100.0000,109.0774,90.9442,112.7361,128.028239,-3659.502056,18.654501,-38.248905,20.166210
240.000000,100.0000,99.5638,85.9539,111.8351,121.003009,-3665.249786,33.707752,-69.707832,36.149830
250.000000,100.0000,104.9155,96.4575,107.9937,135.789675,-3689.990117,39.387878,-75.186592,35.947449
260.000000,100.0000,101.3100,97.2836,105.6010,136.952643,-3705.598157,37.177883,-73.241165,37.393780
270.000000,100.0000,100.5433,82.9160,103.7225,116.726369,-3717.962065,41.405560,-69.596924,29.770267
280.000000,100.0000,100.5839,88.7205,104.7873,124.897815,-3710.941870,13.267951,-21.577229,9.434868
290.000000,100.0000,99.4383,95.1893,104.3489,134.004366,-3713.828396,18.415453,-32.502178,15.263539
300.000000,100.0000,98.5534,90.3999,103.2896,127.261977,-3720.825592,11.358766,-25.402632,15.809642
310.000000,100.0000,101.5738,95.8657,104.4735,134.956554,-3713.007360,38.621624,-66.558701,29.076998
320.000000,100.0000,101.3672,79.3687,102.3470,111.732612,-3727.078263,62.009396,-119.051315,59.986252
330.000000,100.0000,93.0570,89.4847,109.8386,125.973572,-3678.060211,75.646095,-147.735138,72.572433
340.000000,100.0000,101.7121,89.6397,103.9738,126.191801,-3716.302613,142.543655,-329.683685,190.883926
350.000000,100.0000,98.5658,87.3735,100.4723,123.001526,-3739.591047,26.443480,-41.871521,18.014002
360.000000,100.0000,101.9288,82.5555,102.9778,116.218961,-3722.890977,21.834457,-41.098091,21.142715
370.000000,100.0000,98.1934,98.6649,102.5459,138.897246,-3725.756703,70.480057,-151.394470,81.380875
380.000000,100.0000,96.5797,93.1491,108.5700,131.132217,-3686.254004,36.544338,-58.327206,23.767128
390.000000,100.0000,101.5386,83.9143,104.3281,118.131722,-3713.965328,71.268555,-129.791885,59.401268
400.000000,100.0000,101.1096,83.1541,106.0495,117.061612,-3702.660394,38.916508,-74.991951,37.513351
410.000000,100.0000,94.8857,85.7207,105.9306,120.674837,-3703.438771,39.199776,-74.415192,35.612091
420.000000,100.0000,107.8953,92.2372,101.0519,129.848545,-3735.711422,7.404537,-14.140388,8.131832
430.000000,100.0000,101.7392,88.1889,103.0563,124.149481,-3722.370550,73.474792,-135.336395,62.501720
440.000000,100.0000,100.3136,98.3390,105.9585,138.438361,-3703.256206,0.398411,-1.564952,1.628777
450.000000,100.0000,100.2246,98.6568,105.7290,138.885729,-3704.759434,14.773507,-30.679344,15.976308
460.000000,100.0000,99.9780,94.9292,101.9085,133.638191,-3729.995896,19.352926,-41.864609,23.567511
470.000000,100.0000,103.1717,77.1462,103.0591,108.603934,-3722.352042,14.091545,-27.374395,13.869154
480.000000,100.0000,102.0460,81.7464,104.2926,115.079869,-3714.199522,86.134926,-145.800949,62.353554
490.000000,100.0000,101.3400,79.8019,97.4700,112.342505,-3759.847264,51.013092,-103.008438,53.848679
500.000000,100.0000,98.1530,72.4655,101.3590,102.014508,-3733.660322,0.919014,0.483428,0.147728
510.000000,100.0000,98.4006,82.5273,99.4471,116.179230,-3746.477489,6.570720,-14.542929,8.170983
520.000000,100.0000,99.1358,86.7825,103.5176,122.169533,-3719.316341,37.350365,-68.401939,31.536072
530.000000,100.0000,99.4561,88.2398,107.7220,124.221060,-3691.754640,16.135298,-29.089849,13.233226
540.000000,100.0000,101.9277,85.6867,106.5328,120.626857,-3699.501477,33.655106,-69.852707,36.819714
550.000000,100.0000,97.5045,76.3744,99.6953,107.517302,-3744.807496,56.478149,-100.816681,48.117764
560.000000,100.0000,99.3456,69.0353,98.4283,97.185599,-3753.352046,57.413406,-111.212395,54.647442
570.000000,100.0000,99.3957,70.3407,100.6481,99.023350,-3738.413511,13.085615,-28.340839,16.185812
580.000000,100.0000,100.5983,85.6701,105.3768,120.603594,-3707.068523,46.117462,-102.340576,57.765301
590.000000,100.0000,101.1939,82.1387,102.5574,115.632201,-3725.680327,8.487346,-15.660297,8.726323
600.000000,100.0000,99.0981,89.7359,109.7968,126.327284,-3678.329719,8.727091,-8.599195,2.253965
610.000000,100.0000,99.2317,89.4674,107.9639,125.949274,-3690.183409,71.609863,-135.619797,65.801407
620.000000,100.0000,95.4031,80.0010,102.1376,112.622747,-3728.470742,54.833256,-106.850258,52.086712
630.000000,100.0000,93.7594,79.1253,110.0485,111.389947,-3676.708443,62.473621,-104.306984,43.829819
640.000000,100.0000,106.1609,82.3993,106.3369,115.999047,-3700.781275,17.450729,-31.606039,14.430933
650.000000,100.0000,105.7235,80.5913,109.4378,113.453806,-3680.644383,25.952860,-45.932404,20.847870
660.000000,100.0000,98.8095,80.3651,113.3701,113.135317,-3655.469860,29.451586,-49.300022,22.207394
670.000000,100.0000,96.5441,84.4514,107.2271,118.887837,-3694.974210,10.298308,-19.881016,10.685777
680.000000,100.0000,99.2602,84.3418,101.0796,118.733542,-3735.526381,19.532423,-50.228600,34.374405
690.000000,100.0000,101.0985,70.8598,106.8056,99.754157,-3697.721009,33.254780,-56.824158,24.717209
700.000000,100.0000,106.6440,87.0423,111.1039,122.535328,-3669.929680,3.154999,-2.550119,0.826325
710.000000,100.0000,99.3717,73.5786,103.5243,103.581532,-3719.272589,7.924423,-13.328607,5.656231
720.000000,100.0000,103.4010,75.3843,104.8738,106.123479,-3710.372614,5.109955,-7.361912,2.802414
730.000000,100.0000,100.0682,74.1234,112.1105,104.348431,-3663.491014,3.679087,-0.537477,0.821846
740.000000,100.0000,92.9658,65.9558,99.1144,92.850456,-3748.718767,5.248465,-11.882651,7.939695
750.000000,100.0000,95.0638,70.8797,110.0991,99.782122,-3676.383166,24.483278,-47.500389,24.292538
760.000000,100.0000,100.5493,74.4343,103.4810,104.786213,-3719.558955,32.866924,-73.754257,41.453621
770.000000,100.0000,98.4174,78.7833,103.9914,110.908495,-3716.186432,17.857962,-38.462288,20.817995
780.000000,100.0000,102.7691,82.6203,103.0467,116.310178,-3722.434019,60.497581,-129.840408,69.756737
790.000000,100.0000,100.6299,78.8814,99.9367,111.046595,-3743.185036,2.847707,-5.315461,2.604856
800.000000,100.0000,92.6935,93.3949,108.3533,131.478313,-3687.657976,8.573689,-20.748243,13.088270
810.000000,100.0000,96.9546,82.2351,105.4129,115.767842,-3706.831544,11.754299,-16.522150,6.881364
820.000000,100.0000,96.9174,80.0198,104.1803,112.649282,-3714.939671,24.902393,-46.777542,22.308212
830.000000,100.0000,103.4813,80.0599,102.3876,112.705733,-3726.808228,33.510315,-66.478134,33.937027
840.000000,100.0000,104.4712,73.3009,107.7273,103.190624,-3691.720362,55.531490,-106.055450,50.757206
850.000000,100.0000,97.1115,85.3395,112.7712,120.138137,-3659.278436,59.532341,-127.431053,68.462677
860.000000,100.0000,94.3770,81.2403,109.1118,114.367466,-3682.749190,48.979572,-92.925179,44.740437
870.000000,100.0000,103.2929,76.4795,105.0131,107.665309,-3709.456877,33.055279,-66.380997,36.071648
