time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
10.000000,100.0000,133.4578,2619.9130,117.7487,3688.227330,-3627.891283,72796.546875,-144787.265625,0.000000
20.000000,100.0000,96.9193,2619.7765,89.8435,3688.035145,-3812.577695,71936.742188,-144057.703125,0.000000
30.000000,100.0000,101.9600,2627.0868,85.6243,3698.326440,-3842.596813,71970.078125,-144128.625000,0.000000
40.000000,100.0000,97.9093,2604.5260,84.4752,3666.565990,-3850.884590,71434.625000,-143550.218750,0.000000
50.000000,100.0000,102.2181,2466.4070,82.0583,3472.126719,-3868.478236,72179.023438,-144064.468750,0.000000
60.000000,100.0000,95.9231,2619.5724,84.1933,3687.747942,-3852.924915,71270.148438,-143399.718750,0.000000
70.000000,100.0000,98.5810,2651.1668,83.8665,3732.225474,-3855.294072,72749.242188,-144905.859375,0.000000
80.000000,100.0000,105.0768,2656.7272,80.7966,3740.053214,-3877.752804,71957.710938,-144113.953125,0.000000
90.000000,100.0000,98.6998,2656.9255,82.3436,3740.332326,-3866.389878,72062.039062,-144220.937500,0.000000
100.000000,100.0000,105.1915,2639.9205,85.2712,3716.393317,-3845.138278,71894.601562,-144043.937500,0.000000
110.000000,100.0000,104.5772,2652.7784,83.2071,3734.494163,-3860.087277,72159.640625,-144305.828125,0.000000
120.000000,100.0000,101.9203,2590.4336,80.0267,3646.727271,-3883.443372,71881.515625,-143963.906250,0.000000
130.000000,100.0000,98.3365,2710.9533,80.6296,3816.390894,-3878.985292,72061.593750,-144305.203125,0.000000
140.000000,100.0000,99.3057,2659.2483,83.2311,3743.602239,-3859.912814,72414.367188,-144572.031250,0.000000
150.000000,100.0000,96.7107,2587.2585,85.0728,3642.257440,-3846.567858,71830.539062,-143901.890625,0.000000
160.000000,100.0000,100.1067,2670.4503,79.8662,3759.372140,-3884.632946,72568.265625,-144752.890625,0.000000
170.000000,100.0000,99.3573,2575.2584,78.5012,3625.364148,-3894.789857,71398.070312,-143454.578125,0.000000
180.000000,100.0000,96.4447,2680.6617,80.0788,3773.747403,-3883.058029,72485.210938,-144686.593750,0.000000
190.000000,100.0000,99.9839,2616.6047,79.8540,3683.570103,-3884.723021,71657.960938,-143771.296875,0.000000
200.000000,100.0000,98.6895,2531.5606,81.6639,3563.847707,-3871.370355,72479.742188,-144439.265625,0.000000
210.000000,100.0000,98.6740,2618.9264,77.7417,3686.838488,-3900.475069,72118.539062,-144209.109375,0.000000
220.000000,100.0000,98.2974,2634.7839,80.1897,3709.162093,-3882.236601,71339.703125,-143485.656250,0.000000
230.000000,100.0000,97.5405,2545.9148,79.6808,3584.055158,-3886.008201,72516.562500,-144517.375000,0.000000
240.000000,100.0000,101.4187,2709.2809,79.2017,3814.036604,-3889.567871,71601.687500,-143808.859375,0.000000
250.000000,100.0000,93.2497,2592.8847,76.8761,3650.177874,-3906.984288,72234.703125,-144319.656250,0.000000
260.000000,100.0000,102.2435,2618.7539,77.7257,3686.595635,-3900.595154,72336.304688,-144451.296875,0.000000
270.000000,100.0000,105.1434,2690.8962,79.9099,3788.155142,-3884.308642,72300.359375,-144532.203125,0.000000
280.000000,100.0000,99.9307,2621.1427,81.3213,3689.958548,-3873.887974,72057.835938,-144204.906250,0.000000
290.000000,100.0000,105.2145,2637.3919,82.5817,3712.833544,-3864.649171,72170.437500,-144315.265625,0.000000
300.000000,100.0000,99.4702,2542.4378,78.7159,3579.160260,-3893.187647,71552.179688,-143556.656250,0.000000
310.000000,100.0000,101.9819,2644.7896,82.1962,3723.247874,-3867.468391,72488.601562,-144637.109375,0.000000
320.000000,100.0000,98.1724,2615.7840,78.4976,3682.414643,-3894.817103,71957.835938,-144074.171875,0.000000
330.000000,100.0000,99.2586,2597.3168,87.6490,3656.417193,-3828.112067,71970.117188,-144058.281250,0.000000
340.000000,100.0000,99.5281,2589.0160,79.1459,3644.731527,-3889.983447,72263.351562,-144344.125000,0.000000
350.000000,100.0000,100.2013,2629.5883,77.8542,3701.847914,-3899.631379,71844.406250,-144018.500000,0.000000
360.000000,100.0000,100.8786,2567.5590,77.7451,3614.525132,-3900.449897,72159.195312,-144203.296875,0.000000
370.000000,100.0000,99.6384,2656.9298,79.8441,3740.338424,-3884.796922,72601.164062,-144785.625000,0.000000
380.000000,100.0000,98.0123,2698.5688,78.1141,3798.956473,-3897.684739,71596.804688,-143824.015625,0.000000
390.000000,100.0000,100.8096,2499.0233,75.5576,3518.042820,-3916.960737,71897.273438,-143852.468750,0.000000
400.000000,100.0000,101.2599,2508.4210,75.3993,3531.272578,-3918.163412,72290.398438,-144253.906250,0.000000
410.000000,100.0000,99.7197,2559.6375,76.0477,3603.373429,-3913.243118,72132.929688,-144174.546875,0.000000
420.000000,100.0000,104.3391,2599.4989,78.7045,3659.489086,-3893.272291,72804.781250,-144878.203125,0.000000
430.000000,100.0000,99.6281,2671.9959,80.5671,3761.547893,-3879.446757,72256.671875,-144454.203125,0.000000
440.000000,100.0000,100.6761,2610.6536,77.3472,3675.192310,-3903.437474,72213.671875,-144345.500000,0.000000
450.000000,100.0000,105.6495,2596.1971,79.4844,3654.840885,-3887.465904,71942.773438,-144020.437500,0.000000
460.000000,100.0000,101.3083,2586.5095,78.3883,3641.202991,-3895.634106,72045.070312,-144109.187500,0.000000
470.000000,100.0000,103.7030,2751.3033,76.8778,3873.194258,-3906.971197,72814.531250,-145123.296875,0.000000
480.000000,100.0000,102.1820,2607.0371,78.5082,3670.101113,-3894.737550,71991.554688,-144083.734375,0.000000
490.000000,100.0000,99.6553,2556.2935,80.3993,3598.665889,-3880.686660,71544.906250,-143569.968750,0.000000
500.000000,100.0000,105.0693,2575.1400,78.8279,3625.197367,-3892.352196,72546.507812,-144576.390625,0.000000
510.000000,100.0000,98.5917,2578.0045,77.7120,3629.229978,-3900.698172,71405.968750,-143466.421875,0.000000
520.000000,100.0000,97.6297,2700.8178,81.1668,3802.122517,-3875.025123,72471.601562,-144697.843750,0.000000
530.000000,100.0000,98.4643,2607.1976,81.3344,3670.327080,-3873.791704,71930.445312,-144034.156250,0.000000
540.000000,100.0000,107.1282,2655.2727,80.0745,3738.005539,-3883.089636,72100.632812,-144249.328125,0.000000
550.000000,100.0000,97.7840,2642.1372,79.3962,3719.513851,-3888.121500,71832.984375,-143954.921875,0.000000
