time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
1.000000,50.0000,3183.3442,2414.7710,3660.3926,3399.435251,3021.522842,59.776661,-76.225456,25.615086
2.000000,50.0000,1585.9913,1527.8750,1566.2834,2150.892169,363.281281,851.864685,-1276.799805,485.086548
3.000000,50.0000,845.1787,891.6876,878.5047,1255.288472,-997.955683,110.927795,-249.900955,141.512451
4.000000,50.0000,485.0351,554.8244,528.6721,781.063600,-1931.332204,123.882828,-281.342285,161.823273
5.000000,50.0000,305.7944,364.0871,306.7486,512.549805,-2704.156131,25.619946,-34.623520,17.444489
6.000000,50.0000,208.8650,257.0493,202.7211,361.865562,-3162.463994,79.414932,-136.001587,60.013218
7.000000,50.0000,138.5026,190.5706,157.3601,268.279071,-3396.648522,10.025600,-21.075686,11.377884
8.000000,50.0000,108.2622,131.2470,122.1306,184.765264,-3600.746246,16.926592,-47.765312,36.116463
9.000000,50.0000,90.4525,99.6527,101.8766,140.287739,-3730.208249,111.438919,-231.196884,120.341919
10.000000,50.0000,74.2655,101.4385,90.1401,142.801855,-3810.491092,22.249973,-49.151608,28.054047
11.000000,50.0000,68.4884,74.3242,82.5317,104.631133,-3865.014157,26.432011,-38.893246,14.456613
12.000000,50.0000,61.8849,57.9281,77.5843,81.549279,-3901.656414,5.824432,-9.954865,4.442295
13.000000,50.0000,52.9565,68.6005,75.4066,96.573576,-3918.107541,12.045813,-29.933626,18.650467
14.000000,50.0000,53.5925,61.7116,72.1945,86.875604,-3942.756002,40.351910,-74.803452,34.970520
15.000000,50.0000,55.1976,49.7332,71.8192,70.012743,-3945.667080,4.863991,-4.500037,2.199546
16.000000,50.0000,51.5549,59.6494,70.8197,83.972397,-3953.451264,39.387207,-85.950897,47.500435
17.000000,50.0000,49.8721,60.3548,71.7360,84.965447,-3946.312657,79.790810,-160.838699,81.869583
18.000000,50.0000,50.2778,53.3001,69.4204,75.034099,-3964.430024,86.710335,-164.316635,78.380486
19.000000,50.0000,53.0151,55.4121,69.0221,78.007373,-3967.572794,142.877975,-298.515533,156.403015
20.000000,50.0000,53.5755,48.7984,66.6576,68.696819,-3986.392658,105.184700,-225.889923,121.516945
21.000000,50.0000,47.2762,56.6050,68.9546,79.686700,-3968.105584,62.551979,-132.874756,70.744766
22.000000,50.0000,48.2238,55.3133,68.1236,77.868301,-3974.691009,47.382793,-98.673340,51.492516
23.000000,50.0000,51.2250,47.5310,67.8825,66.912564,-3976.607277,36.396194,-75.587448,39.690060
24.000000,50.0000,50.1847,52.8908,68.6584,74.457861,-3970.448935,38.735535,-83.871292,46.189545
25.000000,50.0000,51.2674,53.2333,66.4595,74.940147,-3987.982114,76.586441,-159.243225,82.833122
26.000000,50.0000,51.0946,46.9496,68.0741,66.094050,-3975.084221,72.679398,-152.290573,80.069168
27.000000,50.0000,50.7209,54.5610,66.0857,76.809191,-3990.987612,57.958187,-130.464661,74.501190
28.000000,50.0000,49.1096,57.2249,68.2441,80.559336,-3973.733421,71.896736,-153.658981,82.136871
29.000000,50.0000,52.2326,47.4488,67.1032,66.796852,-3982.824299,16.507679,-24.255529,9.089082
30.000000,50.0000,49.4564,47.9843,66.2803,67.550766,-3989.422234,54.080399,-99.627640,45.911575
31.000000,50.0000,49.3412,58.6494,68.0176,82.564718,-3975.533336,219.544022,-432.251526,213.055557
32.000000,50.0000,49.4644,50.5268,67.3852,71.129986,-3980.570712,55.962193,-107.699783,51.904121
33.000000,50.0000,48.1301,46.0371,65.8829,64.809535,-3992.621865,18.701622,-37.571617,19.853580
34.000000,50.0000,50.7651,47.8876,64.9461,67.414607,-4000.195902,105.004845,-229.854996,125.958183
35.000000,50.0000,49.0016,51.4425,65.2538,72.419106,-3997.702835,197.090118,-384.731476,188.001068
36.000000,50.0000,50.7504,52.4165,66.0833,73.790272,-3991.006920,103.372116,-194.047852,91.361359
37.000000,50.0000,52.3327,52.6607,67.5818,74.134015,-3979.002555,119.403969,-234.961090,116.058678
38.000000,50.0000,51.3200,45.9879,66.4961,64.740307,-3987.688697,56.673008,-104.814842,48.562008
39.000000,50.0000,53.2281,43.3145,66.5887,60.976699,-3986.945513,107.981987,-205.693314,99.699379
40.000000,50.0000,47.5230,53.6408,66.1415,75.513821,-3990.538408,8.978366,-25.127356,18.702522
41.000000,50.0000,47.3745,54.6035,66.8655,76.869069,-3984.726430,58.512512,-113.805229,55.602722
42.000000,50.0000,49.9267,45.1709,67.9527,63.590142,-3976.049123,45.565010,-84.311806,39.275875
43.000000,50.0000,47.2580,51.4965,66.7538,72.495110,-3985.621154,17.328531,-35.452202,19.287687
44.000000,50.0000,48.3402,53.7852,66.8416,75.716981,-3984.918172,35.386303,-75.368095,40.453117
45.000000,50.0000,50.9730,43.3008,65.3210,60.957406,-3997.159281,74.651161,-146.565445,72.152473
46.000000,50.0000,47.5550,46.8835,64.1743,66.000986,-4006.472572,172.645416,-330.940918,159.194031
