time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
1.000000,100.0000,3193.0832,2425.9713,4096.4250,3415.202557,3435.329576,9.606052,-14.933844,6.313112
2.000000,100.0000,1669.4534,1367.4154,1733.4010,1925.002489,638.134175,16.749863,-39.236443,23.906931
3.000000,100.0000,911.6400,890.6900,971.1441,1253.884084,-786.041524,36.330688,-66.702240,31.216995
4.000000,100.0000,546.5805,582.5525,568.2986,820.098224,-1811.958643,13.901376,-19.456512,6.814810
5.000000,100.0000,350.2235,344.2334,366.6639,484.600506,-2473.999912,20.904348,-49.817921,30.011309
6.000000,100.0000,249.9974,260.2390,259.8242,366.355933,-2899.975755,38.750397,-70.808220,32.576855
7.000000,100.0000,177.1602,218.2997,202.3997,307.315073,-3164.032634,4.362138,-9.446961,7.867189
8.000000,100.0000,146.1507,179.1946,160.9479,252.264242,-3377.084533,18.252928,-34.731274,17.548140
9.000000,100.0000,133.7937,134.7003,141.3935,189.626686,-3486.280654,8.378919,-12.019372,5.254299
10.000000,100.0000,128.3971,140.3853,129.0074,197.629798,-3559.010102,20.423807,-41.706612,21.739462
11.000000,100.0000,116.5696,129.2266,128.1331,181.920895,-3564.259983,39.845825,-76.621758,37.256912
12.000000,100.0000,111.9879,106.2492,119.9245,149.574171,-3614.357088,54.350365,-112.666336,59.386002
13.000000,100.0000,106.0408,122.1986,113.4944,172.027234,-3654.680046,59.263088,-120.993080,63.268238
14.000000,100.0000,103.2617,119.0002,107.7612,167.524634,-3691.499863,71.130447,-135.699158,64.730904
15.000000,100.0000,100.7908,97.1807,108.5299,136.807779,-3686.513729,72.705437,-149.385162,77.814842
16.000000,100.0000,107.8902,108.8808,103.8192,153.278862,-3717.323161,67.646629,-139.363983,74.084915
17.000000,100.0000,101.1661,110.3681,112.2854,155.372614,-3662.374895,92.198326,-159.010483,70.008408
18.000000,100.0000,105.7891,107.9463,106.9144,151.963215,-3697.011461,47.457031,-101.755531,55.669861
19.000000,100.0000,108.2488,107.9679,107.6049,151.993643,-3692.515667,27.576515,-54.913307,29.345493
20.000000,100.0000,105.0492,108.0061,104.1720,152.047486,-3714.994401,26.070911,-40.728146,16.752020
21.000000,100.0000,99.0299,102.7308,106.8782,144.620992,-3697.247711,12.660703,-29.319185,19.011122
22.000000,100.0000,100.6383,99.0091,104.0082,139.381776,-3716.075430,23.649044,-35.327717,13.617248
23.000000,100.0000,97.1681,110.9603,104.6762,156.206223,-3711.672774,1.345294,-4.523398,4.053557
24.000000,100.0000,95.9491,103.8804,106.0794,146.239359,-3702.464931,9.094977,-18.999352,10.489637
25.000000,100.0000,103.3662,97.3540,103.4033,137.051774,-3720.072839,20.474794,-30.186234,11.904127
26.000000,100.0000,99.6217,102.0287,107.1329,143.632611,-3695.587619,5.457838,-12.733430,7.699702
27.000000,100.0000,101.9753,106.8330,100.8406,150.396023,-3737.124864,8.368557,-15.517861,7.856941
28.000000,100.0000,97.5227,101.7605,103.8581,143.255144,-3717.066211,7.762628,-14.124537,6.477475
29.000000,100.0000,100.5632,107.3592,103.5858,151.136774,-3718.865572,17.628845,-37.031116,20.505598
30.000000,100.0000,93.4382,106.7902,111.7658,150.335734,-3665.692940,20.775133,-38.003601,18.504276
31.000000,100.0000,101.8715,105.1612,105.1284,148.042418,-3708.699710,9.985601,-21.336853,12.488502
32.000000,100.0000,104.6725,107.5153,105.9398,151.356510,-3703.378908,21.358114,-43.174850,22.286510
