time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
5.000000,100.0000,348.3271,411.7479,361.7155,579.645212,-2492.281163,2.931281,-3.869948,3.353534
10.000000,100.0000,120.0994,162.4955,131.9438,228.755885,-3541.493788,40.971489,-75.541298,35.863689
15.000000,100.0000,100.5597,111.9777,107.2190,157.638564,-3695.026729,57.297859,-106.132622,51.011650
20.000000,100.0000,102.7971,113.2220,105.1450,159.390252,-3708.590156,4.672327,-10.458293,6.395711
25.000000,100.0000,94.5952,94.5354,105.2389,133.083858,-3707.973562,8.424571,-18.714138,11.344916
30.000000,100.0000,94.4845,112.9641,103.7956,159.027099,-3717.479035,18.004362,-40.185345,24.743122
35.000000,100.0000,108.0270,101.0265,100.6491,142.221730,-3738.406363,17.578957,-43.747063,27.514694
40.000000,100.0000,95.9999,104.2715,105.3898,146.789978,-3706.983594,18.650305,-36.910049,19.113359
45.000000,100.0000,96.8866,115.6418,105.7731,162.796744,-3704.470102,72.470932,-154.503265,82.419838
50.000000,100.0000,101.3853,95.6591,100.0254,134.665754,-3742.589284,9.394896,-15.872812,6.981354
