time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std
0.000000,nan,nan,nan,nan,nan,nan,nan,nan
0.100000,nan,nan,nan,nan,nan,nan,nan,nan
0.200000,300.0000,0.0000,298.1690,8.9207,356.7576,20.2504,290.6382,8.6497
0.300000,300.0000,0.0000,299.3186,13.4583,390.9192,13.4275,291.5429,9.5386
0.400000,300.0000,0.0000,312.0318,20.3479,311.0938,8.6302,289.7812,16.2225
0.500000,300.0000,0.0000,297.3785,8.2769,380.3367,18.6386,289.2130,7.8221
0.600000,300.0000,0.0000,307.6524,17.3379,396.3029,15.3673,290.8207,13.2801
0.700000,300.0000,0.0000,296.1876,2.6454,357.8509,12.6679,290.3166,14.1242
0.800000,300.0000,0.0000,311.5488,11.9965,351.9871,20.1943,281.8623,10.7758
0.900000,300.0000,0.0000,305.0963,9.4526,291.6552,22.0776,284.1143,4.8875
1.000000,300.0000,0.0000,289.6737,8.5118,399.2793,36.3142,292.3925,11.2157
1.100000,300.0000,0.0000,302.9913,16.4064,351.1428,21.9474,283.4138,13.5075
1.200000,300.0000,0.0000,299.6966,3.6671,363.9967,5.1333,280.6063,8.9321
1.300000,300.0000,0.0000,308.2301,15.1382,335.5056,6.7914,293.3588,17.0923
1.400000,300.0000,0.0000,297.9393,11.7128,358.6697,4.9430,289.4480,6.2544
1.500000,300.0000,0.0000,293.0467,0.3624,415.3700,28.1350,295.8364,13.6660
1.600000,300.0000,0.0000,305.3385,7.6837,338.8917,28.8245,286.6643,5.3027
1.700000,300.0000,0.0000,308.5434,8.5755,365.6304,24.9310,288.5382,7.3125
1.800000,300.0000,0.0000,309.0467,4.4523,322.1226,13.1217,297.8701,18.7981
1.900000,300.0000,0.0000,302.1308,7.5558,396.0420,4.9502,293.3245,15.9710
2.000000,300.0000,0.0000,305.3120,23.6589,366.2551,7.2908,295.7474,7.3011
2.100000,300.0000,0.0000,307.3104,1.8067,344.0091,34.7909,292.2728,19.7704
2.200000,300.0000,0.0000,304.4986,11.9445,366.1502,37.4991,297.2502,8.5660
2.300000,300.0000,0.0000,304.2088,10.0135,357.9017,32.3148,291.1698,9.8200
2.400000,300.0000,0.0000,297.5985,11.3515,421.8395,21.5567,298.0756,5.6467
2.500000,300.0000,0.0000,306.6493,8.8943,343.9937,9.5169,299.2742,16.5424
2.600000,300.0000,0.0000,312.8387,8.5748,365.6985,15.9429,286.0042,15.9801
2.700000,300.0000,0.0000,302.7482,15.4133,354.9125,21.2087,299.9856,11.8428
2.800000,300.0000,0.0000,298.6822,9.7578,374.9568,39.1052,294.2968,12.4548
2.900000,300.0000,0.0000,295.3560,13.0488,383.0794,26.2168,297.6804,22.1476
3.000000,300.0000,0.0000,301.7983,12.3970,320.7152,32.1387,300.0114,14.9326
3.100000,300.0000,0.0000,304.7363,19.1381,368.2171,18.3017,286.6550,12.5469
3.200000,300.0000,0.0000,300.3172,12.9872,352.1510,19.6444,295.4097,18.9528
3.300000,300.0000,0.0000,296.7252,24.9361,397.3517,19.7822,295.6282,4.1389
3.400000,300.0000,0.0000,293.6012,23.2901,353.6411,17.7953,304.9096,21.6917
3.500000,300.0000,0.0000,304.0984,7.3838,336.5609,32.9104,294.9734,18.1649
3.600000,300.0000,0.0000,294.6348,16.0697,373.3424,22.1738,304.3419,12.7399
3.700000,300.0000,0.0000,303.4954,15.5398,361.3926,30.7969,291.3089,19.1355
3.800000,300.0000,0.0000,299.5615,15.8335,385.9027,16.4271,294.8864,14.4007
3.900000,300.0000,0.0000,306.7257,21.7757,330.1222,5.2997,294.2537,14.9745
4.000000,300.0000,0.0000,311.8141,16.9972,365.3806,23.6268,288.9888,20.3367
4.100000,300.0000,0.0000,293.4554,17.0116,379.2986,10.6275,307.2599,31.9022
4.200000,300.0000,0.0000,299.5249,15.6307,384.2655,37.4046,292.7870,20.7530
4.300000,300.0000,0.0000,300.8637,24.0230,364.5624,25.4182,292.4284,13.0873
4.400000,300.0000,0.0000,310.9443,21.5859,331.2492,38.0086,289.3267,12.3357
4.500000,300.0000,0.0000,309.3362,20.9450,377.6794,19.2583,285.1259,21.6416
4.600000,300.0000,0.0000,303.8849,29.5590,368.3413,6.9337,291.3631,18.0007
4.700000,300.0000,0.0000,305.6411,28.3831,384.1016,24.4145,293.2890,17.9592
4.800000,300.0000,0.0000,307.3352,26.1277,343.3105,22.7960,298.2251,22.4224
4.900000,300.0000,0.0000,300.4192,21.9165,355.8588,43.3880,304.1657,22.3413
5.000000,300.0000,0.0000,300.5162,22.4207,401.6018,23.7675,289.8666,21.6918
5.100000,300.0000,0.0000,303.7297,23.6010,369.2394,14.7225,290.7533,18.7856
5.200000,300.0000,0.0000,300.8772,21.8080,375.3910,19.7266,297.7483,14.9624
5.300000,300.0000,0.0000,309.6585,23.3494,328.5353,20.7849,290.5898,20.9161
5.400000,300.0000,0.0000,296.8644,19.2401,374.5718,39.7255,303.3388,20.3542
5.500000,300.0000,0.0000,300.7672,24.5665,390.2716,13.4353,294.2947,29.9465
5.600000,300.0000,0.0000,299.7496,14.1392,344.9486,19.4624,297.4143,23.9870
5.700000,300.0000,0.0000,299.0513,11.7222,362.2927,14.5333,293.6666,30.1850
5.800000,300.0000,0.0000,303.7348,15.5952,335.7026,22.4841,287.7561,16.1151
5.900000,300.0000,0.0000,288.0202,14.5380,411.4275,12.4107,294.2822,17.9073
6.000000,300.0000,0.0000,296.9299,12.0126,373.2879,16.6240,285.6260,12.6099
6.100000,300.0000,0.0000,297.8959,4.4678,343.4241,5.6875,286.4706,11.6901
6.200000,300.0000,0.0000,299.4492,11.4739,353.5734,13.5509,286.6688,6.7985
6.300000,300.0000,0.0000,303.5413,7.9550,345.4258,25.0129,286.5287,10.2597
6.400000,300.0000,0.0000,292.7584,15.1719,406.1535,31.5039,289.9382,9.9851
6.500000,300.0000,0.0000,299.5188,6.0565,324.4763,15.2289,294.2730,22.4435
6.600000,300.0000,0.0000,298.1366,11.4960,352.1010,7.0380,295.0258,15.2803
6.700000,300.0000,0.0000,303.1753,8.3020,353.6554,13.5664,283.0084,25.1227
6.800000,300.0000,0.0000,301.4411,6.0557,392.7667,1.3841,279.0773,20.7331
6.900000,300.0000,0.0000,294.9811,4.3534,400.6374,24.5609,296.9676,23.8182
7.000000,300.0000,0.0000,306.4966,6.8794,316.0865,25.4729,290.8234,18.8234
7.100000,300.0000,0.0000,296.0659,5.7295,384.8699,11.6212,295.4977,25.0088
7.200000,300.0000,0.0000,299.4036,7.3090,353.2750,9.4334,294.2729,13.2907
7.300000,300.0000,0.0000,301.2430,11.4955,403.5668,7.5525,287.2078,11.6092
7.400000,300.0000,0.0000,301.6998,9.9520,325.1273,7.5409,300.0085,21.0723
7.500000,300.0000,0.0000,299.2488,5.6504,333.8895,23.1291,295.6360,24.5366
7.600000,300.0000,0.0000,290.1504,17.2023,379.2117,9.6797,298.1926,11.8045
7.700000,300.0000,0.0000,294.7218,6.7794,366.9171,15.0053,297.6340,23.5302
7.800000,300.0000,0.0000,294.5708,6.6314,403.2846,19.2125,290.3218,23.1075
