time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
0.100500,300.0000,287.6891,406.6056,297.2547,324.986819,-2541.533385,5.289621,-0.000000,0.000000
0.201000,300.0000,305.6374,337.4814,278.2165,269.738059,-2625.621716,6.311214,0.000000,0.000000
0.300000,300.0000,281.3712,396.3292,298.0049,316.773223,-2538.264771,3.718934,-0.000000,0.000000
0.400500,300.0000,295.6726,301.3118,293.3960,240.828918,-2558.398464,6.085125,-0.000000,0.000000
0.501000,300.0000,300.2797,379.8194,281.2173,303.577488,-2612.218258,6.102446,0.000000,0.000000
0.600000,300.0000,285.2395,403.1380,296.9657,322.215292,-2542.793394,2.857359,-0.000000,0.000000
0.700500,300.0000,294.2904,348.1505,282.4130,278.265566,-2606.893786,7.772470,0.000000,0.000000
0.801000,300.0000,297.3155,354.0443,267.3143,282.976290,-2674.811622,3.533874,0.000000,0.000000
0.900000,300.0000,291.9746,270.4041,285.1016,216.125326,-2594.953514,7.105582,-0.000000,0.000000
1.000500,300.0000,277.8034,397.9273,283.9332,318.050568,-2600.136645,4.844032,-0.000000,0.000000
1.101000,300.0000,287.5027,340.6536,283.7700,272.273546,-2600.861601,5.151999,0.000000,0.000000
1.200000,300.0000,295.8189,356.9374,281.7975,285.288657,-2609.633707,3.476202,-0.000000,0.000000
1.300500,300.0000,291.3199,339.4223,303.0157,271.289352,-2516.516442,3.313945,-0.000000,0.000000
1.401000,300.0000,300.6876,352.3465,292.2780,281.619282,-2563.301309,2.884372,0.000000,0.000000
1.500000,300.0000,293.0695,422.9028,282.3201,338.012662,-2607.307130,1.206807,0.000000,0.000000
1.600500,300.0000,296.8909,323.5627,292.4102,258.613351,-2562.720986,6.557469,-0.000000,0.000000
1.701000,300.0000,296.6634,369.0507,285.6261,294.970399,-2592.629345,1.276652,0.000000,0.000000
1.800000,300.0000,306.2813,306.1035,276.4552,244.658719,-2633.515850,3.520099,0.000000,0.000000
1.900500,300.0000,302.4383,398.2423,272.4262,318.302294,-2651.649253,2.938394,-0.000000,0.000000
2.001000,300.0000,273.3753,370.0583,304.2485,295.775738,-2511.187715,2.691452,0.000000,0.000000
2.100000,300.0000,306.2887,326.7306,275.4072,261.145301,-2638.222327,4.125633,0.000000,0.000000
2.200500,300.0000,292.7221,368.2882,286.3927,294.360945,-2589.235709,2.351398,-0.000000,0.000000
2.301000,300.0000,301.4454,327.5538,277.9103,261.803294,-2626.992502,5.353835,-0.000000,0.000000
2.400000,300.0000,285.6187,422.3752,290.4679,337.590979,-2571.255428,2.754119,0.000000,0.000000
2.500500,300.0000,296.3947,340.1918,283.7406,271.904399,-2600.992269,3.351326,0.000000,0.000000
2.601000,300.0000,303.5807,344.3529,270.0469,275.230280,-2662.408335,4.995211,-0.000000,0.000000
2.700000,300.0000,288.5737,353.3915,284.1960,282.454540,-2598.970120,2.125833,0.000000,0.000000
2.800500,300.0000,285.3035,332.1724,283.9487,265.494803,-2600.068064,4.190395,0.000000,0.000000
2.901000,300.0000,280.2514,394.4160,273.0485,315.244058,-2648.841330,1.084338,-0.000000,0.000000
3.000000,300.0000,286.2309,293.1976,293.6367,234.343434,-2557.343819,4.226142,-0.000000,0.000000
3.100500,300.0000,281.6135,361.5961,285.8712,289.012189,-2591.543959,3.545833,-0.000000,0.000000
3.201000,300.0000,287.8043,332.9395,288.6115,266.107859,-2579.433345,1.096653,0.000000,0.000000
3.300000,300.0000,271.9898,388.5374,301.4733,310.545474,-2523.195529,2.512202,-0.000000,0.000000
3.400500,300.0000,265.1212,354.2859,321.6377,283.169375,-2436.922038,2.966599,0.000000,0.000000
3.501000,300.0000,300.0189,314.2880,281.9473,251.200326,-2608.966489,2.357395,0.000000,0.000000
3.600000,300.0000,284.6871,378.4792,297.4717,302.506303,-2540.587797,2.912861,-0.000000,0.000000
3.700500,300.0000,309.5746,349.2837,270.2342,279.171269,-2661.560052,3.286881,-0.000000,0.000000
3.801000,300.0000,288.9943,390.1308,289.5761,311.819078,-2575.181457,4.469622,0.000000,0.000000
3.900000,300.0000,296.5186,325.0416,285.5889,259.795355,-2592.794191,5.712317,-0.000000,0.000000
4.000500,300.0000,304.2509,356.0569,277.5075,284.584875,-2628.797111,2.061859,-0.000000,0.000000
4.101000,300.0000,294.5607,370.7237,278.9161,296.307605,-2622.491808,5.790430,0.000000,0.000000
