time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std
0.000000,nan,nan,nan,nan,nan,nan,nan,nan
0.100000,nan,nan,nan,nan,nan,nan,nan,nan
0.200000,300.0000,0.0000,284.4572,10.5412,375.1033,32.2164,306.4388,9.2985
0.300000,300.0000,0.0000,384.4898,137.6896,378.2796,14.2754,299.3876,9.1684
0.400000,300.0000,0.0000,758.0361,656.3917,320.2634,9.1283,301.3779,9.8724
0.500000,300.0000,0.0000,338.7220,67.1278,352.5591,19.9893,298.4403,8.1555
0.600000,300.0000,0.0000,740.6372,644.9613,353.7559,17.1406,307.7898,9.2329
0.700000,300.0000,0.0000,324.9942,46.3755,384.9627,40.1072,308.4883,17.0998
0.800000,300.0000,0.0000,673.2084,532.1077,339.9432,9.4826,297.7801,10.3614
0.900000,300.0000,0.0000,529.1812,325.9844,324.2719,10.7516,302.4796,8.7946
1.000000,300.0000,0.0000,433.2306,204.1162,350.9267,15.7356,299.4137,7.8183
1.100000,300.0000,0.0000,544.0377,356.7490,378.5802,20.8056,297.1379,8.8001
1.200000,300.0000,0.0000,286.0316,7.0244,387.0943,31.8559,303.9306,6.0173
1.300000,300.0000,0.0000,629.7722,484.9162,335.2423,6.0270,305.1281,4.2062
1.400000,300.0000,0.0000,299.9663,12.5875,342.9802,23.6744,300.5468,6.3229
1.500000,300.0000,0.0000,514.5414,318.6597,344.5089,3.6252,304.2433,4.6645
1.600000,300.0000,0.0000,384.8847,130.6202,382.9441,25.7829,300.4533,14.0242
1.700000,300.0000,0.0000,456.5855,241.4439,352.5093,16.5069,303.7587,9.3654
1.800000,300.0000,0.0000,509.2067,313.3003,334.4058,8.4304,305.3162,11.7074
1.900000,300.0000,0.0000,319.2311,37.2724,339.8989,30.4422,299.0153,4.1142
2.000000,300.0000,0.0000,501.6822,310.9011,369.9999,16.1882,304.2556,6.4006
2.100000,300.0000,0.0000,296.7865,26.0962,383.2260,24.7941,307.7099,4.7340
2.200000,300.0000,0.0000,480.8073,264.2572,346.7253,8.2453,303.5340,7.2913
2.300000,300.0000,0.0000,321.0241,39.3278,334.1432,20.2325,300.6462,5.1442
2.400000,300.0000,0.0000,369.1976,105.8408,329.5135,17.2694,300.2129,6.1077
2.500000,300.0000,0.0000,402.3795,155.2063,376.6382,6.8848,301.3648,13.6217
2.600000,300.0000,0.0000,338.7249,65.9300,366.5564,24.3816,303.5747,4.8551
2.700000,300.0000,0.0000,450.6019,227.7433,351.6232,17.5742,306.1309,5.5792
2.800000,300.0000,0.0000,298.0536,4.0868,332.9540,28.0615,303.3115,5.0699
2.900000,300.0000,0.0000,427.3369,194.2735,367.2111,2.6283,311.4293,7.8098
3.000000,300.0000,0.0000,326.2200,49.3715,384.7414,9.4585,306.5932,6.1503
3.100000,300.0000,0.0000,370.4521,121.1278,359.7529,16.7316,313.7916,2.1599
3.200000,300.0000,0.0000,348.1295,65.8670,342.5360,22.0277,308.0114,8.5517
3.300000,300.0000,0.0000,317.7745,24.8243,336.7033,31.5068,309.0430,8.0664
3.400000,300.0000,0.0000,396.3483,141.6733,373.2258,1.9764,308.0978,6.8849
3.500000,300.0000,0.0000,305.8224,2.8281,385.1136,30.0034,305.0474,6.2107
3.600000,300.0000,0.0000,396.7063,132.6705,369.9394,12.6786,302.9926,3.6750
3.700000,300.0000,0.0000,311.4532,11.3710,347.4605,22.7711,308.4939,5.4847
3.800000,300.0000,0.0000,383.0051,111.5731,360.8070,10.9839,309.4720,7.8127
3.900000,300.0000,0.0000,346.4710,73.9597,383.6444,7.5697,317.1202,4.3575
4.000000,300.0000,0.0000,328.9412,35.3914,381.4463,21.7468,311.0058,12.6119
4.100000,300.0000,0.0000,358.3065,79.6187,345.8477,21.1967,310.1049,9.5087
4.200000,300.0000,0.0000,304.8296,8.0181,345.3614,26.2357,304.2469,5.5664
4.300000,300.0000,0.0000,371.1304,100.0541,354.1139,7.4730,309.4598,9.4185
4.400000,300.0000,0.0000,298.5476,7.9213,393.8073,31.0740,306.5419,15.9963
4.500000,300.0000,0.0000,346.7488,63.9828,382.7752,23.5784,305.2929,8.6751
4.600000,300.0000,0.0000,328.6859,34.6647,345.6579,28.8658,307.3422,6.8189
4.700000,300.0000,0.0000,332.5364,46.3595,356.4246,15.0651,311.4771,9.5235
4.800000,300.0000,0.0000,349.1122,67.6932,362.4697,10.1274,315.0591,13.2783
4.900000,300.0000,0.0000,304.7952,10.2291,394.6430,37.6394,311.9592,7.6770
5.000000,300.0000,0.0000,355.9595,68.9793,351.0354,21.9289,307.6245,10.0274
5.100000,300.0000,0.0000,303.7740,7.0920,348.6225,28.8372,317.6382,14.9227
5.200000,300.0000,0.0000,346.1098,61.2106,361.9830,13.8200,306.8275,9.3777
5.300000,300.0000,0.0000,317.6538,19.1176,383.9917,26.5069,300.5259,13.2983
5.400000,300.0000,0.0000,307.3107,24.8137,396.4977,34.7225,311.6893,13.7784
5.500000,300.0000,0.0000,331.6469,47.9062,349.6747,20.5453,308.8477,11.2903
5.600000,300.0000,0.0000,305.2445,24.2902,350.0848,25.6706,313.1866,7.1257
5.700000,300.0000,0.0000,330.5798,56.5838,347.3585,11.8686,310.0089,14.2824
5.800000,300.0000,0.0000,295.8350,17.3849,384.4185,31.5409,303.4740,2.5755
5.900000,300.0000,0.0000,322.5006,55.9651,355.3714,27.7335,317.1608,15.1687
6.000000,300.0000,0.0000,303.5022,31.1520,350.9681,16.5083,318.4263,13.9310
6.100000,300.0000,0.0000,320.1854,36.0972,347.7757,26.0101,309.1612,14.2222
6.200000,300.0000,0.0000,314.4348,28.3353,380.1131,16.0150,306.7672,9.2280
6.300000,300.0000,0.0000,295.2932,6.9245,386.4965,33.8714,317.7976,25.4540
6.400000,300.0000,0.0000,322.1979,38.5355,362.0915,17.9426,314.5392,15.9818
6.500000,300.0000,0.0000,299.4624,5.9801,347.1701,13.2995,322.2235,8.2547
6.600000,300.0000,0.0000,325.2037,34.6667,357.9347,20.0908,313.1253,4.7105
6.700000,300.0000,0.0000,307.7947,4.7419,380.5637,9.2491,309.9860,8.7141
6.800000,300.0000,0.0000,314.7458,18.7906,392.8376,28.3919,320.0487,20.3723
6.900000,300.0000,0.0000,312.9685,15.1495,356.8642,7.9479,320.2042,15.2070
7.000000,300.0000,0.0000,305.7118,11.2764,356.0506,16.6561,322.1334,8.3280
7.100000,300.0000,0.0000,321.5300,19.9109,373.7505,7.7793,311.0706,8.7701
7.200000,300.0000,0.0000,308.2142,8.9469,385.7612,11.8554,312.5073,12.3613
7.300000,300.0000,0.0000,318.8658,15.7700,388.8906,26.0282,313.6751,13.7050
7.400000,300.0000,0.0000,313.0167,4.2689,340.1719,6.7338,311.6865,15.8867
7.500000,300.0000,0.0000,315.0598,13.6121,360.8442,29.8003,315.3353,7.5966
7.600000,300.0000,0.0000,310.7435,8.8078,367.7020,9.3743,314.9176,8.1863
7.700000,300.0000,0.0000,308.4142,10.0109,392.9873,26.3413,311.9596,11.0901
7.800000,300.0000,0.0000,310.2033,19.9755,385.5019,20.9389,314.1766,5.9023
