time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
0.100500,300.0000,284.6954,331.0950,280.3529,291.401602,-2187.205932,9.453307,-0.000000,0.000000
0.201000,300.0000,269.8436,388.3010,294.1233,340.083382,-2117.381556,0.826851,-0.000000,0.000000
0.300000,300.0000,278.3130,386.1864,287.7567,338.292315,-2149.314144,2.974249,0.000000,0.000000
0.400500,300.0000,290.1891,327.3631,287.4571,288.209207,-2150.831600,2.981436,-0.000000,0.000000
0.501000,300.0000,281.7813,375.9083,288.5529,329.577666,-2145.288352,1.929931,-0.000000,0.000000
0.600000,300.0000,271.3564,330.6642,308.1099,291.033202,-2049.234958,5.058892,0.000000,0.000000
0.700500,300.0000,286.5411,412.2771,287.6182,360.345958,-2150.015688,0.612505,-0.000000,0.000000
0.801000,300.0000,299.4217,338.0161,284.6422,297.316772,-2165.152925,7.050569,-0.000000,0.000000
0.900000,300.0000,294.7158,334.9313,292.6968,294.681162,-2124.484971,4.639455,0.000000,0.000000
1.000500,300.0000,285.3768,370.1572,292.0714,324.694628,-2127.608901,5.271629,0.000000,0.000000
1.101000,300.0000,283.0582,366.8286,288.3852,321.866317,-2146.135403,2.110244,-0.000000,0.000000
1.200000,300.0000,276.1376,404.1973,297.0721,353.526839,-2102.788718,0.954819,0.000000,0.000000
1.300500,300.0000,286.4904,330.3718,299.8348,290.783151,-2089.227872,5.132086,-0.000000,0.000000
1.401000,300.0000,282.5349,372.7411,301.5784,326.889140,-2080.723585,1.117303,-0.000000,0.000000
1.500000,300.0000,288.6720,344.2561,299.0804,302.643805,-2092.920220,4.597301,0.000000,0.000000
1.600500,300.0000,291.9815,387.9322,288.5789,339.771072,-2145.157113,0.683531,0.000000,0.000000
1.701000,300.0000,288.1382,366.1124,292.7665,321.257542,-2124.137474,4.748828,-0.000000,0.000000
1.800000,300.0000,291.3956,346.1908,290.9273,304.294304,-2133.337686,2.256136,-0.000000,0.000000
1.900500,300.0000,291.4891,380.5377,295.2325,333.504729,-2111.877809,2.908809,0.000000,0.000000
2.001000,300.0000,292.9913,347.0846,296.4596,305.056617,-2105.809612,6.437173,0.000000,0.000000
2.100000,300.0000,271.8784,397.7194,313.9340,348.052898,-2021.633308,1.232639,-0.000000,0.000000
2.200500,300.0000,297.7607,356.4933,294.1445,313.074064,-2117.276176,8.490065,0.000000,0.000000
2.301000,300.0000,288.4244,362.6326,301.1978,318.298630,-2082.576517,1.504405,0.000000,0.000000
2.400000,300.0000,293.6448,352.5806,293.8474,309.741527,-2118.752962,6.824430,-0.000000,0.000000
2.500500,300.0000,286.6044,368.5420,299.3417,323.322384,-2091.640714,5.398021,0.000000,0.000000
2.601000,300.0000,290.0779,390.0137,296.8992,341.533565,-2103.640884,5.280344,0.000000,0.000000
2.700000,300.0000,294.3232,375.7052,301.9824,329.405281,-2078.759255,9.018181,-0.000000,0.000000
2.800500,300.0000,303.2462,372.0481,299.5919,326.300652,-2090.415942,1.334708,-0.000000,0.000000
2.901000,300.0000,293.4412,369.6335,304.0612,324.249747,-2068.686085,8.752126,0.000000,0.000000
3.000000,300.0000,294.3408,390.5466,298.9116,341.984683,-2093.747442,2.501050,-0.000000,0.000000
3.100500,300.0000,283.4673,376.5869,316.8747,330.153482,-2007.862905,12.033168,-0.000000,0.000000
3.201000,300.0000,306.6464,373.5975,298.1171,327.616207,-2097.646936,5.288311,0.000000,0.000000
3.300000,300.0000,309.2779,379.8015,299.0329,332.880454,-2093.152946,4.710756,0.000000,0.000000
3.400500,300.0000,306.9400,371.1277,300.0450,325.518986,-2088.200285,12.215203,-0.000000,0.000000
3.501000,300.0000,308.2113,411.0865,296.4367,359.341735,-2105.922664,1.671196,-0.000000,0.000000
3.600000,300.0000,301.2501,386.4291,307.8144,338.497971,-2050.647181,11.052718,0.000000,0.000000
3.700500,300.0000,309.3612,378.9778,300.9203,332.181869,-2083.928400,3.209827,0.000000,0.000000
3.801000,300.0000,317.5097,375.1339,298.8018,328.920435,-2094.285967,4.932560,-0.000000,0.000000
3.900000,300.0000,298.7270,376.5154,313.0095,330.092814,-2025.985152,4.702809,0.000000,0.000000
4.000500,300.0000,311.7551,391.2695,293.1025,342.596609,-2122.461945,4.214463,-0.000000,0.000000
4.101000,300.0000,309.1749,375.6142,298.0802,329.328049,-2097.828243,6.242412,-0.000000,0.000000
4.200000,300.0000,311.9082,381.0295,296.7402,333.921767,-2104.425096,7.023478,-0.000000,0.000000
4.300500,300.0000,304.6658,363.6437,300.5538,319.158593,-2085.715981,7.911956,0.000000,0.000000
4.401000,300.0000,309.3674,389.8446,292.7450,341.390413,-2124.244740,4.343058,0.000000,0.000000
4.500000,300.0000,315.4606,402.5073,293.9212,352.099338,-2118.385941,4.439419,-0.000000,0.000000
4.600500,300.0000,314.2354,382.4786,303.0212,335.150306,-2073.718250,4.799512,-0.000000,0.000000
4.701000,300.0000,316.1689,376.4770,304.2364,330.060211,-2067.840110,4.526931,0.000000,0.000000
4.800000,300.0000,311.4890,375.8995,308.0159,329.570134,-2049.684101,2.323303,0.000000,0.000000
4.900500,300.0000,310.8287,406.5306,306.4376,355.497073,-2057.242482,6.156204,-0.000000,0.000000
5.001000,300.0000,317.5683,380.9902,302.5918,333.888437,-2075.800168,3.379280,-0.000000,0.000000
5.100000,300.0000,306.5294,385.5644,313.3199,337.765411,-2024.523199,4.371100,0.000000,0.000000
5.200500,300.0000,315.8406,381.3912,295.8758,334.228413,-2108.694108,3.405431,-0.000000,0.000000
5.301000,300.0000,325.6412,377.7305,282.1085,331.123787,-2178.145689,5.092746,0.000000,0.000000
5.400000,300.0000,299.8880,408.5429,302.4432,357.195605,-2076.521251,5.596009,-0.000000,0.000000
