time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std,E_bond_kjmol,E_bond_kjmol_std,E_nonbonded_kjmol,E_nonbonded_kjmol_std,E_cav_harmonic_kjmol,E_cav_harmonic_kjmol_std,E_cav_coupling_kjmol,E_cav_coupling_kjmol_std,E_cav_dse_kjmol,E_cav_dse_kjmol_std
0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100000,100.0000,0.0000,99.0722,2.5894,77.8539,6.2643,110.0702,4.0511,109.6002,8.8187,-3676.7825,26.1039,1.0096,0.7676,0.0000,0.0000,0.0000,0.0000
0.200000,100.0000,0.0000,101.7840,2.6244,83.5239,7.2933,106.0267,3.1966,117.5821,10.2672,-3702.9494,20.8801,1.1860,0.4734,0.0000,0.0000,0.0000,0.0000
0.300000,100.0000,0.0000,100.0919,4.7147,83.9753,4.1570,106.3143,2.1111,118.2177,5.8522,-3700.9897,13.7864,1.5548,0.4407,0.0000,0.0000,0.0000,0.0000
0.400000,100.0000,0.0000,101.2967,2.2400,75.4834,8.8504,106.7233,2.1082,106.2631,12.4593,-3698.3185,13.7988,0.9359,0.7785,0.0000,0.0000,0.0000,0.0000
0.500000,100.0000,0.0000,100.0466,4.0699,84.5311,5.4520,105.2890,2.8490,119.0001,7.6752,-3707.7568,18.6616,1.6615,0.4060,0.0000,0.0000,0.0000,0.0000
0.600000,100.0000,0.0000,99.6443,3.7381,79.9660,5.9649,106.2519,3.3233,112.5736,8.3972,-3701.4871,21.6829,1.0240,0.6944,0.0000,0.0000,0.0000,0.0000
0.700000,100.0000,0.0000,100.0660,2.9039,78.1207,8.1876,106.1178,3.3922,109.9757,11.5262,-3702.3755,22.4937,1.3785,1.0731,0.0000,0.0000,0.0000,0.0000
0.800000,100.0000,0.0000,98.8338,4.4283,86.3083,3.7214,105.7670,2.4149,121.5019,5.2389,-3704.5909,15.8810,1.3687,0.5315,0.0000,0.0000,0.0000,0.0000
0.900000,100.0000,0.0000,101.8719,3.3723,77.9520,5.9176,104.4241,2.2050,109.7382,8.3305,-3713.4016,14.5789,1.1106,0.9104,0.0000,0.0000,0.0000,0.0000
1.000000,100.0000,0.0000,100.5098,3.3048,83.1107,6.9953,105.2870,3.3392,117.0006,9.8478,-3707.8137,22.0501,1.5481,0.7936,0.0000,0.0000,0.0000,0.0000
1.100000,100.0000,0.0000,98.2271,4.8858,85.6552,3.7975,106.3966,3.6124,120.5825,5.3460,-3700.5733,23.8772,1.2041,1.0197,0.0000,0.0000,0.0000,0.0000
1.200000,100.0000,0.0000,100.4182,3.2715,77.4680,7.1259,106.2899,4.1276,109.0568,10.0315,-3701.3243,27.1723,1.3570,0.9394,0.0000,0.0000,0.0000,0.0000
1.300000,100.0000,0.0000,98.5096,5.2594,86.3081,5.0219,106.9222,3.1434,121.5017,7.0696,-3697.0940,20.4914,1.2836,0.5870,0.0000,0.0000,0.0000,0.0000
1.400000,100.0000,0.0000,98.2480,2.5716,81.2697,4.4830,106.9923,4.5311,114.4088,6.3111,-3696.7836,29.6651,1.1866,0.8724,0.0000,0.0000,0.0000,0.0000
