# turn-on energies from lambda=0 equilibrium snapshots
# lambda_eval=0.042  T=100.0 K  burn_in_ps=1000.0
time_ps  E_coup_turnon_kjmol  E_coup_relaxed_kjmol  E_dse_kjmol
1001.000000  11.54841709  -699.83972168  349.91973877
1011.000000  17.51344681  -2395.95483398  1197.97705078
1021.000000  -33.49275589  -1332.27026367  666.13488770
1031.000000  45.67900848  -754.00390625  377.00180054
1041.000000  -10.59436321  -10563.22070312  5281.60839844
1051.000000  25.03485680  -1027.55834961  513.77893066
1061.000000  -172.94912720  -5470.60498047  2735.30126953
1071.000000  -75.54959106  -5156.18554688  2578.09179688
1081.000000  12.11843777  -5501.83447266  2750.91625977
1091.000000  65.15406036  -6851.03222656  3425.51464844
1101.000000  3.49857020  -4204.10888672  2102.05346680
1111.000000  67.59479523  -3006.46484375  1503.23168945
1121.000000  45.55673218  -9130.78710938  4565.39160156
1131.000000  -6.99523401  -5882.22216797  2941.11010742
1141.000000  63.34583282  -4107.85742188  2053.92797852
1151.000000  42.04943848  -5240.97167969  2620.48486328
1161.000000  75.79094696  -1729.68774414  864.84350586
1171.000000  -3.58074141  -1996.20300293  998.10113525
1181.000000  13.79956532  -5469.47802734  2734.73779297
1191.000000  -101.11627960  -7518.29296875  3759.14477539
1201.000000  -87.44805145  -10376.21093750  5188.10351562
1211.000000  -13.11069489  -8004.20605469  4002.10107422
1221.000000  58.13351440  -7224.31494141  3612.15551758
1231.000000  -20.97542191  -8915.41015625  4457.70312500
1241.000000  -103.05831146  -7146.48339844  3573.24023438
1251.000000  71.73712921  -5953.80371094  2976.90087891
1261.000000  -87.14177704  -3294.42529297  1647.21191406
1271.000000  84.04804230  -2807.23339844  1403.61608887
1281.000000  -18.47504425  -1885.36657715  942.68286133
1291.000000  -8.92561150  -1924.29675293  962.14794922
1301.000000  1.59746552  -1878.91455078  939.45684814
1311.000000  10.31057358  -2482.48242188  1241.24084473
1321.000000  16.38743973  -971.13104248  485.56533813
1331.000000  -86.80495453  -3143.93823242  1571.96850586
1341.000000  -21.75483131  -2471.11694336  1235.55798340
1351.000000  -48.01135635  -1308.81958008  654.40942383
1361.000000  3.68141055  -968.67877197  484.33914185
1371.000000  20.77426338  -530.73748779  265.36865234
1381.000000  -20.42721176  -451.51919556  225.75950623
1391.000000  5.99748993  -578.64697266  289.32336426
1401.000000  20.65589714  -236.44987488  118.22488403
1411.000000  -5.06192780  -255.85098267  127.92545319
1421.000000  15.87685394  -464.36874390  232.18426514
1431.000000  -17.92575836  -1532.04968262  766.02453613
1441.000000  22.82138252  -4509.99511719  2254.99682617
1451.000000  2.09521031  -1236.89746094  618.44842529
1461.000000  -43.10811996  -904.13659668  452.06808472
1471.000000  41.73989868  -909.24023438  454.61993408
1481.000000  17.59404945  -1830.12194824  915.06048584
1491.000000  67.40154266  -2762.02783203  1381.01330566
1501.000000  -25.70233727  -642.01226807  321.00601196
1511.000000  -17.03283691  -1476.61853027  738.30895996
1521.000000  -2.37687731  -83.18542480  41.59269714
1531.000000  7.33492565  -916.28155518  458.14059448
1541.000000  8.53732300  -318.98175049  159.49081421
1551.000000  -8.85682392  -235.89228821  117.94609833
1561.000000  9.50467300  -526.84942627  263.42459106
1571.000000  22.91105843  -293.73809814  146.86898804
1581.000000  -54.06972504  -806.79620361  403.39794922
1591.000000  42.08303070  -2435.78393555  1217.89160156
1601.000000  -19.31065178  -635.38781738  317.69378662
1611.000000  29.04888153  -1875.48022461  937.73968506
1621.000000  -0.75982285  -70.38508606  35.19253159
1631.000000  15.51870441  -344.85443115  172.42712402
1641.000000  -17.55163956  -1072.67431641  536.33691406
1651.000000  -29.79487610  -338.71496582  169.35742188
1661.000000  -8.26845646  -499.20147705  249.60061646
1671.000000  3.39855433  -309.25408936  154.62698364
1681.000000  16.84182930  -2022.89990234  1011.44940186
1691.000000  43.30237198  -2048.14550781  1024.07238770
1701.000000  13.73931980  -1055.63708496  527.81835938
1711.000000  -17.30245018  -989.89544678  494.94750977
1721.000000  3.85185170  -848.37213135  424.18591309
1731.000000  -18.77317238  -403.73675537  201.86828613
1741.000000  -12.12340927  -678.03704834  339.01837158
1751.000000  4.29466867  -1066.73291016  533.36621094
1761.000000  9.10636520  -306.00515747  153.00251770
1771.000000  -50.04142380  -1234.41101074  617.20520020
1781.000000  -18.50601387  -1092.64038086  546.32000732
1791.000000  -36.02322769  -1940.94958496  970.47442627
1801.000000  11.16651630  -1804.18725586  902.09332275
1811.000000  -22.27931786  -1013.38171387  506.69064331
1821.000000  19.76012802  -1284.13708496  642.06829834
1831.000000  18.84129906  -1501.84960938  750.92462158
1841.000000  -47.96543121  -474.06851196  237.03414917
1851.000000  129.43923950  -2186.24487305  1093.12207031
1861.000000  -21.47446442  -404.07934570  202.03959656
1871.000000  -11.76761436  -419.98489380  209.99237061
1881.000000  22.84073448  -455.56799316  227.78390503
1891.000000  19.08538055  -365.52828979  182.76408386
1901.000000  20.00123024  -2368.19433594  1184.09680176
1911.000000  -8.68166828  -2366.05371094  1183.02624512
1921.000000  70.28311157  -2696.41210938  1348.20544434
1931.000000  44.55803299  -1514.19055176  757.09497070
1941.000000  11.66082001  -969.21807861  484.60879517
1951.000000  66.68684387  -1441.99877930  720.99908447
1961.000000  18.07111168  -303.02456665  151.51222229
1971.000000  6.47448349  -1100.55126953  550.27545166
1981.000000  -10.63142490  -447.75579834  223.87780762
1991.000000  0.95196158  -387.99798584  193.99891663
2001.000000  1.50096881  -452.20208740  226.10095215
2011.000000  -2.82493162  -1255.50549316  627.75250244
2021.000000  17.34345627  -123.07460785  61.53727341
2031.000000  -6.95144606  -223.13587952  111.56790161
2041.000000  0.12254555  -405.08990479  202.54486084
2051.000000  32.55876160  -6076.25244141  3038.12500000
2061.000000  -160.91299438  -5605.49511719  2802.74633789
2071.000000  120.61846924  -8567.00585938  4283.50097656
2081.000000  15.03388596  -5850.79833984  2925.39794922
2091.000000  166.59347534  -7987.28271484  3993.63989258
2101.000000  -35.91232681  -7521.29394531  3760.64526367
2111.000000  -14.46569443  -9011.30761719  4505.65234375
2121.000000  -99.58719635  -4724.64404297  2362.32080078
2131.000000  55.40420151  -7822.77197266  3911.38452148
2141.000000  33.43349075  -6373.49902344  3186.74829102
2151.000000  -39.11277390  -6650.28369141  3325.14038086
2161.000000  -31.51354218  -2956.01562500  1478.00720215
2171.000000  -108.91306305  -2390.61157227  1195.30517578
2181.000000  -8.52691364  -1121.54565430  560.77264404
2191.000000  -18.49007225  -904.55255127  452.27609253
2201.000000  -7.49414492  -455.26416016  227.63200378
2211.000000  10.81515884  -161.13482666  80.56738281
2221.000000  49.07669830  -1069.00854492  534.50402832
2231.000000  15.46501446  -243.33135986  121.66562653
2241.000000  -5.91409969  -104.51802063  52.25898743
2250.000000  24.33671570  -1077.12658691  538.56311035
2260.000000  -29.74585915  -1761.66601562  880.83270264
2270.000000  -2.03317666  -2747.75537109  1373.87695312
2280.000000  16.12563705  -2234.01342773  1117.00610352
2290.000000  30.69204903  -482.49862671  241.24922180
2300.000000  -45.42651367  -1965.91369629  982.95635986
2310.000000  -14.09532452  -538.94714355  269.47344971
2320.000000  -62.20807266  -2491.42797852  1245.71337891
2330.000000  3.92897296  -2391.75976562  1195.87951660
2340.000000  10.16923141  -330.68136597  165.34062195
2350.000000  9.82602119  -113.87910461  56.93952560
2360.000000  -29.96544838  -652.40686035  326.20333862
2370.000000  -18.06498909  -595.29180908  297.64578247
2380.000000  -1.31274533  -1255.99707031  627.99835205
2390.000000  30.73717880  -1397.35351562  698.67645264
2400.000000  -6.91021347  -4487.17626953  2243.58691406
2410.000000  -26.47393417  -1609.04785156  804.52362061
2420.000000  -0.55735481  -3288.39770508  1644.19824219
2430.000000  0.69370395  -409.95367432  204.97673035
2440.000000  51.38795090  -1840.30334473  920.15136719
2450.000000  -22.80908585  -530.30743408  265.15362549
2460.000000  -28.97199821  -1991.55529785  995.77716064
2470.000000  4.63148260  -1082.40466309  541.20208740
2480.000000  -12.70296764  -331.06372070  165.53178406
2490.000000  54.64513779  -3191.64013672  1595.81945801
2500.000000  -16.20612717  -603.08770752  301.54373169
2510.000000  -12.79459953  -209.89904785  104.94947815
2520.000000  13.63284683  -253.63194275  126.81591797
2530.000000  -9.04789162  -329.62881470  164.81434631
2540.000000  2.69281077  -524.60198975  262.30087280
2550.000000  8.92832470  -100.89464569  50.44729996
2560.000000  -49.20837784  -2818.63989258  1409.31933594
2570.000000  -22.25841331  -1130.26403809  565.13183594
