time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
5.000000,450.0000,402.4501,42.6429,5759.0516,44.319080,1246.124148,0.846897,-4.870581,48.342765
10.000000,450.0000,506.0685,87.4844,6093.8566,90.923218,1340.931563,90.923218,-0.000000,0.000000
15.000000,450.0000,434.2703,3.8422,6288.5335,3.993214,1395.100530,3.993214,-0.000000,0.000000
20.000000,450.0000,448.2212,36.1612,6821.4143,37.582665,1540.046009,21.624634,4.555078,11.402953
25.000000,450.0000,428.8767,69.6663,6207.4414,72.404734,1372.619293,6.223237,24.358889,41.822608
30.000000,450.0000,454.8917,52.9414,7780.1538,55.022386,1789.887060,61.845970,-44.386336,37.562752
35.000000,450.0000,456.0434,224.1716,6739.8622,232.983343,1518.165153,65.554146,113.959581,53.469616
40.000000,450.0000,438.0862,34.5382,7402.2254,35.895808,1692.959637,35.895808,0.000000,0.000000
45.000000,450.0000,443.5801,19.8492,7025.0954,20.629413,1594.242510,20.629413,-0.000000,0.000000
50.000000,450.0000,468.1022,20.3819,8062.6229,21.183036,1861.106622,21.183036,-0.000000,0.000000
