time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
0.100000,100.0000,103.7726,73.6663,105.6641,103.704990,-3705.184322,2.944572,0.000000,0.000000
0.200000,100.0000,102.4690,74.1588,106.0835,104.398333,-3702.438346,1.126615,-0.000000,0.000000
0.300000,100.0000,100.9393,83.9371,104.3892,118.163895,-3713.562823,2.122226,0.000000,0.000000
0.400000,100.0000,103.4827,64.6062,102.5242,90.950505,-3725.901107,2.434418,0.000000,0.000000
0.500000,100.0000,95.2883,77.4851,110.5352,109.081040,-3673.578561,0.836548,-0.000000,0.000000
0.600000,100.0000,99.3872,78.6842,104.7998,110.769085,-3710.859571,2.456984,-0.000000,0.000000
0.700000,100.0000,101.2749,65.5715,103.3420,92.309459,-3720.478249,1.255956,0.000000,0.000000
0.800000,100.0000,98.0297,83.2726,105.8107,117.228496,-3704.224021,1.610138,0.000000,0.000000
0.900000,100.0000,93.3976,76.1746,107.2982,107.236099,-3694.511227,3.035079,-0.000000,0.000000
1.000000,100.0000,99.4863,72.1070,102.6737,101.509871,-3724.908061,0.758290,0.000000,0.000000
1.100000,100.0000,97.8943,86.7960,101.9511,122.188541,-3729.712558,2.701102,0.000000,0.000000
1.200000,100.0000,100.5379,73.1871,102.6004,103.030412,-3725.394763,0.518329,-0.000000,0.000000
1.300000,100.0000,94.2065,77.4361,107.8659,109.012004,-3690.820188,1.241658,0.000000,0.000000
1.400000,100.0000,94.1950,81.6021,105.4810,114.876815,-3706.385212,1.313509,0.000000,0.000000
1.500000,100.0000,100.2158,69.6208,103.3680,98.009919,-3720.306411,0.049656,0.000000,0.000000
1.600000,100.0000,96.1435,79.1690,105.7749,111.451489,-3704.458724,1.282703,-0.000000,0.000000
1.700000,100.0000,98.4735,74.5911,104.3836,105.006877,-3713.599453,0.401325,0.000000,0.000000
1.800000,100.0000,98.1874,67.7513,107.3365,95.378001,-3694.261841,0.910328,0.000000,0.000000
1.900000,100.0000,94.3644,80.1774,109.4489,112.871083,-3680.572546,1.548472,0.000000,0.000000
2.000000,100.0000,99.2416,67.8259,105.5359,95.483122,-3706.025116,0.471024,-0.000000,0.000000
2.100000,100.0000,103.0692,73.1051,102.1756,102.914921,-3728.218467,1.689372,0.000000,0.000000
2.200000,100.0000,98.4183,81.3869,105.6896,114.573799,-3705.017219,0.982052,0.000000,0.000000
2.300000,100.0000,103.6364,70.4848,104.2285,99.226228,-3714.621848,1.052016,-0.000000,0.000000
2.400000,100.0000,96.5083,83.1752,108.7306,117.091324,-3685.214006,1.070615,0.000000,0.000000
2.500000,100.0000,97.9191,81.8476,107.8846,115.222409,-3690.698660,1.381800,0.000000,0.000000
2.600000,100.0000,105.7705,75.7335,101.8003,106.615066,-3730.716449,1.043561,-0.000000,0.000000
2.700000,100.0000,99.1193,87.2291,105.3498,122.798240,-3707.245822,0.822381,-0.000000,0.000000
2.800000,100.0000,100.8987,76.4314,104.6975,107.597644,-3711.532379,1.590350,0.000000,0.000000
2.900000,100.0000,94.6692,76.4862,111.0980,107.674802,-3669.967538,1.058780,-0.000000,0.000000
3.000000,100.0000,97.0843,83.2076,108.7032,117.136871,-3685.391878,0.943705,-0.000000,0.000000
3.100000,100.0000,104.0288,69.3416,105.0851,97.616876,-3708.983640,1.722893,0.000000,0.000000
3.200000,100.0000,102.4853,79.1980,103.4734,111.492410,-3719.608916,0.298892,0.000000,0.000000
3.300000,100.0000,96.4551,73.8868,109.9375,104.015472,-3677.423072,1.601196,-0.000000,0.000000
3.400000,100.0000,103.0160,69.0023,106.8285,97.139174,-3697.571323,1.634879,-0.000000,0.000000
3.500000,100.0000,101.0115,83.4944,106.7652,117.540660,-3697.984274,0.475612,0.000000,0.000000
3.600000,100.0000,105.2183,72.2333,103.4802,101.687703,-3719.564131,1.297422,0.000000,0.000000
3.700000,100.0000,101.8601,75.3066,103.4491,106.014188,-3719.770077,0.897896,0.000000,0.000000
3.800000,100.0000,94.6206,84.2604,107.3687,118.618970,-3694.052016,0.237788,-0.000000,0.000000
3.900000,100.0000,101.2768,70.8759,101.6939,99.776813,-3731.426184,2.292743,0.000000,0.000000
4.000000,100.0000,96.5180,82.6012,102.3604,116.283288,-3726.989506,0.329242,-0.000000,0.000000
4.100000,100.0000,92.1908,78.8464,104.3686,110.997366,-3713.698196,1.679498,-0.000000,0.000000
4.200000,100.0000,100.6130,69.1309,99.3912,97.320264,-3746.854066,1.649066,0.000000,0.000000
4.300000,100.0000,94.4782,81.2852,101.9592,114.430624,-3729.658192,0.272533,-0.000000,0.000000
4.400000,100.0000,92.2603,73.8317,106.3312,103.937800,-3700.818129,1.855339,-0.000000,0.000000
4.500000,100.0000,98.9051,70.6456,104.1823,99.452619,-3714.926779,0.610407,0.000000,0.000000
4.600000,100.0000,94.7131,79.9838,103.7688,112.598581,-3717.656344,0.682827,0.000000,0.000000
4.700000,100.0000,95.5493,67.8248,105.4967,95.481474,-3706.282250,1.331633,-0.000000,0.000000
4.800000,100.0000,97.7618,74.2137,104.3958,104.475676,-3713.519429,0.259394,-0.000000,0.000000
4.900000,100.0000,97.8339,76.7447,103.6328,108.038652,-3718.555121,1.658511,0.000000,0.000000
5.000000,100.0000,100.4327,67.7836,104.7075,95.423480,-3711.466597,0.550916,-0.000000,0.000000
5.100000,100.0000,99.6117,80.0303,103.0143,112.664026,-3722.649024,1.587195,-0.000000,0.000000
5.200000,100.0000,96.3548,75.1956,107.8666,105.857900,-3690.815123,1.549779,0.000000,0.000000
5.300000,100.0000,99.5818,75.7347,104.5609,106.616765,-3712.431546,0.386486,0.000000,0.000000
5.400000,100.0000,94.2580,83.3704,106.6020,117.366154,-3699.049768,1.636649,-0.000000,0.000000
5.500000,100.0000,99.1268,74.1066,103.0229,104.324787,-3722.592002,0.811910,0.000000,0.000000
5.600000,100.0000,100.3121,79.6591,98.3820,112.141493,-3753.665032,0.671174,0.000000,0.000000
5.700000,100.0000,98.4519,80.0484,99.3720,112.689504,-3746.983117,1.176768,-0.000000,0.000000
5.800000,100.0000,97.7807,70.8897,100.5815,99.796198,-3738.859298,0.602092,0.000000,0.000000
5.900000,100.0000,99.6521,80.0899,97.3823,112.747912,-3760.442923,0.546006,0.000000,0.000000
6.000000,100.0000,92.5335,71.8251,102.6088,101.112969,-3725.338819,0.193090,-0.000000,0.000000
6.100000,100.0000,98.8201,68.2744,99.2750,96.114389,-3747.636288,0.659721,-0.000000,0.000000
6.200000,100.0000,93.5900,74.8295,102.3384,105.342441,-3727.135606,0.211744,-0.000000,0.000000
6.300000,100.0000,97.2048,68.9096,101.2188,97.008731,-3734.596133,0.235823,0.000000,0.000000
6.400000,100.0000,92.5826,70.3484,104.8785,99.034167,-3710.341658,0.391118,0.000000,0.000000
6.500000,100.0000,96.7161,75.4914,101.0133,106.274275,-3735.969635,0.080308,0.000000,0.000000
6.600000,100.0000,96.1029,69.2503,100.8051,97.488352,-3737.362427,0.081776,0.000000,0.000000
6.700000,100.0000,92.7506,75.9479,103.5967,106.916937,-3718.793302,0.055250,-0.000000,0.000000
6.800000,100.0000,95.9004,76.3855,102.8506,107.532930,-3723.734257,0.064640,0.000000,0.000000
6.900000,100.0000,97.0972,75.5648,100.7513,106.377656,-3737.722041,0.077409,0.000000,0.000000
7.000000,100.0000,90.7214,79.3392,104.9648,111.691110,-3709.774267,0.128718,-0.000000,0.000000
7.100000,100.0000,98.7947,74.8026,100.3484,105.304697,-3740.421383,0.216203,-0.000000,0.000000
7.200000,100.0000,95.8554,75.4770,101.1942,106.254054,-3734.760353,0.249622,0.000000,0.000000
7.300000,100.0000,97.8263,77.2574,100.5936,108.760400,-3738.778435,0.232535,0.000000,0.000000
7.400000,100.0000,95.8428,70.4965,104.5576,99.242594,-3712.453328,0.334727,-0.000000,0.000000
7.500000,100.0000,94.9703,74.5898,104.5042,105.005091,-3712.804907,0.249180,-0.000000,0.000000
7.600000,100.0000,98.8953,73.8836,103.7452,104.010970,-3717.811959,0.215428,0.000000,0.000000
7.700000,100.0000,96.4446,70.5360,106.2495,99.298201,-3701.352422,0.284235,0.000000,0.000000
7.800000,100.0000,98.6003,74.2133,104.8667,104.475041,-3710.419242,0.556647,-0.000000,0.000000
7.900000,100.0000,100.6344,75.5911,101.8543,106.414710,-3730.357139,0.423271,0.000000,0.000000
8.000000,100.0000,97.5923,71.6332,104.4809,100.842838,-3712.958473,0.210425,0.000000,0.000000
8.100000,100.0000,99.4660,79.4064,102.3619,111.785711,-3726.979488,0.392829,-0.000000,0.000000
8.200000,100.0000,101.8229,79.6148,102.4070,112.079108,-3726.679648,0.399548,-0.000000,0.000000
8.300000,100.0000,100.2629,77.5626,104.4814,109.190137,-3712.954988,0.118114,0.000000,0.000000
8.400000,100.0000,101.7931,82.5834,102.4629,116.258183,-3726.308460,0.545246,-0.000000,0.000000
8.500000,100.0000,102.3022,81.2872,103.2674,114.433467,-3720.972337,0.277761,-0.000000,0.000000
8.600000,100.0000,106.1941,79.6875,102.1302,112.181439,-3728.519964,0.293852,0.000000,0.000000
8.700000,100.0000,98.5097,82.6758,109.9433,116.388261,-3677.385678,0.404070,-0.000000,0.000000
8.800000,100.0000,102.6296,77.7317,106.7764,109.428135,-3697.911460,0.108910,-0.000000,0.000000
8.900000,100.0000,103.1650,78.4769,107.1439,110.477141,-3695.515806,0.912302,0.000000,0.000000
9.000000,100.0000,106.8444,78.8180,103.5332,110.957449,-3719.213749,0.055486,-0.000000,0.000000
9.100000,100.0000,101.9215,72.9740,107.7074,102.730422,-3691.849667,0.956549,-0.000000,0.000000
9.200000,100.0000,107.5844,79.0376,102.5006,111.266518,-3726.057773,1.179388,0.000000,0.000000
9.300000,100.0000,103.0657,76.0987,105.5790,107.129235,-3705.742445,0.451622,0.000000,0.000000
9.400000,100.0000,102.2345,73.0839,107.8806,102.885100,-3690.724537,3.005590,-0.000000,0.000000
9.500000,100.0000,104.3007,81.3675,102.9044,114.546550,-3723.377838,0.355890,0.000000,0.000000
9.600000,100.0000,102.8571,77.7864,105.6716,109.505197,-3705.135023,2.640899,0.000000,0.000000
9.700000,100.0000,109.2678,78.0157,101.7055,109.827898,-3731.348405,2.468119,-0.000000,0.000000
9.800000,100.0000,104.0504,87.0612,103.9643,122.561910,-3716.365228,0.703230,0.000000,0.000000
9.900000,100.0000,101.7805,78.5415,108.8798,110.568210,-3684.248807,4.084377,0.000000,0.000000
10.000000,100.0000,107.8216,84.9524,105.0227,119.593257,-3709.393661,1.234020,-11.627785,563.769836
10.100000,100.0000,104.3420,430.5264,107.4065,606.080963,-3693.806127,310.950287,-755.924316,462.179901
10.200000,100.0000,130.1965,84.5386,107.7902,119.010615,-3691.311738,94.058929,155.950958,83.987938
10.300000,100.0000,114.4601,291.9020,104.8637,410.930086,-3710.439418,14.646531,-46.818344,46.038525
10.400000,100.0000,144.5613,154.0050,106.0428,216.803163,-3702.704765,36.657990,-20.863255,87.975410
10.500000,100.0000,133.7592,125.4827,101.8863,176.650371,-3730.143564,134.163635,-309.974243,191.700699
10.600000,100.0000,143.5286,213.4500,103.4688,300.487953,-3719.639481,130.417511,-261.753021,142.390366
10.700000,100.0000,128.6904,132.5366,108.0275,186.580624,-3689.771055,15.635765,-41.577026,35.731213
10.800000,100.0000,142.4907,188.0989,105.3093,264.799419,-3707.511595,102.335716,-86.069260,18.420988
10.900000,100.0000,122.1830,234.4794,100.8540,330.092360,-3737.035053,45.245411,-77.019463,37.803413
11.000000,100.0000,137.6510,148.8705,99.1044,209.575032,-3748.786658,428.484802,-491.803833,142.532791
11.100000,100.0000,123.8399,261.3569,103.1285,367.929712,-3721.892455,310.325989,-483.645020,192.368988
11.200000,100.0000,118.8151,197.3571,99.2706,277.832815,-3747.666280,505.139740,-590.583069,173.058197
11.300000,100.0000,126.3210,196.8599,104.0851,277.132912,-3715.567895,188.691711,-237.872696,76.533600
11.400000,100.0000,108.7273,240.9489,98.1967,339.199970,-3754.918767,598.126465,-814.619446,279.729919
11.500000,100.0000,121.4357,179.3585,99.9373,252.494948,-3743.180932,603.883789,-959.714722,384.888672
