time_ps,T_bath_K,T_kinetic_K,T_v_fictive_K,T_s_fictive_K,E_bond_kjmol,E_nonbonded_kjmol,E_cav_harmonic_kjmol,E_cav_coupling_kjmol,E_cav_dse_kjmol
0.100500,100.0000,104.7743,74.0277,108.8590,104.213705,-3684.383620,0.663938,0.000000,0.000000
0.201000,100.0000,97.7682,90.1479,114.9415,126.907251,-3645.518774,3.571353,-0.000000,0.000000
0.300000,100.0000,105.9083,79.2629,106.8350,111.583716,-3697.529250,0.336020,-0.000000,0.000000
0.400500,100.0000,101.8630,82.0051,110.3264,115.444083,-3674.920939,4.169858,0.000000,0.000000
0.501000,100.0000,100.7237,83.5568,107.7431,117.628502,-3691.617410,0.800773,0.000000,0.000000
0.600000,100.0000,106.2390,70.7617,106.6338,99.615943,-3698.841802,2.864126,-0.000000,0.000000
0.700500,100.0000,100.7968,92.4179,108.8779,130.102931,-3684.261311,2.175647,-0.000000,0.000000
0.801000,100.0000,103.1254,71.0530,107.3585,100.026007,-3694.118537,1.491103,0.000000,0.000000
0.900000,100.0000,95.8020,80.7525,111.1781,113.680695,-3669.453832,2.772781,-0.000000,0.000000
1.000500,100.0000,98.3173,81.8551,105.8260,115.232868,-3704.123810,1.172154,-0.000000,0.000000
1.101000,100.0000,105.9233,76.7615,102.8432,108.062300,-3723.783698,3.046992,0.000000,0.000000
1.200000,100.0000,98.1443,90.8823,106.0785,127.941167,-3702.470599,2.304640,0.000000,0.000000
1.300500,100.0000,101.8450,69.1949,106.1746,97.410355,-3701.842263,3.073398,-0.000000,0.000000
1.401000,100.0000,99.6918,87.1511,105.9087,122.688470,-3703.582175,1.813588,0.000000,0.000000
1.500000,100.0000,102.0786,81.5114,105.4377,114.749033,-3706.668854,0.555581,0.000000,0.000000
1.600500,100.0000,101.6797,77.5458,107.7204,109.166376,-3691.765031,3.162153,-0.000000,0.000000
1.701000,100.0000,97.4643,85.6906,107.0355,120.632437,-3696.221872,0.274467,-0.000000,0.000000
1.800000,100.0000,96.2858,72.1087,110.0645,101.512191,-3676.605556,1.813509,0.000000,0.000000
1.900500,100.0000,100.4018,85.0677,105.2868,119.755571,-3707.659386,0.663392,-0.000000,0.000000
2.001000,100.0000,98.9204,74.4971,107.4863,104.874595,-3693.286772,1.473290,-0.000000,0.000000
2.100000,100.0000,99.9444,77.7571,109.2032,109.463884,-3682.159141,1.863597,-0.000000,0.000000
2.200500,100.0000,96.0000,83.3637,107.7607,117.356701,-3691.503367,0.242780,0.000000,0.000000
