# Potential Energy vs Temperature calibration data
# Extracted from final_multitemp experimental data with multi-replica ensemble averaging
# All energies are production averages (equilibration period removed)
# Units: Temperature in K, Energy in Hartree
# Source: examples/final_multitemp/potential_energy_components_vs_temperature.txt
#
# Columns:
#   temperature: Average simulated temperature (K)
#   total_potential_energy_hartree: Total potential energy (Hartree)  
#   harmonic_hartree: Harmonic bond energy (Hartree)
#   coulombic_hartree: Coulombic energy (Hartree)
#   lj_hartree: Lennard-Jones energy (Hartree)


temperature total_potential_energy_hartree harmonic_hartree coulombic_hartree lj_hartree
64.858155 -1.492122 0.030640 -0.767227 -0.755535
67.208838 -1.483206 0.033022 -0.764154 -0.752074
69.879946 -1.472874 0.031522 -0.758519 -0.745878
72.643464 -1.465282 0.034508 -0.757013 -0.742778
75.631411 -1.456806 0.036797 -0.753858 -0.739746
78.923995 -1.443158 0.039417 -0.749835 -0.732739
82.489852 -1.430546 0.038025 -0.744640 -0.723931
86.379219 -1.418834 0.042439 -0.741817 -0.719456
91.516255 -1.403912 0.046739 -0.737432 -0.713218
96.083448 -1.388327 0.048601 -0.731996 -0.704932
101.366852 -1.371425 0.050582 -0.726271 -0.695735
107.206575 -1.353040 0.054248 -0.720497 -0.686791
113.796801 -1.332765 0.057331 -0.713866 -0.676229
121.239445 -1.310402 0.062047 -0.707086 -0.665363
129.803964 -1.285174 0.066394 -0.699073 -0.652495
139.597751 -1.257072 0.072686 -0.690753 -0.639005
151.036595 -1.225416 0.079180 -0.681220 -0.623376
164.542911 -1.188589 0.085663 -0.669861 -0.604391
180.657589 -1.146410 0.093253 -0.657062 -0.582601
200.356426 -1.096756 0.104284 -0.643018 -0.558022
98.52	-1.384842	0.053652	-0.732705	-0.705789
117.76	-1.325448	0.064371	-0.713422	-0.676397
146.34	-1.243617	0.075345	-0.686214	-0.632748
193.24	-1.120955	0.108205	-0.652974	-0.576186
284.36	-0.910600	0.161479	-0.597579	-0.474500
538.12	-0.427617	0.296056	-0.488576	-0.235096
