# Steady-state energy decomposition (DSE-on runs)
# burn-in fraction = 0.2
runtime_tag  lambda  E_coupling(kJ/mol)  E_dse(kJ/mol)  |coup|/|dse|  E_cav_harm  E_bond
eq100K         0.010            -91.2552        45.6676        1.998     46.9064  107.9636
eq100K         0.030           -628.6553       314.5217        1.999    315.5082  114.6598
eq100K         0.042          -2154.4248      1077.0426        2.000   1078.7777  111.9606
eq100K         0.070          -2998.8039      1500.4983        1.999   1499.5998  112.8451
eq100K         0.090          -6981.9220      3488.4874        2.001   3494.8651  121.0454
eq10ns100K     0.010            -87.0369        43.7152        1.991     44.5940  113.6254
eq10ns100K     0.042          -1397.0921       698.7421        1.999    699.6852  112.3629
eq10ns100K     0.090          -7100.2232      3550.0405        2.000   3551.4804  108.7545
eq50K          0.010           -201.9094       101.0693        1.998    101.4766   50.2631
eq50K          0.030           -146.7806        73.1627        2.006     74.2829   56.4981
eq50K          0.042          -2620.8566      1310.1812        2.000   1311.3233   56.9633
eq50K          0.070          -5673.2340      2837.9534        1.999   2835.9625   57.8729
freqsweep100K   0.010            -64.6434        32.2819        2.002     33.6665  139.4473
freqsweep100K   0.010            -60.6087        30.2849        2.001     31.5826  136.0528
freqsweep100K   0.010           -123.5177        61.6017        2.005     63.2111  136.9969
freqsweep100K   0.010           -121.5256        60.7115        2.002     62.0781  135.1544
freqsweep100K   0.010           -107.7374        53.8237        2.002     55.2385  135.3857
smoke_finiteq   0.010            -53.3154        28.6906        1.858     25.8118  149.4517
