time_ps,T_bath_K,T_bath_K_std,T_kinetic_K,T_kinetic_K_std,T_v_fictive_K,T_v_fictive_K_std,T_s_fictive_K,T_s_fictive_K_std,E_bond_kjmol,E_bond_kjmol_std,E_nonbonded_kjmol,E_nonbonded_kjmol_std,E_cav_harmonic_kjmol,E_cav_harmonic_kjmol_std,E_cav_coupling_kjmol,E_cav_coupling_kjmol_std,E_cav_dse_kjmol,E_cav_dse_kjmol_std
0.000000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.100000,100.0000,0.0000,100.8456,3.5191,77.2601,6.5002,108.9063,3.1035,108.7642,9.1507,-3684.2053,20.1075,0.9928,0.7696,0.0000,0.0000,0.0000,0.0000
0.200000,100.0000,0.0000,100.9789,3.5394,81.5258,5.0685,108.0296,2.8485,114.7693,7.1352,-3689.8656,18.5197,1.6596,1.1501,0.0000,0.0000,0.0000,0.0000
0.300000,100.0000,0.0000,98.1610,4.9322,86.4172,3.3177,108.2181,2.7646,121.6554,4.6706,-3688.6358,17.9150,1.3385,0.5413,0.0000,0.0000,0.0000,0.0000
0.400000,100.0000,0.0000,101.9489,3.6585,73.9086,6.9524,106.1993,3.9681,104.0462,9.7873,-3701.8952,25.9082,1.3155,0.9552,0.0000,0.0000,0.0000,0.0000
0.500000,100.0000,0.0000,99.1339,4.9210,84.0716,3.9002,107.8955,3.7274,118.3533,5.4906,-3690.8164,24.4014,1.7658,0.4999,0.0000,0.0000,0.0000,0.0000
0.600000,100.0000,0.0000,99.0491,2.9078,81.2626,5.1910,107.7630,4.8084,114.3988,7.3077,-3691.7942,31.0437,0.9607,0.6190,0.0000,0.0000,0.0000,0.0000
0.700000,100.0000,0.0000,101.7528,3.7438,75.0020,5.7616,107.4216,2.7340,105.5853,8.1110,-3693.8087,17.7942,1.6774,0.9397,0.0000,0.0000,0.0000,0.0000
0.800000,100.0000,0.0000,98.7475,3.4102,85.8474,4.5574,108.0493,2.0955,120.8532,6.4158,-3689.6877,13.5783,1.2516,0.4471,0.0000,0.0000,0.0000,0.0000
0.900000,100.0000,0.0000,99.6804,3.5385,76.2478,5.8907,107.8122,3.0674,107.3392,8.2928,-3691.2925,19.7854,1.2247,0.8621,0.0000,0.0000,0.0000,0.0000
1.000000,100.0000,0.0000,99.5416,2.7271,78.1561,5.0950,107.5425,2.9442,110.0256,7.1726,-3693.0385,19.1758,1.6171,0.9141,0.0000,0.0000,0.0000,0.0000
1.100000,100.0000,0.0000,98.4664,2.2947,85.2257,5.8711,106.4276,2.7617,119.9779,8.2651,-3700.2927,18.0740,1.0684,0.6771,0.0000,0.0000,0.0000,0.0000
1.200000,100.0000,0.0000,100.9400,2.0682,73.7643,6.2474,106.7023,2.7358,103.8430,8.7948,-3698.4962,17.8292,1.3236,0.7382,0.0000,0.0000,0.0000,0.0000
1.300000,100.0000,0.0000,98.9995,3.0609,83.5388,3.7354,107.0297,2.6024,117.6031,5.2586,-3696.3522,16.9975,1.2541,0.5287,0.0000,0.0000,0.0000,0.0000
1.400000,100.0000,0.0000,97.4196,2.9201,82.1031,6.8812,107.7236,2.1649,115.5821,9.6871,-3691.8062,13.9868,1.0039,0.4131,0.0000,0.0000,0.0000,0.0000
1.500000,100.0000,0.0000,101.3646,2.9119,74.4849,5.9918,106.1286,3.0151,104.8575,8.4350,-3702.2662,19.6618,1.4914,0.8702,0.0000,0.0000,0.0000,0.0000
1.600000,100.0000,0.0000,98.1859,3.5340,86.1296,4.0218,106.5183,2.5714,121.2504,5.6617,-3699.6867,16.8347,1.1122,0.4283,0.0000,0.0000,0.0000,0.0000
1.700000,100.0000,0.0000,99.8840,3.1190,77.0858,6.1686,106.1042,2.2444,108.5188,8.6839,-3702.3721,14.6842,1.3787,0.7888,0.0000,0.0000,0.0000,0.0000
1.800000,100.0000,0.0000,99.6698,2.2882,76.4303,5.8804,106.6566,2.2277,107.5961,8.2782,-3698.7608,14.5438,1.6225,0.8229,0.0000,0.0000,0.0000,0.0000
