# turn-on energies from lambda=0 equilibrium snapshots
# lambda_eval=0.03  T=100.0 K  burn_in_ps=1000.0
time_ps  E_coup_turnon_kjmol  E_coup_relaxed_kjmol  E_dse_kjmol
1001.000000  8.24886894  -357.06106567  178.53047180
1011.000000  12.50960445  -1222.42590332  611.21270752
1021.000000  -23.92339516  -679.72973633  339.86471558
1031.000000  32.62786102  -384.69586182  192.34785461
1041.000000  -7.56740236  -5389.39843750  2694.69824219
1051.000000  17.88204002  -524.26440430  262.13211060
1061.000000  -123.53508759  -2791.12500000  1395.56188965
1071.000000  -53.96399307  -2630.70678711  1315.35290527
1081.000000  8.65602684  -2807.05859375  1403.52868652
1091.000000  46.53861237  -3495.42456055  1747.71154785
1101.000000  2.49897861  -2144.95336914  1072.47631836
1111.000000  48.28199768  -1533.91064453  766.95489502
1121.000000  32.54052353  -4658.56445312  2329.28125000
1131.000000  -4.99659538  -3001.13403320  1500.56628418
1141.000000  45.24702072  -2095.84570312  1047.92248535
1151.000000  30.03531075  -2673.96508789  1336.98205566
1161.000000  54.13639069  -882.49377441  441.24667358
1171.000000  -2.55767226  -1018.47088623  509.23526001
1181.000000  9.85683155  -2790.54980469  1395.27441406
1191.000000  -72.22591400  -3835.86328125  1917.93103027
1201.000000  -62.46289062  -5293.98535156  2646.99145508
1211.000000  -9.36478138  -4083.77832031  2041.88830566
1221.000000  41.52393723  -3685.87451172  1842.93640137
1231.000000  -14.98244381  -4548.67871094  2274.33837891
1241.000000  -73.61307526  -3646.16479492  1823.08166504
1251.000000  51.24080658  -3037.65502930  1518.82690430
1261.000000  -62.24412155  -1680.82922363  840.41418457
1271.000000  60.03431320  -1432.26184082  716.13067627
1281.000000  -13.19645977  -961.92169189  480.96063232
1291.000000  -6.37543678  -981.78405762  490.89181519
1301.000000  1.14104676  -958.62988281  479.31469727
1311.000000  7.36469555  -1266.57275391  633.28613281
1321.000000  11.70531273  -495.47503662  247.73741150
1331.000000  -62.00353622  -1604.05004883  802.02471924
1341.000000  -15.53916454  -1260.77392578  630.38671875
1351.000000  -34.29382706  -667.76501465  333.88235474
1361.000000  2.62957883  -494.22384644  247.11180115
1371.000000  14.83875942  -270.78439331  135.39216614
1381.000000  -14.59086514  -230.36692810  115.18341827
1391.000000  4.28392124  -295.22805786  147.61396790
